,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,2.9890990517780485,3.8691742182433453,-0.3543876436933646,1.1469770169706015,0.5070572326160612,0.35924550836678404,0.38307369137720715,-263.49911055736226,1,1
0,2.5399446154940546,2.404140822512068,10.197265934023672,5.141525890288635,0.9175388790828776,0.3525426492897994,0.3551319299261981,-138.4691795174317,2,1
0,0.8812637970723052,1.7440915845390406,5.4212293727943495,4.671167927497363,0.7012281178399138,0.33508581730778897,0.3866710845710396,-17.660752567420403,3,1
0,2.3775167900319865,2.771234324606174,0.37461371099014495,2.3240154240795694,0.5021893959535553,0.34858155326292617,0.3992829037410555,-166.61121264622284,4,1
0,3.5883147538735294,2.9171610874181364,6.991648092109721,7.341843829385993,1.3753647584212982,0.30428662858100464,0.3212665738896421,-178.7928038567822,5,1
0,3.50854665759277,3.106296982374031,6.613479236329906,4.910345014883816,0.9204825966187613,0.3278119300476569,0.3369244775865279,-221.3249735023447,6,1
0,2.8096657988475813,3.2093567042683455,8.058720648455406,3.688751841248958,1.0488893469647884,0.292110232384858,0.3958114404739338,-190.88560674718562,1,3
0,1.5700540314220317,2.0788709874389304,7.536128016969786,0.7264039700699726,0.8357166880748332,0.3127293816119937,0.37203231843459517,-37.05460007334331,2,3
0,1.5430453830641284,1.7656055980588947,7.321913695094516,3.206420153903633,1.1364487925539302,0.28026401106490934,0.383280664422428,18.249226814948884,3,3
0,2.0652758259846555,2.1999737420058825,7.552928116640711,2.6158217118747795,2.9465203558277344,0.192381922210966,0.10401379102214603,-12.164815899786902,4,3
0,3.1317225006129217,1.9959061268365546,6.188562682835131,2.127317567295187,1.4825010129259597,0.2528044104103824,0.2848345481910061,-46.47812281704851,5,3
0,2.768864716083644,2.2486626411616255,5.839198530037918,0.715263327852918,1.0685670687514506,0.3029251432381115,0.33743447201830123,-66.06018301650835,6,3
0,4.172042250424106,3.5048149826281105,14.980587572792892,3.226772837009079,0.8926368797385917,0.31131312737025835,0.30646388557210313,-304.78785563180907,1,4
