,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.0651668395754512,1.3305750361966353,8.033718041721649,-2.1503562025154404,5.481948540641829,0.6549742577185529,0.10284033574423235,0.37510825163537986,237.2559810108458
0,0.247392255283711,0.6108987316366801,8.710506553887091,2.2254144465909405,5.340685566656646,1.3884593944144896,0.15839072751100708,0.38086943227699255,436.66642091429685
0,1.584056429563575,1.703176852406143,6.952222298868965,3.735352349382115,0.968143925251324,1.3119409144477858,0.231558638260082,0.33017170495848946,-29.97981305507586
0,0.20581146688843777,1.1510657006529192,6.919934733385126,2.2427088540693156,0.5050797228169732,1.6704036559596687,0.22178936941212812,0.15345715042169772,251.85504974588943
0,0.8172105758152309,1.509536347556047,7.060648286073951,3.8381984486956,2.2978807959784207,1.0476028044700456,0.12303973886355041,0.3158339621055124,121.72063126079142
0,1.7208935785968789,1.3692218284065767,10.760071241609754,2.5341788583125746,5.982633605927648,1.2185924219944386,0.24712890818481542,0.46118109508883176,24.539510241364248
0,0.9545305829916519,1.7626021719731104,6.177742652482904,4.76371083125475,1.4217300493088216,1.2799372884040947,0.18657790701594135,0.2936352451187646,51.382346434428904
0,1.420235324199477,2.1265502208819718,6.472863319204767,5.563159647210387,1.3840178743087426,1.93083751365242,0.25745650969863815,0.2963979960180161,-94.01124007271909
0,1.199373325489902,1.584222877413825,8.860643340947144,2.6743778039844104,1.2681558743463022,0.9699498938386237,0.31245920929203286,0.33719944007227,13.590085661893845
0,0.39077613915366044,1.0498164166289436,8.248543524685628,2.0136263885413483,2.6879628488289304,1.525380860618219,0.1366877355096166,0.3822477809810516,365.8066239498673
0,1.0863136797169488,1.3590675224892954,3.603565791296111,2.3276122230400524,1.151423040761212,2.0204565062281374,0.1904077721014199,0.21439591061524593,391.6217074954834
0,1.528319940608323,1.2444492301658574,9.366014511689691,3.0823369322847882,4.2237146669999825,1.1020025123176933,0.19514444691102528,0.3603303054275781,94.4596065971021
0,0.8896910434388476,1.4213599869398814,6.7784018494071665,-0.9014708143653583,1.1729529081238619,0.6313894065146108,0.20165983678421484,0.2966287831723641,52.56764031899163
0,1.1498598739512154,1.3772963196573411,9.227278812867903,3.057679038642184,4.505673027698596,1.7810934680218704,0.1056893614047989,0.2156398979408215,173.05676644548967
0,0.7701718379592752,1.230050765303289,5.5897701134970665,4.466925568660789,0.8130135872686197,1.317150713767199,0.21541500471984237,0.20319596876199897,130.00280712683895
0,1.3175062438147414,2.1282767350238543,6.609971492183617,2.5902664270380793,0.8328077803256724,1.277423857819776,0.23963967115246015,0.27796958502919117,-102.06286689124386
0,1.0731199891936067,0.8578862482510061,10.683617133741302,0.6726087074926801,4.020324918634103,0.6080327385682884,0.15365438320318714,0.3766476708738302,119.99418024234677
0,1.9131811539510888,1.9594853970196149,5.44014954566671,3.4943571873658694,0.7600335824795086,0.9795210305751643,0.28212675587471125,0.325598519050669,-142.40442896140897
0,2.1504833265031795,1.615499394295757,5.1414506405233125,3.166637083015188,0.9866029452070846,1.2660946717754693,0.25199027710589794,0.2446942030860445,16.670714261514796
0,0.10638299982568666,0.7057755196674801,7.10550240173469,3.8661760760208845,2.9351020654798186,1.0142466178677907,0.10462370059924064,0.2908330462994466,305.3073573433242
