,Drift Rate,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,3.207266480985689,0.5389179796196352,0.5179835810499827,0.3538220759344459,0.373828462646679,-272.06475711008386,1,1
0,2.3717085068801427,0.5,0.6581385979607338,0.37620383979051875,0.3549328643273849,-136.83649238057188,2,1
0,1.339105402503615,0.5194172041472104,0.5419099270115091,0.3480457284944927,0.3871415528944544,-14.012921259785681,3,1
0,2.546874945608253,0.516191325283355,0.5,0.34059502912223083,0.3937687567249031,-178.70754435438272,4,1
0,2.6923468119102396,0.5476286797651176,0.5825283234916584,0.35928989748767703,0.3620627171981377,-174.9763994235781,5,1
0,3.123640626830188,0.5892233391527886,0.6465904298227285,0.3348197575229449,0.35824176716454287,-227.6710989380193,6,1
0,3.006067942422297,0.5659529121698724,0.7936393189245116,0.31725772844430894,0.39502438634346315,-188.8369322766159,1,3
0,1.910660357653172,0.5186644474482323,0.836945148553233,0.32906526214465326,0.35117177891559037,-34.232542239969156,2,3
0,1.5947103852017392,0.5502379609028756,0.7578892884489074,0.3166644707304488,0.4098116149928159,19.68517188440245,3,3
0,2.1703717642779314,0.6883827387393678,1.4791284485660603,0.27448729256345955,0.10908020245315497,30.60342064516653,4,3
0,2.1850299072205455,0.576279954562998,1.0216961865861136,0.3086798138272969,0.3302089793045972,-46.18269271897731,5,3
0,2.4242577579784883,0.577834552006414,1.1078309932178665,0.33631595856003205,0.31789887944386397,-71.77431178961658,6,3
0,3.8872398396369343,0.5,0.7804116566142876,0.32355745927722845,0.3129655113490688,-310.52682742237164,1,4
0,2.9859649168846087,0.5,0.7102511892664491,0.32477621781693544,0.34156683907186347,-218.6170212896736,2,4
0,1.9239838353520171,0.5,0.6394308082289379,0.3256280085288873,0.3486590656935777,-89.53398508818847,3,4
0,3.3071123260135464,0.5,0.8908632144631526,0.34398806051692365,0.31763465328224894,-240.21336509538338,4,4
0,2.8409587963022362,0.5,0.7032376021617657,0.32637310124919305,0.3428660418162004,-207.7103417751416,5,4
0,2.6068467459534284,0.5,0.6548432909031736,0.31058490551505935,0.3471284086744246,-191.26017457519345,6,4
0,4.036924620097587,0.5200070727920179,1.135910723959271,0.31243690810337815,0.32019244302317745,-298.8274668162141,1,5
0,2.751868531415391,0.5,0.6606512644323788,0.3410094564790046,0.4141797687167452,-193.19456183636046,2,5
0,2.6172342195394567,0.5220603719001947,0.6097194413167134,0.33336968194304006,0.4523952533506637,-181.7620398355843,3,5
0,3.8599579227248664,0.6419729720832271,0.961853552744124,0.3354829803792713,0.3967151791178861,-269.32999268543233,4,5
0,3.0780364466308767,0.5,0.7387906999589372,0.36833975308044326,0.4606912007988446,-212.01955767756718,5,5
0,2.7506656262448925,0.5919896885697217,0.7026724970621828,0.29750889401346764,0.4292097984849386,-176.45841405119504,6,5
0,2.743355813472904,0.5749304196854038,0.6211374119294178,0.25181074325491626,0.36103916873494346,-185.390831306704,1,6
0,1.7256048014610281,0.5396183207841537,0.574444820385389,0.22341007032348165,0.4211275430114627,-53.309444237601795,2,6
0,1.0651586562218103,0.5594477370856299,0.5755130688709778,0.20401394777920762,0.42987705518518904,45.971865171596406,3,6
0,1.7028785539261888,0.5473332364940735,0.6704170154617786,0.22892990564949006,0.39295718407485747,-10.99764159964004,4,6
0,1.6819528601336213,0.5098856359688311,0.6286308882724595,0.2740017584909603,0.3921037850970709,-32.16449852193041,5,6
0,1.6993375849275685,0.6620358923228424,0.6549261958227214,0.16625300952352118,0.3550096379835017,-0.5736099435037545,6,6
0,1.357262261167689,0.5693400845939183,0.6200433909473528,0.17704363185781713,0.2651620458219818,22.687632585911313,1,7
0,0.8865454089067739,0.5,0.5440947332058196,0.24878113710029964,0.32041346222906897,28.99520466496161,2,7
0,0.4630718914362435,0.5258999369507092,0.7143696073795973,0.19378460263688974,0.20026473721029192,161.0125386818812,3,7
0,1.6469049244853604,0.5455340001128813,0.7175941464864325,0.23505525468337218,0.3067880057316643,-1.8607776533088298,4,7
0,1.6736214501807223,0.5572477109772946,0.628304605618491,0.22288105216431414,0.34123234522914825,-24.5272662061963,5,7
0,1.872004393328762,0.5487555701556542,0.6440629587053762,0.24931178292477885,0.3381300669975573,-52.599447039966925,6,7
0,1.405095746151482,0.6473054252466585,0.792533147993556,0.1578022491006531,0.4135060768302513,99.22182641772906,1,8
0,0.7119406759204382,0.601779152374699,0.9507972645006345,0.1687311475246404,0.3253726626932659,240.09226864020434,2,8
0,0.29907589741483326,0.6283638529243606,0.8980535847903477,0.1611128358566487,0.2999531277469587,294.87987639354213,3,8
0,0.9151357704968652,0.605895729973298,1.0668902464730825,0.18118114334831759,0.2593635981036792,249.02177148507823,4,8
0,1.0784434565180119,0.5834514832904271,1.2297621910538201,0.19187962918905765,0.12088428335096069,213.4720667967896,5,8
0,1.0422533614406406,0.589044970748086,1.1954347987126754,0.21340734761651342,0.12428401629750807,219.56653133422387,6,8
0,3.16715291067857,0.5,0.8360356287412016,0.3784843496439768,0.38793598009253405,-250.38790226366447,1,9
0,1.8012543147644249,0.5,0.9051348424040412,0.3758883610162566,0.37964055190672374,-21.558695476990124,2,9
0,1.1291642178528276,0.5,0.7510554147856965,0.3882158033474842,0.4021339106753604,54.33036895463563,3,9
0,2.371221984934703,0.5073238767276835,0.8196765697044229,0.37068023872497263,0.41178817390225364,-121.53005983580894,4,9
0,2.086600014729437,0.5,1.1595012203189927,0.3889282581023834,0.22455764176599696,-51.79502399519912,5,9
0,2.710051079321132,0.5,0.9164358710286827,0.3947847012112108,0.3969654494146345,-162.58634327540568,6,9
0,3.2543012514540344,0.5679312641540875,0.6189608412551322,0.28638119117501076,0.36557129560564927,-527.7981242571592,1,10
0,2.0651703046671477,0.5799844715920803,0.6707487214826344,0.261142372663379,0.359632374065866,-185.17059143113343,2,10
0,1.2891975026868048,0.5,0.5904944466609758,0.28779138601649235,0.37059670042984005,-24.25856018791437,3,10
0,2.315016588043784,0.5801603377755982,0.7576283608280723,0.2665867873523309,0.3460371391155939,-216.09185294814804,4,10
0,2.461297464078681,0.5899126821952334,0.9422796188340645,0.2630195089477446,0.3176888886347231,-213.97789301720232,5,10
