,Drift Rate,Self-excitation,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,0.4896271205106547,8.114275188853261,1.225552355701156,5.9849447574728645,0.23152257099291051,0.181240434111769,65.3718352982705
0,1.9844887226249,5.229467171851527,0.6994453087458812,1.2996511484876114,0.3446657165765451,0.3278787545053448,-208.2885344295102
0,0.0,3.2724572397399334,1.7077410515762736,3.8096931542074506,0.10571711220409075,0.2826786106141407,571.6114523510281
0,4.069436147356505,6.423032657211101,1.048761520425011,4.216409510290883,0.3213402064180093,0.19448186126895117,-204.56361238524192
0,2.1201103047663854,4.46654856298869,1.1891517458277736,1.2643631100556598,0.22216553213713514,0.2907814031992739,-96.89202937219812
0,1.686894930686953,7.190621527378902,1.2878326875255914,5.970030502124661,0.24108060035277212,0.17101009511150955,-213.42129463966896
0,1.4768409378261915,10.356596094354622,5.231968430804516,1.5785452192265275,0.10921102548698708,0.35628650039050713,-430.1613032400025
0,1.6688256586545274,5.759435593943688,1.8061240206312548,1.127833929232576,0.15022242535089897,0.2615875587125823,-130.35294439425581
0,1.1083460674984422,6.590635639507429,4.056464234147242,2.5012848308466,0.10515877557963038,0.21908231422339897,74.37555255947817
0,0.11252336915719623,4.866306906245214,0.6948737854449298,2.4648862159523772,0.1549177057297253,0.1175202039564443,275.8771909268906
0,3.4186942843915595,7.8794619755686,5.9123991353996,2.5815922119969112,0.23251808134984764,0.3497112103434247,-95.19651293700508
0,2.599840499073118,7.572555649292125,0.80020004670074,4.558796395661089,0.31713720411198815,0.18386841710568497,-687.0043074191725
0,3.9532561887424174,13.044117579191154,3.7607556423373643,5.964709805932941,0.24770122694613955,0.2299713929187236,-666.5787378304847
0,1.8551034093475958,4.711211053363711,0.640413219065699,0.9052132699606568,0.24073856738025906,0.2909549296824415,-385.67155403744795
0,0.2344984793711766,6.706434492471843,1.8810188084457387,5.998905510135836,0.20445003377308846,0.14569180793192804,425.2679414359019
0,3.440908198838166,7.667474070344201,0.9169542777419393,1.0524385700492305,0.3370340108701478,0.340805377743697,-476.6784913932792
0,0.7092084791993143,5.745395527192749,1.118661076450151,3.6371242112142084,0.13524183987247468,0.1099115393608675,352.65392135542186
0,3.2058585170348044,9.606780513517695,1.1606603445491248,1.6213682490293566,0.2593221534695234,0.24859217272419093,-1034.4116847844168
0,2.0673634857453833,6.52763535163999,0.7166494670282857,0.9056155248658335,0.26373131364256813,0.27290647674003116,-340.26318306876396
0,2.153085159025209,12.386956634792313,5.944601300184489,5.74774919884732,0.13748049471378265,0.18978386101114836,-944.4006287528621
0,0.7539497794450488,13.76556235908906,4.030088627423641,5.984063452419619,0.12299399280328888,0.22226677646923998,-399.15396479158545
0,0.6645896855422135,8.352350609062082,2.626200079271205,5.982618241275812,0.10667642653569309,0.1562688311725779,46.98137015634933
0,3.8852374222600727,13.648172808960306,5.60851167075014,1.8987190884530647,0.22476348900954346,0.3508208385666652,-265.76922590285227
0,2.235204155202203,15.0,1.3401439040253564,0.7050248941387456,0.21824895847989678,0.3077201012600938,-1198.9384963440084
0,2.7179607676918285,13.951117878753852,2.5911530703131818,1.2171921623182596,0.22713772993941855,0.3145196803103656,-915.3278264312843
0,1.074732106168562,12.467517656439158,4.126802309481823,4.7705863484766455,0.10235772020306777,0.19846689343081686,-583.266969497504
0,4.01722332932002,7.285480088763145,5.2089279948123135,2.87808593269669,0.14625088345103837,0.23543229097605994,-244.1369586611464
0,2.94703277728777,10.30915709484273,0.9473667571844517,0.6650017527955225,0.24047065382613902,0.2904436513761442,-946.9763284688538
0,3.093958693662496,14.113715712815964,2.201299473411332,0.630191749496865,0.22964219995217233,0.3115709412160578,-994.5601264634336
0,3.04076565501095,6.439386316196852,0.7041484557913948,0.8067415219200642,0.31499514199083567,0.31494732802836567,-807.9252767362702
0,2.2454508392352737,9.393853405464547,3.0797947838284827,1.3624161527496366,0.16653064543432344,0.27526840678999664,-321.71589796223225
0,2.50339975819548,14.812665435717681,3.0271990524338794,2.289248403169964,0.20843896684577912,0.2595959269488559,-1325.5230710150345
