,Drift Rate,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.170131664207415,0.638738898784352,0.7868410948034281,0.24934113008367548,0.35896897474862244,298.16816289060756
0,0.45997130422402904,0.5892464587583306,0.8618407427742104,0.2704024918304845,0.43200092899825604,579.0037805942095
0,1.5631510471660481,0.5577920019946466,0.7534340084137972,0.24302434988903704,0.3656782456326384,11.33469211511849
0,0.8522677254972829,0.5,0.8975287018646634,0.21512286207041537,0.23719961720615151,294.4047825972427
0,1.1524746425614392,0.5661907848260415,0.6470976781828397,0.2398690336579723,0.34507400570290436,156.38862562440525
0,1.4479537299346052,0.6247736702702058,0.8571199401692065,0.3208279535171017,0.47471806848704035,141.9556728278873
0,1.2851982095571675,0.583784625284423,0.7090301651925771,0.24530110549013334,0.29178202327982744,140.33133165994593
0,1.6200939650695871,0.6095527412050722,0.6197667593285406,0.29512370590770376,0.3885947919284545,-41.4404130845998
0,1.3940599702665584,0.5259918581899656,0.708810912082884,0.3457526365468889,0.35868101611704906,41.99108063193877
0,0.8358723698540192,0.5460974787912428,0.8795570076487381,0.23431708653291128,0.47112498266150993,429.12800040319826
0,1.2263782074383371,0.7122857992644824,1.0300021877535586,0.22219066687310884,0.2786481556634971,424.9545026579454
0,1.2259585192959794,0.586651082554709,0.7312830866190334,0.2953524988880491,0.394407530242798,168.61413169237684
0,1.2812893224390975,0.5710176064731071,0.5972177676424907,0.23495577333712114,0.3049029775936982,60.68246886305174
0,1.1561853669907136,0.5381061091675541,0.8033960138148769,0.2408875686173121,0.3195446026150024,223.96151655227183
0,1.0148485583084665,0.5341789627045597,0.6427895577566445,0.23488333038564285,0.2570677689864188,156.82304262007227
0,1.8312862521425068,0.5376228248983788,0.8089801237504832,0.2482838381700213,0.30512767270821195,-77.00715312669972
0,0.9450405210170566,0.5172560250715675,0.5886088584097682,0.2669267686837362,0.3637934424578923,98.4383949449137
0,1.866352852929417,0.5904620363674329,0.680073678829059,0.27306061720510133,0.34279369583302366,-129.7391178737847
0,1.6396130817665826,0.5909618846785935,0.7452036033799986,0.2751164686452513,0.3060582188949278,29.63419432034671
0,0.5067418638288077,0.5633020525723132,0.6513099318809811,0.24499696370097473,0.31876510098814503,354.6005494777936
