,Drift Rate,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.695020565724251,0.5853950834793861,0.6427016047941048,0.23469817608618626,0.3030366987176683,-440.3578028142184
0,1.4850737799193876,0.5118983053239662,0.5101377414198641,0.2389403797525359,0.3014199965581744,-1181.4545643977417
0,0.4022250838929383,0.5,0.5601697046645906,0.16655468177992866,0.16190109963455152,507.4325336780661
0,2.5364880226951683,0.5,0.50096553381721,0.28812539468682297,0.30773990539907914,-3398.4706919018995
0,0.6552013079342367,0.5,0.5722813654568483,0.16704746058071906,0.16228229817032153,173.21724099594138
0,2.2303833713614467,0.5133715468971091,0.5,0.24968259742523768,0.276096547107156,-1413.316220040002
0,1.9444117891568495,0.5,0.5,0.27742556073932506,0.3189493410266473,-2179.3752700753735
0,1.8619192504783046,0.5,0.6737099634516426,0.2480700000799213,0.26931108630445,-1523.9945801439487
0,1.9239627527329817,0.5350635607857046,0.5568904147608074,0.27119677008109594,0.2988480374640725,-948.3823252216247
0,1.5815552002523,0.5,0.5088198897702781,0.2433157660749754,0.2746523982131957,-1314.8880515260107
0,0.2774064110403093,0.5,0.5101684391158888,0.16627391286247506,0.16555938102862072,100.69803698196868
0,1.1960213944458147,0.5,0.7426724045111033,0.2192417322733492,0.2402178042688689,338.89409238900043
0,0.8002761407519576,0.5378502205590561,0.5807071680068832,0.1670097793473092,0.21098278552741906,580.4109872767028
0,0.3864900506717202,0.5,0.5,0.16282431437724187,0.17693542406911206,-139.04031718527403
0,1.4761761211644684,0.5245688152909296,0.5,0.32881905807689626,0.3548957332712308,-578.244849439279
0,0.4342503984877772,0.504843979416253,0.5608997637085092,0.1746023697280059,0.19153820402254473,570.6092928552005
0,0.8302132511516461,0.5,0.5041482717462846,0.16460526232931938,0.17858543534443855,-690.4462893562711
0,0.904458720847212,0.5,0.6835478250228393,0.15436204207332538,0.1683025779187457,786.7096549294124
0,2.4533450889818402,0.6321147153393762,0.6809505040909779,0.40328522742313455,0.39735998592523947,-2077.261861564585
0,0.6285453119991646,0.5015873470347162,0.5503008859547286,0.17859520233121234,0.18180601569897353,16.09682617702756
0,0.23983848803880778,0.5,0.5,0.16648976018396383,0.1622592359751685,-323.80778696928604
0,0.7485422262688208,0.532590175169694,0.6580801543998122,0.18637175412187607,0.18162735512343503,1208.6957289724012
0,0.14658606623696369,0.5,0.5,0.1586404290297675,0.17403245546639573,-428.37505997060043
0,0.5152052170899198,0.5,0.5993841732766683,0.18044779321339754,0.18562610147148717,336.75666989936747
0,0.7626917428870476,0.5,0.7834295640115206,0.1536767776817362,0.17672797201622337,553.9935178653508
0,0.9601184869148489,0.5000588767708298,0.5413083827496279,0.19180874346779797,0.17284012287071465,-274.8792486118665
0,1.4800665415794463,0.5,0.6144070655473122,0.17589723694093723,0.23573746947666385,-424.8396249520648
0,0.1620518173817101,0.5,0.5,0.18420770834121797,0.21481046915371665,-288.91732121879335
0,0.6418974535797,0.5,0.5546757927463665,0.16604158749952813,0.2153088800762703,237.54403843638786
0,0.21510953633502022,0.5028213592645236,0.5670476310050775,0.17575161228303632,0.17205656785912826,488.8543350905939
0,0.2726585374775241,0.5000088785454633,0.5001190443291668,0.17840498678556055,0.17245303799608563,-39.22482316716259
0,0.40751334861166905,0.5,0.5,0.1716831129848186,0.18141964905471053,43.57854892280248
0,0.21377550686171426,0.502793956188399,0.5670413500471164,0.17440471593158569,0.17433856193859038,488.85510719829307
0,0.534530097582158,0.5,0.7859804374863262,0.18766610197286188,0.18167156604051204,801.6271937845795
