,Drift Rate,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.2359894325552028,6.15562137280482,2.1956780647741194,1.2169755791874555,0.24756541560713957,0.28690847742675324,237.70215354916726
0,0.5245941116878644,8.556191578842832,2.7003404692228936,2.7519183858871914,0.22716259170213443,0.18545011683756002,445.82692838096665
0,1.6381753259017522,7.388501604061207,3.3904410765708026,1.1118556783759557,0.22445148457017555,0.353692974994582,-39.84799168059562
0,0.9013282201414985,10.809329031916615,1.564387769408878,1.1318536685366851,0.16866244486338405,0.22237607091900785,285.6821765995399
0,1.2211028687930041,6.107711261487815,4.1609871020413705,1.1726784923087283,0.19547659336470735,0.29947425985326004,123.12814476711479
0,1.4338798699336706,8.874444874509823,3.1648016992673997,1.8389321446144993,0.3117131075935685,0.39481995895891087,29.418226022068644
0,1.3588618740946796,6.331101012645944,5.0439653806116675,1.412574993982961,0.19141576236100927,0.27382837703135227,53.345434262594885
0,1.816629608716563,8.16176230731353,6.1288093915734985,5.635644036396393,0.13419278482796287,0.14210569183619381,-94.05397909643938
0,1.4613926848168088,8.1120098712804,2.7580233935110443,0.9662512148520248,0.3322361585669723,0.3380209232357381,4.799508561093283
0,0.8759535537769242,7.714343539135809,2.1542376180737324,1.7190532480126832,0.17651970554982693,0.34273874783160696,370.8413342127151
0,1.1952868046610785,3.9531719390122797,1.8147561489303004,1.439891343979855,0.1695594428621115,0.26980972319530483,385.03200616788064
0,1.343257206659731,7.985240864127694,3.4649243953025817,1.3558349724759777,0.28754301777147906,0.3302641954819271,87.0784496185355
0,1.2093201505317228,5.269895051665837,1.823653405152778,0.8059936762433146,0.2384449739273155,0.2715449038187894,50.434978680588166
0,1.292257852562322,8.486231186865322,3.037174091521549,2.001353473915633,0.17412557314230515,0.1764970213564533,162.70572901177061
0,0.999868517530204,6.529189789448588,4.248354250870777,1.0660054164478803,0.19752612625142085,0.2298582252247346,129.37584326096757
0,1.8035271500040444,7.104394771176841,1.8912378503486553,0.9727645597924561,0.2241322289029124,0.3064730141998764,-101.98365953006694
0,0.9231764248824819,7.5799083196417865,2.756811935429573,0.7704043008984445,0.2638939323359508,0.3534516004580168,125.60674335467434
0,1.9102250568105035,6.012219088168755,2.9194387668162993,0.861323583849626,0.278595739167207,0.33650028482451577,-154.09708662882855
0,1.825386602876289,5.666320906800104,3.1756762949064603,1.2414008661881621,0.2240816766154876,0.25440128873499884,13.553441844081142
0,0.4731854207584413,6.126555729439468,4.144873480947493,1.1861009649460272,0.20795664343190362,0.2600757220867035,304.1662836805748
