,Drift Rate,Self-excitation,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,3.269619042978704,2.721525115320429,0.589276382727598,0.5033598905230576,0.35661112403148465,0.3869216265544165,-264.53806511787496,1,1
0,2.4207067683645307,5.369690722445665,0.5442798083777642,0.9917350509960663,0.3700180120186778,0.34678538451991314,-145.14092776148183,2,1
0,1.3467394696718775,4.549183766309457,0.63741618566032,0.6723765483579238,0.3441100009767619,0.381827126846244,-17.65793635679551,3,1
0,2.5854793911964564,2.126419604383417,0.5376882507151155,0.5099889034732605,0.34101335925795184,0.39407007112547743,-169.81303967463367,4,1
0,3.251602827024165,7.773344191093671,1.2239218386028359,2.536692639378237,0.3146098952901326,0.2786013275292094,-182.58547026226265,5,1
0,3.324045092626795,5.381647364123838,0.6646254084197194,1.1076525258706265,0.3497874175813113,0.3296144701751994,-228.2929195937074,6,1
0,3.0906585190491547,4.9720875411605565,0.7454027525153908,1.4132341264206552,0.31979302175042135,0.36674875985425326,-195.06072705053631,1,3
0,1.918800118480393,2.7468971190395077,0.5379924918739944,1.1570775452811946,0.3364291360183445,0.3486570454068084,-43.61730439383469,2,3
0,1.7556633302096185,3.6585711180681577,0.6277869777421197,1.4822072150179613,0.32509312678108354,0.3460778716552758,8.628993254655189,3,3
0,2.0556326523275374,3.159446735345728,0.8353849212982216,3.3341472643511207,0.28927382529223683,0.10408091849085543,-4.575083351643087,4,3
0,2.441074004670719,2.394056701827512,0.6540342226811005,3.032012187416906,0.30883236562724314,0.12916933000520414,-51.28015746223991,5,3
0,2.3901564052973767,1.2077242625176428,0.5549602618390628,1.213656419086571,0.3421640837367876,0.32393251680313206,-68.64282426917399,6,3
0,3.909891713929295,5.217079809216205,0.5019979857417987,1.321524884949096,0.3206099811996162,0.2875085326216129,-310.90130492936913,1,4
0,2.94482163167018,4.7540264324444905,0.5051047625116127,0.9387760583701583,0.33717303589804404,0.3486607387012145,-224.92598834778636,2,4
0,1.9244970377159873,4.9306829129845795,0.5062308172767143,1.2092994358948919,0.3322617425823984,0.3098485059490044,-96.94107709160785,3,4
0,3.610060904972537,4.940264134995681,0.5095230986727057,4.442032479535269,0.3507716720540921,0.14936114822062024,-242.06372849607177,4,4
0,2.8274007233187524,2.569115137596716,0.5071928505922578,0.7979888062371434,0.32945049605092813,0.34169539034053964,-200.04358482851106,5,4
0,2.7709978332141327,5.562172488001834,0.5049620245525337,1.1890136554955308,0.32948129300001894,0.3114550875060838,-199.8850734008634,6,4
0,4.066060859667412,4.211750926881127,0.5004956354166725,3.041799655564056,0.3289581117728544,0.2326988230265326,-297.3137515931015,1,5
0,3.2682634770676495,8.52740933983159,0.6455193889960609,4.697387460992948,0.3417112234160795,0.2900892326381056,-226.79642060730282,2,5
