"","v_s1","v_s2","v_s3","v_s4","v_s5","v_s6","v_a1","v_a2","v_a3","v_a4","v_a5","v_a6","a_s","a_a","ter_s","ter_a","sv","BIC"
"1",3.07185822182228,2.42375418990541,1.02374444120952,2.79293766792633,2.97087543091827,3.44000144348586,4.02067231642835,2.39694206702912,1.82546962098725,2.99445494196359,2.84329320570322,3.29266220903105,1.08172876984721,1.22378017516545,0.345611857617803,0.362587660191781,0.826620109352437,-1023.24685411959
"2",2.78149227580056,1.73308922267958,1.6564249002849,1.88648560904438,2.83627856017554,2.33267622188095,3.07747464073392,2.44656893358783,2.03367114698091,2.593448907225,2.27674609986572,2.48056559746416,1.26952345170517,3.06761919977832,0.286850428072025,0.146744152416027,0.463502172040352,-59.960606197391
"3",4.00454125065861,2.54070525031651,1.69411366998225,3.01361982482978,3.25437982221227,3.33624822053031,3.68107886091239,2.92239307119082,2.08111472088052,2.6653256119304,2.42288853842824,2.33107852642805,0.93331008369693,1.37218530019053,0.321891344699805,0.331668864879389,0.162499409559524,-1288.72399335951
"4",4.94810156524741,3.74305614995427,2.58737135869322,3.74602531171743,3.74557104465996,3.8136466009228,3.91052734240853,2.76071390000894,2.94195139273383,3.17999110908073,2.41079724766724,2.73810470619582,1.32138992565565,1.65302880669319,0.303261668015172,0.386340322026886,0.558840587927292,-1234.2543185791
"5",1.9698747900516,1.22206067583927,0.606871598770541,1.00550342609137,0.877582955838347,1.01085375169109,3.48467020353395,2.20926238690272,1.59198078474776,2.19087429145468,2.29778561102583,2.71093813605577,1.24777355829125,1.46707231079057,0.174384904126074,0.363252769975322,0.397127953850955,-159.649778794715
"6",0.699951442390991,-0.00285964707279484,-0.158619911053731,1.56061731736329,1.92978775000359,1.58808106697704,2.21286371841752,1.51813703166459,0.866237219448994,1.43270560643805,1.24288865527622,1.64574215536615,1.15188071696745,1.57906077110495,0.189119210512314,0.219384593946735,0.137602667472267,282.742591313048
"7",0.71927248203984,0.247152073272833,-0.00401305169471106,0.567403283552312,0.476923721362679,0.366284625980621,1.7571753857018,0.93284309587988,0.479291796787498,1.0701222399519,1.30121337333948,1.30613020729723,1.24248554688499,2.40744286558716,0.162639931054423,0.15797355983303,0.2933634134187,1350.56802805495
"8",4.23818128751656,2.15580537414549,0.860303999261957,3.06999431487102,2.9511405940988,3.00712540708816,3.21987488688172,2.29130051848744,1.79525304101926,2.49052954971443,2.40671049637528,2.74763299227292,0.929039993915499,2.57991196220359,0.386041396915255,0.251617227320405,0.836652994481826,-515.100706716145
"9",2.63217844739053,1.56496072903519,0.728894757979166,2.20763563982774,2.4556925921355,2.4444519381851,4.21846968797717,2.9490046315769,2.1853385019757,2.61592581540453,2.33754142161637,2.75548493395339,1.07919892885571,1.60260078186341,0.272613534010822,0.339273199351044,0.453160621802088,-1546.90878671864
"10",3.35193221793866,1.13331358325318,0.81847466155759,1.51265846864587,2.03536060199928,2.08632873723143,4.10894585492095,2.51389731644175,1.48547231704008,2.29752663585227,2.37255885631836,2.31535334550382,0.980125369578083,1.51703999886322,0.329446968630057,0.344051954464538,3.01040097047392e-06,-1504.38978023521
"11",2.07615618394734,1.3281285226159,0.471042701290367,1.3887642516049,1.39186369403915,1.51116941598495,2.49638381556635,1.27425083308255,0.915481957784894,1.59806824386378,1.58002604679677,1.50142709611871,1.49689492357816,1.63496838166078,0.180475874161367,0.287348530298928,0.370379996467888,895.790174790785
"12",2.1738061713101,1.48839497320415,0.539320968981372,1.48273636495809,1.85310403480978,1.89344231473949,2.53747249302312,1.82159576342303,1.10189574796741,1.84495371064528,1.73631628151578,1.84403042004565,1.21838105329765,1.77654468329384,0.31156264862401,0.348234500599678,0.811720160754024,444.512647041553
"13",3.573555919908,2.29576526390742,1.55296368624296,2.03495349104289,1.7624639654065,2.01986711123322,3.280109795058,2.28639844574725,1.73750410766451,2.30091533203052,1.8431785478316,1.92986936871403,1.39309983399312,3.03171608731207,0.283859866780353,0.175825866419522,0.700771342793152,356.316526655893
"14",2.25259105612386,1.68861287695316,0.892376650040838,1.82056441008474,1.62249099081154,1.80687094716065,2.68318145009227,2.09239462993439,1.29213538173118,1.99761576922256,1.84016583964992,2.2169358423891,1.20043439519106,2.04690663399845,0.300220655681525,0.370925345635349,0.270061372644295,-47.8497051032346
"15",1.48206584265435,1.15090516915512,0.731546282170314,1.14199472238616,0.855626235630854,0.9630454683213,2.94880094861426,1.91438527467416,1.35332795236839,1.90742573568713,1.8590561246398,2.12802692880359,1.35285580629467,1.70436898486378,0.203065317315295,0.379935018063094,0.469276607119771,735.819949029077
"16",3.12836403657405,2.55469918206113,1.97376656604193,2.26277755320991,2.38360916566249,2.30421843791269,3.4702579078124,2.87045351525818,2.29793980998952,2.73579863564632,2.62643106322289,2.63629686301869,1.66745597620498,2.70025719745675,0.256010384481457,0.296434870746678,0.528502707296809,-493.870947341684
