,V1Speed,V2Speed,V3Speed,V4Speed,V5Speed,V6Speed,V1Acc,V2Acc,V3Acc,V4Acc,V5Acc,V6Acc,KSpeed,KAcc,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Participant
0,2.819774154554668,2.132507116824306,1.156905622618298,2.665842082457434,2.742318525200237,3.434739389735051,4.090441373297251,2.2590358988910695,1.6080043680263414,2.7787999750809016,2.6856625100219813,2.808962252183922,5.57815622152685,4.637060014290766,0.7871739640380486,0.33322946444433255,0.3609462303431671,-1033.1807465273162,1
0,2.9691827641409136,1.5899816208427278,1.5898783267426728,1.9543187053062323,3.00853519883088,2.430109405470738,3.235384510547739,2.1999775633869114,1.7437627905541504,2.3796470252049686,1.9233463392186914,2.1581073235532955,7.116219513397184,2.3509574794113637,1.161929925470806,0.28304927985593736,0.35661195927691947,-344.0318023529959,3
0,4.490239348465292,2.6343143994707634,1.4685419615667163,2.8797421377591093,3.463700949373387,3.7228931442581525,3.4244536387453324,2.7143928544223943,2.0125531001927874,2.5837594008217013,2.206276114090428,2.3452022239903827,11.816867730676346,2.474341008518296,0.766679169779882,0.3259077648812595,0.3316325486171531,-1307.3476677424692,4
0,6.0,4.152547542974114,2.3912748570421214,3.9670351666544175,4.043728944762788,3.949909933757222,3.980356923857931,2.8261944183077294,2.8942950535956715,3.1379160513509174,2.275904357407244,2.752036591370503,14.036206071114483,4.967540450814885,1.8310034499843375,0.30428646824505046,0.3375428071552273,-1423.8922434713006,5
0,2.0973758690325988,1.4617451746389873,0.42530476471513534,0.9300445801959085,0.7079964885751047,0.6183961535666933,3.6974101414487213,2.335194522725078,1.5367278083794087,2.3081049963194427,2.533240218068423,2.866220623346105,9.913354156818318,5.894366183584033,2.8345768770202326,0.15332345985889367,0.251559859548575,-440.54872910110595,6
0,0.21353063737455194,0.0,0.0,1.7714112935281716,2.2336253030877633,1.7556876887776387,2.4950032103525643,1.4683576130433225,0.7331578868887154,1.6136717046442088,1.4552422664359748,1.7597190105680764,10.080295601281472,6.384793801004964,4.325692857380538,0.10702680619803229,0.12075449471579547,-37.14761464307999,7
0,0.6261188990887412,0.0,0.0,0.48878897388990084,0.38252133649270004,0.09177804724965802,1.9048133792047293,0.8866291683194615,0.4445270392680781,1.0885734780094927,1.302166229488532,1.398541453053412,6.997776055154745,1.9864991673301946,2.337386082576193,0.10380619498924443,0.11539008217385516,1068.3093213883567,8
0,4.550653994119419,2.2598241200305775,1.0895107892993112,2.888401447696822,3.1319811815579754,3.1016174948032016,2.8053075177611366,1.8627076640001214,1.4243307331113082,2.1149722022927517,2.135912053470749,2.4400926890163492,11.475970527509073,3.0380087997570215,1.8133202553514487,0.3226748812278587,0.2731613214796925,-606.6963495731216,9
0,2.558824335679104,1.4137335232859511,0.4663143900068709,2.3183219285247465,2.26043202120841,2.630531988715988,4.38718500634889,2.449439242333688,1.8313917380566094,2.538228359488022,1.8473862167410697,2.5865847404955407,8.388699339516641,2.88221402871502,1.0835488435863878,0.2511700770987257,0.32059550290633004,-1627.7882177595322,10
0,3.8948384234946953,1.180244828532399,0.9410061031500156,1.3594031857905182,2.1561158925276502,2.2256024046504193,4.650562057182873,2.554826064239859,1.5852048945169832,2.335991321457367,2.3076298447832033,2.2995509471701854,11.17183465420319,4.471776967368416,1.0521909737784836,0.32687009244172793,0.355521720962118,-1818.4780863596834,11
0,2.1821572298008656,1.2154079482604225,0.4103513965063909,1.395710806807292,1.4145225605394276,1.5081941629581008,2.461578584429457,1.217020834950466,0.8511908118483295,1.6441526843931666,1.6388713720166956,1.571135264276485,7.000276955300807,3.5443421335362872,2.159332094892546,0.1809399358744465,0.1695377835391657,386.57634332622195,12
0,2.159917820769468,1.3568666863961514,0.40396110333015806,1.5076407287523674,1.724359232992603,2.0233353893773445,1.8636131467250434,1.5207821936566608,0.8600787776304331,1.4470038209414477,1.432061615391687,1.5287328734873287,6.700323204105977,1.863566353938402,0.9902177767840232,0.3121082898515035,0.3409778093021066,396.1709602209547,13
0,3.9531647519100357,2.3677052638695577,1.4600066152532778,1.9308395745987412,1.5817963781719415,1.8668941979603422,2.8312430766884895,1.9374306481264083,1.442672141702083,1.82450362093122,1.397545628399404,1.4819367624152349,7.641216179526464,1.9249781542392377,1.9214681568485013,0.25335421022620136,0.192832076063847,51.85303566896533,14
0,2.5455275004276947,1.7916502226172502,0.8810428113099371,1.744103770460226,1.651513133342761,2.0330178350617905,2.682061252859519,2.0751831074247558,1.2558731697427907,1.9002785855847808,1.8080060845585295,2.168235751473095,8.85981808219385,2.158413337932195,1.4902660615446377,0.29637586591563003,0.3465243876215505,-443.6059869707941,15
0,1.5562064732553553,1.0697700060036528,0.5734009002420706,1.1025757521209445,0.7784407661461183,0.7908076771289543,2.264441137396926,1.8718617825735775,1.3566029953961636,1.777463472197169,1.8074888731002274,2.05335421331024,4.418699623313272,2.3732712728431036,1.1547446651047313,0.19866332158163008,0.3586418143547499,501.09025170909183,16
0,3.569200889283067,2.5053298846823697,1.9830056675755225,2.0288645764292643,2.187188590599698,2.139573231245729,3.172192391170953,2.4771792514822626,1.996049280699337,2.3086095428767988,2.2075687392604606,2.1925531844087223,6.795111360950748,2.627724544683747,1.7642205888718356,0.26558391549175797,0.3127289597573075,-900.2065264830534,17
