,V1,V2,V3,V4,V5,V6,KSpeed,KAcc,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Participant
0,3.173539785321847,2.195866825827202,1.3491461668706515,2.8051563270002013,2.740083453623457,2.9115338261371724,6.6043161995935336,5.3735622226271325,0.8500887838589914,0.32299195086342225,0.35601816858911706,-1066.556325898168,1
0,3.1265785233833503,2.0000652452391607,1.6961478498299234,2.237384473259297,2.207261354409982,2.2288198511322443,7.48925887615858,2.440487905231891,1.2164215224807586,0.2832431655644393,0.34630373235064726,-369.3215878086529,3
0,3.533988180410913,2.7039809904247973,1.9251278709182453,2.669329532621822,2.696105184849233,2.6632753575012096,12.440347851656282,3.297922829615845,0.8342852865942829,0.3122650585175043,0.3317084445352192,-1325.9218418009611,4
0,4.728720280056726,3.3741586060994466,2.96486347232779,3.5536354486334014,2.7970295657184248,3.230042360311084,14.56162495002509,6.258151533856206,4.5693054486740765,0.24220497814866127,0.2591857717986337,-1425.3568689138804,5
0,2.93769764196167,1.9490499766677223,1.0932916228572556,1.7518158597709201,1.777770896241358,1.9801856824654098,11.239058958531258,5.973980447071188,4.567880148127964,0.14208261901704533,0.16469255608885175,-400.47725003033776,6
0,1.5247193125569127,0.6607498233967013,0.1815271766654709,1.6069039938659393,1.668535750073201,1.6949898018740068,10.173175446010257,6.391785574985,4.324483917653691,0.10338030474977905,0.11706952641590779,0.2681024248381476,7
0,1.5351575742340178,0.6548466827909318,0.31077058400473834,0.9192112562102891,1.0532256945953526,1.0716958091124271,6.814286378277249,1.9338787027262276,2.0908293618688916,0.11376999947578442,0.12541290585986858,1089.514869302341,8
0,3.28161391237161,1.9115937215983465,1.4717732211006624,2.262607345116628,2.2344871313325836,2.5197293643404883,11.93700616054341,2.885217797881437,1.785363671556464,0.3201841815713181,0.2785445803325037,-625.8808124833017,9
0,3.545578475931338,2.2894951987525296,1.4700467169482279,2.4645124421460816,1.8265754397431364,2.3590421167834372,8.392388302514117,3.452969181354187,1.1712996241730256,0.2581880200276156,0.30509099889451474,-1571.6649796594534,10
0,4.228206359558822,1.9577811889537526,1.331214365119321,1.9443170466849435,2.206832553490946,2.223453032837786,10.579149019350693,4.471603422296355,1.0094733620838738,0.32551288332632866,0.3583674821759653,-1823.415367635458,11
0,2.340459318028689,1.208220631037161,0.6884325770814186,1.545334868518455,1.5492644836807825,1.540522668302158,7.05859357074553,3.557924334848718,2.2106867260643037,0.1876185250920407,0.15442272124928252,348.81188151133017,12
0,1.964190053138507,1.5078327149586999,0.7434750029892929,1.5608856177084962,1.4888019697343453,1.6897484951099835,6.964154298238675,2.0650973598072317,1.0830525828684228,0.3044772018199863,0.3364510104514814,363.55831728516,13
0,2.9234759134927684,2.019120493469642,1.459499745448332,1.8734294843873274,1.4314045067521939,1.5612628417949908,7.875612058252076,1.9949868795940608,2.067934127473584,0.24510040711088737,0.18730387463438247,30.305427804841216,14
0,2.634902299801518,1.9955165020167782,1.16408453482148,1.8510574372805055,1.7682513170480676,2.124602475953103,9.016407184184368,2.2427024144969274,1.5550889773844887,0.29202532328104136,0.3397588281548558,-482.51266058220773,15
0,1.997955227604976,1.4899759037274265,1.0116773208286143,1.3876478775089478,1.2925928619420348,1.346090485365198,4.005269085066954,2.471992800653302,1.0499442085813526,0.21963393807209752,0.36238613753379156,549.908433720953,16
0,3.054820069130448,2.594872552676119,2.022683438003756,2.265253158849545,2.2624873268688086,2.229911450940618,5.542019657228976,2.5113384471907203,1.6411380276314487,0.25109440948365747,0.32042617921289585,-992.4233567239694,17
