,Drift Rate Speed,Drift Rate Accuracy,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.0424927067140004,1.2575918377285726,0.633195515039326,0.7939855574783711,0.242239092560335,0.35845433844249164,302.56175453357537
0,0.27489218271113935,0.5491097934285611,0.5875107650966718,0.8665462592071681,0.27349938487009356,0.437539634349009,581.8610374210385
0,1.5180006702254243,1.5880628991254109,0.5559973726199905,0.7558677489021662,0.24888542580639472,0.36587447802742373,17.217471397148834
0,0.2088916528324557,1.0346309406185425,0.5,0.9176056357746364,0.21062914138653477,0.23813418982085766,283.6352057519772
0,0.8715781768604203,1.4019316445898722,0.5594209939108429,0.6608395518770958,0.2374650283652957,0.3462830481913341,154.56171268742156
0,1.5908110338073806,1.3650243913680864,0.6338313734596616,0.8472914719283059,0.3222737007628048,0.47663014822809363,146.49970469657282
0,0.9115679994381578,1.6620387952210072,0.5736397327279147,0.7430798954077015,0.24810618765007125,0.2938353658489836,130.81939440657
0,1.3826786276326193,1.8793375012344171,0.5984970846677761,0.6362049141300029,0.2977290681884354,0.3854650336523623,-41.183970398534335
0,1.203342455666316,1.5200961276859424,0.521060367644578,0.7199517244044413,0.34851584423366266,0.355714170804403,45.456542068655615
0,0.5009728765522271,0.9948170942788924,0.5419131019896303,0.8950053156658468,0.23766410689922401,0.47142755465058594,426.24939593523675
0,1.1469270088954575,1.2809865381663506,0.707331040167563,1.0403648302206798,0.22408689788256497,0.27358713268362866,430.2055786793385
0,1.305380645188785,1.1751328232963176,0.5900058136556541,0.7279659762024907,0.29334596505199073,0.39320881593529716,174.1140163108429
0,0.9765776420714481,1.594464037171677,0.5625289798129126,0.6125771901659035,0.231118829749895,0.3044252410313103,57.07997153213322
0,1.152211137015362,1.1590628463113901,0.5380050489285907,0.8036298190960419,0.2444503809620625,0.3152288360328345,229.94942123980073
0,0.807865768935881,1.180299820174737,0.5303492582271002,0.6507885479406754,0.2305326859975944,0.25096045196565214,159.03160953736102
0,1.3880779602212348,2.2652602675627507,0.5231024833405602,0.908077200272419,0.24229530783103165,0.29750654875669696,-86.3449991874767
0,1.0296438360352351,0.8798348680795471,0.5188578770258744,0.5869471201590293,0.26609960071917493,0.36183108808855396,103.86536843083454
0,1.8698909666332706,1.8635470526333033,0.5906579176220158,0.6798622058317361,0.27987671471148495,0.3450089865304423,-123.74851825741771
0,1.9730446796249883,1.4374888857634154,0.6100399306730782,0.7298951537471692,0.27780986411439584,0.3074422517445847,28.34779975647765
0,0.27841261963245256,0.6859229764922504,0.5615297230147402,0.656513831619921,0.24503887991209877,0.3174771331279177,355.16346557499554
