"","v_s1","v_s2","v_s3","v_s4","v_s5","v_s6","v_a1","v_a2","v_a3","v_a4","v_a5","v_a6","a_s","a_a","ter_s","ter_a","z","sv","sz","st0","BIC"
"1",3.54309499781979,2.82263799502486,1.28725548637867,3.25415572504067,3.41300249526618,3.93306520496917,4.6878479170721,2.83941996846799,2.22099167955017,3.54453772308307,3.33913753657897,3.85916653046464,1.07200337406371,1.15613382693387,0.322938320782144,0.341617690814346,0.486760789799078,1,0.001,0.0563070683444005,-1033.53818557305
"2",4.17650628512499,2.58630274459817,2.40294528857269,2.6261472188725,4.0057430969846,3.24802013389893,5.02110854046662,4.01979333533974,3.47066158203896,4.16048957936726,3.70274991936073,3.93394283769737,1.04547218027777,2.36373501668025,0.274147041438566,0.167215412727678,0.449386389099794,1,0.0981506486157451,0.157345607347388,-387.58046399591
"3",4.84899120587684,2.98437779994327,1.96911196854026,3.5473294490763,3.9074341241447,3.99595213625712,5.24351219223932,4.1295310279623,3.17828614224504,3.91188257835395,3.56934295205863,3.60863223883144,0.889276241109333,1.42855962701459,0.309761109726204,0.284669036235278,0.427420390432149,1,0.001,0.0569749851611375,-1309.63738987799
"4",6,4.59323822829928,3.05719120644056,4.47889175359,4.70168358499472,4.77721869340803,4.9881619111703,3.72453433923346,3.82765065947413,4.09576897227511,3.13791701226435,3.61935223428748,1.0288646850892,1.39697106860503,0.298895773064499,0.358843990084677,0.452939480512963,1,0.0622576568814105,0.092651858649878,-1367.98443947888
"5",3.53565622873351,2.26466687670237,1.28879037320386,1.83081794044739,1.60002455174897,1.77410627475272,5.19497308163966,3.28231535814448,2.46332061867645,3.15699930111117,3.3805735573562,3.92260129949953,1.01594577444057,1.20328240064545,0.174123952119839,0.318985909396228,0.413451745027978,1,0.001,0.196480211221621,-422.681582259332
"6",1.52175812280847,0.480809957154134,0.298296123332606,2.84849217025011,3.51552003115849,2.9145230495441,4.19474816719933,2.93287604524996,1.9482791885833,2.72638294503098,2.4442006960861,3.01273626658631,0.955398277247742,1.32742187764644,0.1826563224888,0.209294570184434,0.37759256704336,1,0.001,0.2,-120.825358007803
"7",0.899063823076294,0.21636025525618,-0.0798764444580964,0.69041324671363,0.584025494234048,0.387317845126752,3.15814985933654,1.88867643377405,1.3776264622347,2.10102900078599,2.39649225076219,2.49651281666688,1.13562199613545,2.37027709942371,0.149178862814435,0.108314184177211,0.577683944042085,1,0.001,0.2,1202.02102393263
"8",4.9661456758112,1.8597396891778,0.34361787232082,3.09556332075264,2.95983036152358,3.12653748485202,4.32215477059639,3.03716309199946,2.58229987069691,3.30353174610598,3.26245235708718,3.60616356545211,0.784362300452207,1.96566304238068,0.372048158688422,0.23046525398843,0.474986739541545,1,0.001,0.127454232929579,-574.727913057327
"9",3.77724200466886,2.2155104789784,1.23360624639811,3.08455225610244,3.43036524455922,3.3781233608819,5.9299530266321,4.30326432108428,3.32916120025094,3.84613047929952,3.42155774604616,3.91595591964068,0.96640708450085,1.44329843555031,0.256297076041738,0.293863338353703,0.415532147552865,1,0.001,0.115344173509948,-1771.14747749165
"10",4.8793308829682,1.48354411976312,1.15649611274881,1.9224377732706,2.66806609856243,2.72540884334811,6,3.83366742687472,2.55209030712784,3.44328733437529,3.40803767988414,3.414647865397,0.824151052111281,1.25316987652161,0.317678895475307,0.32604762164005,0.396240709757589,1,0.001,0.12543186678439,-1818.22371723401
"11",3.76247980275128,2.45297565066097,1.31953630138759,2.40083224225947,2.53142066956687,2.59053861827809,4.03701551720666,2.25012057434973,1.80089260727356,2.66398242097663,2.60942644604364,2.51548902341771,1.29499670988927,1.50390718315485,0.182032956563447,0.235243005119449,0.477695405214439,1,0.0915055735563268,0.2,270.240343541307
"12",2.68888512402342,1.76867211022493,0.609157060421677,1.75504774593729,2.19653109342053,2.2601274983297,3.37027285804542,2.47345295585484,1.74186939704692,2.47885703012921,2.34466184578251,2.54458520837671,1.05522397335794,1.59266554370309,0.298756670130637,0.293139540926521,0.530484053678304,1,0.001,0.149032658647399,287.553228761849
"13",5.25597726853863,3.0383198628296,2.01032630396179,2.65935748749434,2.26101454126648,2.6520885076886,4.63272151581129,3.29410275249377,2.65829063858872,3.16479512927421,2.56834931213327,2.66374529839475,1.11638224047975,2.3577854146796,0.277388807821437,0.138845520197408,0.527554415950363,1,0.107103775499848,0.17868195337879,36.4100965576272
"14",3.13578736439136,2.15289015771362,1.06118026604595,2.38242448459507,2.09603976235474,2.39962180404651,4.19120246782637,3.43379386442698,2.39906717971164,3.18644961473607,3.04200326640553,3.56126559312328,0.915430662751978,1.92833096568677,0.296189207150642,0.282644213583573,0.473137476497085,1,0.001,0.2,-364.683722302337
"15",2.28411366186606,1.6964534220561,1.14128115732695,1.7259673575975,1.3413622653281,1.43187788333123,4.31051930009361,2.91344343978679,2.15917885267601,2.83928956472858,2.76953649908839,3.16903820565365,1.17039034360292,1.59792584090917,0.194304861218643,0.302079323532396,0.520418134950602,1,0.001,0.2,451.717858044536
"16",4.72111385485203,3.72562320759234,2.93266068573796,3.22434892904217,3.39054684306414,3.26319164558286,4.71438877867808,3.85452980136858,3.25934647907206,3.63606160568751,3.5238527623746,3.53394723818835,1.33961441238603,1.93536516498888,0.248282097081112,0.290425284610194,0.511056760668873,1,0.0613978998881005,0.168018609088122,-982.948333256303
