,Drift Rate Speed,Drift Rate Accuracy,Boundary Separation Speed,aprimeSpeed,lamSpeed,kSpeed,Boundary Separation Accuracy,aprimeAcc,lamAcc,kAcc,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,2.5932503744254904,3.318136020827265,1.1189181554948295,0.5615712862581671,0.1122134989894763,3.5508778327454724,1.7801281794169168,0.046787589571466004,0.017332467172231802,0.15189170056601053,0.2932284824020425,0.3604208393498997,-239.3744955916922,1,1
0,2.2492090314596553,1.9035321068928346,1.0921414016421758,0.17376850972384694,0.05746288607600749,0.26804397963546833,1.0299065778994572,0.5354332052872327,0.21369648318428675,3.9622377255679386,0.366184459763283,0.2917376818957476,-117.40913848713734,2,1
0,0.8182275718080798,1.5242245022627992,1.01296231114242,0.06470736045831536,0.4595773126255321,0.3001362786961881,1.0080018112337097,0.4649456775682615,0.11165327208655165,1.1885233357123268,0.32367716974910377,0.35063603077950506,7.103192379193388,3,1
0,2.3234991629772734,2.7768160875433603,1.2299999244105058,0.0620269988637913,0.895259800177656,1.9337011341313027e-10,1.3793871918438443,0.46929520062333757,0.010892987956175338,1.3824155948572212,0.343145863350114,0.3992811607529487,-145.218176141888,4,1
0,2.381238961056481,1.9092137959612816,3.824366635973854,0.5662875453624877,0.24827252686305704,2.247674562888638,2.3800000063978337,0.41557004934356473,0.34471660203622645,2.612835858510865,0.12754922044271477,0.12715874738204141,-156.2582583534786,5,1
0,3.070400935457988,2.1822240575846257,1.1029019568840872,0.49448751806301483,0.07085848384154023,0.9949460537285835,3.350000010831653,0.6388130479070226,0.30430288917265663,3.045222190670179,0.3147435449868845,0.10385419226576464,-205.89230689720705,6,1
0,1.8485200839656972,2.6443381733747198,1.0054093511265279,0.3611749109450745,0.18277126650816433,2.2314456243089404,1.2756608771835158,0.6473311142198463,0.24822742849982704,3.4766768456291715,0.2563997475265343,0.32651107007447766,-167.43192203034738,1,3
0,1.5696469334353353,1.8689269367868502,1.1599327664138728,0.06000249444695403,0.2814625454747493,0.08437988390173666,1.0752967706394887,0.6900303883869389,0.3058195323114205,4.977864050751685,0.32225537242168567,0.32585218774422753,-20.52852234798368,2,3
0,1.1423586319269805,1.3020736202271816,1.0099999265424164,0.4773401111705496,0.20285890220755834,4.628279111454758,2.4353586871328146,0.6962162306656724,0.4735967176021742,3.435435865458164,0.23267177225987945,0.1019115360497736,38.84165936420221,3,3
0,1.5456605392349434,1.7711993009718323,1.282606314749159,0.3984647410546554,0.310284001418953,2.878242633917174,1.7100000029838194,0.7178312187014787,0.5823841728765193,4.987630790774304,0.187292557791169,0.1084058586276232,-9.334738739372568,4,3
0,2.908644090070644,1.6268501580503238,1.0099998709919593,0.21463377283291954,0.45274057893576936,0.5656992023092273,2.2444499456738254,0.9877336495081026,0.400951768595512,3.5790724502491225,0.2845993622559726,0.12700204069790838,-29.0307021167663,5,3
0,2.408666633786679,2.1084530917596584,1.0588359810956753,0.1019322577216435,0.42199006922218496,0.7602481539697998,1.884473921486859,0.9840444652357175,0.282847081474616,1.8858795174789778,0.2912996751018099,0.23926982985121648,-44.01482412640674,6,3
0,2.906583017792199,3.0807576605887887,1.4700000006481095,0.32954454846598485,0.10974740495321945,2.306265527275558,3.7538873268254402,0.886795441464878,0.22496827535263467,2.0978857868587695,0.254968253720816,0.1255401562955682,-288.51336817977506,1,4
0,1.9244281822355722,2.8096947458365156,1.192408298583684,0.28291319651437163,0.10723664690530088,1.278853924160853,1.0163570353611826,0.47389360587616225,0.2507137764049062,2.707727463608112,0.2797236318978948,0.3024375722626329,-199.35968548939653,2,4
0,1.4605340645027214,1.8941926903110144,1.065515108344019,0.35402056741295507,0.011058786851035673,0.3904440203035655,1.0037839005767244,0.06658595324034977,0.6349594544929589,1.1575052606669534,0.3254122913352805,0.2969327872089731,-72.57686047724252,3,4
0,3.2047186335329187,3.1139177433250067,1.5946513994687626,0.21557623120290392,0.03683066135977231,0.4423086002137526,1.1278833657914835,0.663660966207308,0.3578052734965207,0.7622080013377346,0.32549328174373027,0.29232720147630287,-211.1977388847823,4,4
0,3.483496608388897,2.4144511569777443,1.0197509714606925,0.08283520026118352,1.2952550540518786,0.01681346284003471,1.0662280368046237,0.3195623492137122,1.075835003726937,0.0470397740773536,0.3327039465642685,0.3525890367181478,-180.10125028450278,5,4
0,3.2041790842012405,2.2086232848415994,1.099999656094207,0.10799980813721867,0.07030832467805499,0.18416062042888443,1.1951394183898882,0.13159035917976616,1.018054879236084,0.11298673176987953,0.31521366316403,0.34342586118064644,-169.26325729717834,6,4
0,3.0410299582932456,4.58615514436744,1.0466311992186161,0.34366401113183187,0.13970980076919992,3.138041386056545,2.31574385273064,1.319405487668707,0.10730759446333404,2.974555118352838,0.2528570995914283,0.3027706452346173,-269.97599774962407,1,5
0,3.388421184921245,1.8389740852480616,1.0899999694876803,0.02301859455949263,0.19429207390993736,0.8309786902425668,2.8585686139422344,0.45062095396247565,0.3711100827065132,2.7131641776290367,0.315820803432109,0.15604159207928714,-202.11234871949196,2,5
