,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,2.9890601477723973,3.8692397341029308,-0.3539783193696593,1.1464132957845803,0.50275703288849,0.5008720625081109,0.354650048283416,0.38514082544334466,-258.44925450838605,1,1
0,2.4438412354407655,2.44993479939604,6.522392813294669,5.439173891935866,0.565984806903693,0.9524143053950889,0.37483330864206565,0.35687294968154687,-135.4083150894478,2,1
0,0.9050880415234167,1.749837814520807,4.095435137215544,4.821622754015445,0.6062044670872511,0.7184418840495446,0.3442381413424238,0.382661109813658,-12.874767844924179,3,1
0,2.3775289567030664,2.8321720292208328,0.37436830863645454,5.03885469904254,0.5037845704341284,0.5753915393643387,0.3426061332572998,0.3945431446658034,-161.79833392697384,4,1
0,3.4441080047984265,2.9749142199732583,6.463559177778857,7.891365194595614,1.1441687560911307,2.6175989732752654,0.31008102180297076,0.2668210322141307,-174.33095917264018,5,1
0,3.4355529796794992,3.156711643645663,4.003908225027209,5.144695966407068,0.644215987567744,0.9565431521623764,0.3451750013255933,0.3399942754611966,-218.5188127067122,6,1
0,2.878455630326687,3.344216248637257,7.931982253841566,4.716223877992103,0.8583756862420251,1.3853787624074023,0.31690788571772033,0.3762740986170782,-186.8591024699868,1,3
0,1.6164225880267793,2.0870080038835757,5.580918044752178,2.392460400907364,0.6092616008499578,1.098773073471552,0.3355176921519407,0.3559281406072111,-35.75019746613008,2,3
0,1.5518717421131931,1.8762934124954784,4.970148283792417,3.6724250442052466,0.7006823667746893,1.5208537856898414,0.31588174712975403,0.34190145555068596,18.0126712681245,3,3
0,2.1372499227077832,2.1969987665784734,8.271800672884515,2.5788297665683313,5.993593333170376,2.903316468684665,0.1377144203839512,0.10534560051336439,-7.551931941578069,4,3
0,3.1170802468020793,2.125259190718251,2.043579923528543,2.3277121141555472,0.7064827346078713,2.1840292143363165,0.3068807833438355,0.193450794052702,-46.88250569174811,5,3
0,2.7776514753351416,2.245445638530429,5.900622035415388,1.2302930566629322,1.0796727009129357,1.1720275704155156,0.3024328434880391,0.32233404160921575,-61.06017187795473,6,3
0,4.14494459708048,3.820482090561491,12.085254289437605,4.935791710080483,0.5337203599514382,1.1971850376902333,0.33049821922861444,0.2930328069250324,-304.67452529326886,1,4
0,2.513655174864291,3.2903368443027823,9.965152504385623,1.7648811266045117,0.6303182487970775,0.7595144535353944,0.3269510110783217,0.3578447806441365,-218.81060424968103,2,4
0,1.6509401506818588,2.067565332257331,6.405371601335126,4.307622855568362,0.5077141766974331,1.0705117907122315,0.33954139120519417,0.31608380084346466,-88.69940417495432,3,4
0,3.861219473233437,3.2074328150015687,9.332717231270259,3.9790077569528735,0.6694727813806316,1.8661342585772331,0.3490735715646609,0.2458788680799373,-234.06331868327726,4,4
0,3.5926400175903512,2.479067056347665,5.008205626142248,-0.4328158310450223,0.5193216547774613,0.6039441128190561,0.3357471978253366,0.3529937506533416,-199.2483625655342,5,4
0,3.320701491267555,2.4232197402721956,6.574258471793457,5.112202376296463,0.5243321445403293,1.0147230991332723,0.3277206554104287,0.3202615556130542,-193.5591025254922,6,4
0,4.242187807002351,4.802438364980734,9.784738667561019,-4.580729235311723,0.6037635300394277,0.7512322734004577,0.32801582220199293,0.3756754724036647,-292.19347279464404,1,5
0,4.145446137638127,2.8992218597926027,11.783263060930057,8.300580475016876,0.9827086419922959,3.2290767347083413,0.33622523935137655,0.3242756800367568,-221.7626515203686,2,5
0,2.4687128259490136,3.3760408891804903,13.189933758695219,6.743044365879141,3.728420196878228,1.9658485812679851,0.2562006337639712,0.3826620000331412,-181.25500924144768,3,5
0,5.059451023888099,3.4260826710219177,1.1376083659022922,5.0484367454847545,0.698381087444619,1.6923122794934178,0.34484133521150423,0.3664337575694513,-265.93709137696476,4,5
0,4.608440176455012,2.6402504561822746,15.0,4.137317663518393,0.6461933244573825,1.0925961749368795,0.3715249828203102,0.435254474330547,-224.3749076375015,5,5
0,3.7843717438275317,2.720994657764555,15.0,5.036013097274216,4.200432061786578,1.3097370789874538,0.2591506786761364,0.38707904968998474,-206.9840252604864,6,5
0,2.5702663538602635,3.086758496804768,14.647734975140676,5.762242880380367,5.354817255453064,0.976370694114312,0.18747302107800956,0.3582462035561716,-197.1742051587292,1,6
0,1.5730263432863443,2.3759188800202975,12.431207770306049,4.7311649498702435,5.995493897136698,0.902644040361293,0.13086410160540007,0.4040776204059727,-94.96749961095264,2,6
