,Drift Rate Speed,Drift Rate Accuracy,Self-excitation,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,2.9456089680052533,3.9399251117815526,0.5707886090245344,0.5158561631494254,0.5070769765273035,0.35473187289338914,0.3886049354345291,-263.30560636507795,1,1
0,2.4047198476555303,2.41636323468113,5.211492228632369,0.5245923344114458,0.92466266730588,0.37285820067871633,0.3568050483084534,-140.17575639357494,2,1
0,0.9006840289814986,1.7484407349508924,4.6104695347189795,0.6271248839463066,0.7076761198684065,0.34590786638557314,0.38502466920418976,-17.890136608390506,3,1
0,2.349984662379404,2.8199709743038515,3.761172743914157,0.6070487428456044,0.5492221745302461,0.33290157034678514,0.3938065594519041,-165.45776347394485,4,1
0,3.5170575102149786,3.005717920997041,7.581300691228227,1.2667405354003909,2.5416904979783883,0.319017440961387,0.26684164138354804,-178.80219411042836,5,1
0,3.2652607901423956,3.2811563594957702,5.180551607061243,0.6331019303940741,1.005050940100281,0.3478968145286264,0.3351393219608695,-223.22599488914372,6,1
0,2.73872256951692,3.4688877943503242,5.703733252927926,0.6928478541726246,2.0288161022071725,0.31295174999865333,0.34649647088468205,-190.995520878286,1,3
0,1.654738057972172,2.078612096338107,2.5852694374907506,0.5296742582588596,1.115557235089363,0.3303502097860751,0.35165570799233675,-39.92212124001581,2,3
0,1.5711611140785273,1.880359106899254,3.703999103206371,0.6171494816616323,1.5348959897340295,0.32253713001742823,0.3441556981358601,12.958300435689637,3,3
0,1.9253373671533203,2.1551634791848464,3.1066438235443607,0.8138315274640386,3.378652388665915,0.28741252968272446,0.1051270553806436,0.12626626463592316,4,3
0,3.0995046012810805,2.128143554760496,2.36741378877433,0.7150146251753027,2.0090915842741914,0.30717609031686344,0.22596603984932717,-51.90551759494432,5,3
0,2.6957556988336453,2.250695056671841,1.7502115650288026,0.5932046917682974,1.359125631412071,0.3439090872611067,0.304845508145409,-64.43456674488661,6,3
0,4.051247441547736,3.7854750888147737,5.336515236502316,0.5006513909823176,1.2120203640876088,0.3225672464171274,0.2916356432559123,-306.2749151510875,1,4
0,2.604943820960772,3.1905345200937547,7.465510917802358,0.5264650917971063,2.7041596430275074,0.3311682415302774,0.26692388172412607,-215.20105751907545,2,4
0,1.7212934714015082,2.065476199150714,4.877083051669823,0.5002499940181657,1.1463812711497297,0.33842972774362245,0.3133122511567228,-92.63082494653995,3,4
0,3.8867937862992052,3.4163838945189733,4.9687323526739045,0.506256023885518,4.555314492708616,0.35571562779752075,0.13246471865518272,-237.85723609760774,4,4
