,V1Speed,V2Speed,V3Speed,V4Speed,V5Speed,V6Speed,V1Acc,V2Acc,V3Acc,V4Acc,V5Acc,V6Acc,Self-excitation,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Participant
0,2.9356349472745893,2.4588233298918825,0.9116359735862832,2.696817617220886,2.8598406708392394,3.2985054848788167,4.12318176682087,2.525396731783281,1.759575268498042,3.0058064768358976,2.7713328952332743,3.4548741863565584,6.335275920337381,0.7611726613953209,1.1653597126124695,0.33803182875159254,0.3388544932942968,-1038.5666303735973,1
0,2.90285254583153,1.6903081258046972,1.62089325289245,1.8998039993933027,2.9507297055317725,2.3832939989532815,3.101340270612144,2.1401928886141195,1.8715842366046271,2.298845986151633,2.159137307503748,2.222418074614436,3.817262573379712,0.791726405699785,4.070903884334358,0.2918542307040822,0.13752108486098535,-338.4850698541198,3
0,4.35931425872509,2.6485102414715844,1.694477699899866,3.2189106398441445,3.487983229858421,3.573233283917409,4.168644796774193,2.934104269113,2.061826025682899,2.864444877564583,2.4295391017628387,2.572227936936275,5.12840527174851,0.5567295924953881,1.3540483907992884,0.3251178544765328,0.2958674319708402,-1315.8337267853444,4
0,5.148167569722346,3.715787257643864,2.3451186208670958,3.671799501173398,3.669041585347236,3.686281390678749,4.30209668920287,3.0724404698404153,3.0729494446944208,3.332342524814372,2.3545063550647773,2.9413595817025056,6.704451118620143,0.9363044021650602,3.2529732815288304,0.30790681070201276,0.3052720908998149,-1391.4918852866356,5
0,2.0151783550721993,1.3419352853897972,0.485030553626818,0.9373805448014708,0.7581725592068671,0.7511022184301284,3.7600786779759456,2.2691447052437606,1.4833879364912477,2.2239955570979113,2.4779907104589776,2.834951562441818,6.6177503233355495,1.5762438452788865,1.8157649038356634,0.1505836748432149,0.32942210673153904,-393.7405841058079,6
0,0.4268702713914765,0.0007325994527582758,3.756927080988959e-05,1.6915521217500509,2.1009718639859876,1.7118942931093346,2.5044877593923616,1.4618570873277719,0.7350206038400118,1.4964181288714797,1.4714691941191262,1.768833075924192,6.5753498325379836,1.2098342228038819,5.2561905064158445,0.17495475040060182,0.10655022717880164,-3.7953749623961386,7
0,0.7549994739855476,0.23768451899498355,0.0,0.594387013122204,0.4946473309201295,0.368536825253232,1.8633641593060832,0.864883043210105,0.43408907780756584,1.065641639700844,1.2721128618676205,1.3707028416180236,2.053304455559004,0.7377203133273249,2.3121881792662515,0.17346764223131833,0.11967206955368753,1175.2927954634745,8
0,4.322096706815499,2.0621977557950166,0.8088888470213752,2.9978238454701964,2.9343439203820374,3.0068463978168936,2.88897191591827,1.888867786930326,1.4350924432224759,1.9990250956010684,2.0030342154355676,2.3101508313460317,2.924003852179084,0.5043226396938949,1.7118840343181911,0.382180231012404,0.2703828966487765,-631.9224667481108,9
0,2.439840929620634,1.6386190108750662,0.6059387160504519,2.1925459223460138,2.574927092362749,2.387555434222262,4.540352821618871,2.5719106189182455,2.141460219359213,2.8040782801585493,1.9886951525038032,2.638349115315455,3.7627814873393293,0.6203537428332524,1.3911718616063735,0.27141656500142636,0.3018155463315684,-1628.453911678148,10
0,3.652119318249633,1.1595641503027254,0.8517900998377705,1.5017632228052509,2.10725480059539,2.1707462454795365,4.68191080966834,2.565917492465232,1.6802960946814343,2.379538059158283,2.2881812903235708,2.3111062610914255,5.627181825876369,0.6167555272599077,1.3976569954880922,0.33425054059309134,0.3347641761133915,-1789.1481479114964,11
0,2.1247648551434404,1.380738123893382,0.429956967945035,1.3962115968185909,1.3257238173790789,1.5651238064429793,2.556086039257859,1.2116529745547728,0.7982901501757618,1.5923908667324884,1.3850125846630597,1.5379456754001994,3.8166970141429224,1.2843203422156555,1.4637648587753198,0.18493468992584222,0.25535789316094604,479.0779112821235,12
0,2.1873075820984202,1.3361579377522779,0.4426410554856659,1.3702287394215775,1.7219392225039747,1.2101316585625195,2.0618059904006225,1.5971809181230414,0.963142725308991,1.6313912398028385,1.4394101244965405,1.6212324953246928,2.737156537254597,0.714973567703459,1.2616948095239733,0.3117826968483727,0.3195808421445173,447.20763942263966,13
0,3.6898272795358267,2.1920295734148056,1.510247114378149,1.8354445168691536,1.721805468723986,1.9296277865727611,2.960609144858968,1.9811371080299787,1.480643339193498,1.8455566368377054,1.4033156980909407,1.4965307495479734,2.2485815181288227,0.8076005448164496,2.154229034372001,0.2866485487630724,0.1895634267409806,112.64040724721856,14
0,2.394962566293857,1.761823705566508,0.9158162519690775,1.8883920661810307,1.6829705838718036,1.9119768580700294,2.6693017022416567,2.063866409091804,1.2456603308142233,1.8504022241276985,1.798493330300764,2.1409382942581177,2.74535723853252,0.7285527200278406,1.625138844764969,0.30679600885057234,0.34607222860315606,-234.52170412287282,15
0,1.5668268838970685,1.1420314051643403,0.8068206971213314,1.108860526257581,0.8583795217468873,1.0194826434942117,2.5630898616957793,1.8810479543545764,1.3241325390839294,1.8906837819832751,1.7729363015464987,2.0858134024602712,3.4166099800718706,0.9106087941241325,1.5990140354785285,0.21364288003503856,0.3123722889045967,555.6059704022437,16
0,3.199831204787102,2.5026994757453167,1.9357178088935585,2.118356119435715,2.255789863222882,2.179019274359368,3.2311192215880706,2.4942947825530855,2.05315750698595,2.296680922176125,2.1939021219491583,2.1619504076855867,3.7630182776278156,1.173859220663005,2.669970383108881,0.2605573361126588,0.27388975352561795,-882.8029530221108,17
