,V1Speed,V2Speed,V3Speed,V4Speed,V5Speed,V6Speed,V1Acc,V2Acc,V3Acc,V4Acc,V5Acc,V6Acc,KSpeed,KAcc,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Participant
0,2.7820421901597756,2.65323218107501,0.9154189738091936,2.158840691538229,3.0210023651962308,3.212931492749145,3.820880318358676,2.6784678866000426,1.7273147874326442,3.034542657670818,2.7278337766279295,2.8546516588911537,6.194867918388369,5.595025971070098,0.740048551698572,0.9214142564645083,0.33381506939187333,0.3413567005186937,-1024.3866484817247,1
0,2.9692750410646047,1.6204249514450295,1.60370235767697,1.9389673443097162,3.0066636626839562,2.418505376236364,3.251361072143136,2.2342032063847994,1.8164426690735462,2.4266757125593315,2.0444300807373956,2.2168039314052312,6.668598849795596,2.7880453987293774,1.0160715564174323,1.4373662059276535,0.2922505847586471,0.32794645685142554,-343.33566186495847,3
0,4.46031984897452,2.606470778481072,1.5927302162712267,3.20966907606209,3.6243568088342566,3.6505025506467077,4.009417186018766,2.92501596874202,2.0555034586668546,2.795190566718658,2.4160835131959,2.4847463727263936,10.108184584416202,4.224017593412017,0.6830556112845292,1.122894824247608,0.3255951596009262,0.3028464123989061,-1316.5149434759712,4
0,5.8594119016049335,4.038175586769573,2.3560442246163933,3.874093909555542,3.9346125161393544,3.854671193609363,4.262257078059124,3.03197446108338,3.060944022166874,3.318832998205368,2.3659577982658524,2.9209159443537516,12.902346862783617,5.975026108317202,1.614693217032798,2.4620273791335245,0.30648994980837113,0.3230259163700223,-1419.0364571190146,5
0,2.177790779682037,1.516341899409673,0.43348380540233566,0.9475409855447963,0.7183627397618049,0.6177617121887691,3.6735708214487204,2.2160267131996867,1.5226653815273958,2.1799273084956114,2.3557336927592774,2.760485149219781,10.73227773424458,4.0881346900958295,5.947021651133065,1.0188458425390174,0.10176596088076878,0.3639240470289118,-478.3889216300837,6
0,0.2115238069417766,0.0,0.0,1.7879383888301932,2.256126940285379,1.771107266097192,2.4714876556362704,1.472442238141971,0.7523695039232389,1.5996310558676896,1.415565003972659,1.7392374277228684,10.260838568388372,5.5527985500518655,4.533343464753393,2.0417010468265557,0.10178675055332259,0.20625974160804628,-34.48427576208155,7
0,0.6192834184318096,0.0,0.0,0.48328864357436857,0.3828707071711802,0.11133743683351045,1.8566345074216848,0.8758198378234807,0.43952079086021945,1.0678246647386465,1.280302923251156,1.3645609536931909,6.521770137225754,1.8638137025951838,2.042923685339102,2.1806491965079617,0.10730832153466774,0.11589394782162427,1073.0846061723041,8
0,4.4008417239620945,2.05631935950981,0.8414507536846937,3.022014064681489,2.9623145677731797,2.987432448803273,2.969601898543748,1.941753388015103,1.471670540281144,2.0428773625925127,2.05690090430821,2.3694346558792123,7.853887824641297,3.03582969112177,0.6134900665453036,1.8057029785987102,0.3818814087397223,0.2730221004250574,-638.8015638484982,9
0,2.642682796551287,1.155678413041212,0.7108385657147854,2.403945842235245,2.5101582049123334,2.457415833756094,4.066506733325405,2.6838974399097526,2.261862344023904,2.6616453399143083,2.0589891593569045,2.6137759491101917,6.359957436239892,3.4255451374904053,0.7673892109442173,1.2607217858917608,0.2728805627644751,0.3011515089172483,-1646.5741522763801,10
0,4.027899884524266,1.1986406886030863,0.9906745495103318,1.2966081361733304,2.2015134126713227,2.277343623085555,4.728177419331252,2.58352075512022,1.616148505513742,2.3655981882370973,2.3249654914614286,2.3233642650427035,14.16695273117007,4.697677052119312,4.820759473814159,1.098709017267335,0.24090820366234633,0.3580562477300815,-1766.2791151038252,11
