,Drift Rate Speed,Drift Rate Accuracy,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.5048624230494592,1.8865250376189437,0.5766374300400932,0.6566810010222748,0.2353143126073698,0.30211960730091697,-450.0084948367822
0,1.113666916852976,1.9157133533142308,0.5028029254595718,0.5280128979190855,0.2335779638354341,0.30130102525934865,-1237.085326693365
0,0.32081346102568586,0.4425291044008688,0.5000879904095021,0.5623691589429738,0.16654295516608275,0.16651980333970196,513.0257781013395
0,2.446206683575316,2.6535754634848345,0.5,0.5064364910643013,0.28466879998706507,0.3004391217910507,-3393.8858943194873
0,0.5176345435596549,0.7647612614063262,0.5,0.5749525283672642,0.1638664428430578,0.16152683316464195,176.27855514964665
0,2.050766253022299,2.4134300339215464,0.5057249161388003,0.5045666068318939,0.2478697739795,0.2768417223458513,-1411.3212038032473
0,1.7808821341532675,2.100744747114686,0.5,0.5,0.2730343855166064,0.31082034895138216,-2180.731584568044
0,1.9093712072978262,1.829775834928373,0.5,0.6713188821513667,0.24575554969564056,0.2662215997499004,-1516.9400193087051
0,1.7073916026846885,2.1592344248247,0.5261657800648234,0.5703362366210611,0.27312802925924445,0.2960679085627004,-950.6236562165869
0,1.408852519669621,1.742805321293574,0.5,0.5149489413193536,0.24437855335786446,0.2771573758441442,-1317.7383935468413
0,0.23294855251370586,0.3122316273959347,0.5,0.5102835257831344,0.16535198311950206,0.16954641052396063,107.59333149159866
0,0.9135046562796673,1.3705328490850497,0.5,0.7574059304610266,0.2117866231315499,0.24639003598211445,317.1639435284162
0,0.45197658961881143,1.1253823799926082,0.5338324558506335,0.5926623685015835,0.16510618759336604,0.212528481715404,525.295668022518
0,0.0832687358747912,0.5986960256030919,0.5,0.5,0.16431626815678796,0.17315990440818574,-144.9635787625628
0,1.3867226325524147,1.567861164645674,0.5218602904880109,0.5,0.3244468794367361,0.3580805749693388,-573.965772379622
0,0.15773803305425135,0.6656337656247556,0.5039472343285656,0.5650934449879921,0.17176196465425786,0.19565028834078668,542.2368752191687
0,0.7782633261689369,0.8724444237993763,0.5,0.5048845990562997,0.16537385306595265,0.17367540493236144,-683.7548185160407
0,0.44977011092525265,1.1921662009652239,0.5,0.7016393460207935,0.15243916033819227,0.16296994022244338,718.9592379908516
0,2.304658558414036,2.6339425026952554,0.6154275196322923,0.6952054650713104,0.4036132718975517,0.3936457253549517,-2078.9757142014955
0,0.4691815271113806,0.7725342479154698,0.5000261505077248,0.5535639976483905,0.17021628362629504,0.18533771956172407,12.108205407685936
0,0.29224089167222356,0.19303660929169372,0.5,0.5,0.1650273406763213,0.1635619022057796,-317.1829913237786
0,0.4794627757061417,0.9539024952275698,0.5295171605153632,0.6671403398847414,0.18878152079336685,0.18588863026039437,1179.8379429440529
0,0.013338317435248825,0.24589569277945955,0.500114148223219,0.5000625699008499,0.15430399596424266,0.17766051732134375,-426.2504829473381
0,0.2236460270408612,0.7085387185390237,0.5,0.6043027202801556,0.17748461333208398,0.1857498626827107,327.98631626516027
0,0.21814530799139673,0.9483436395777894,0.5,0.7973289151687981,0.1558940286502648,0.17883666723522007,528.1141619138943
0,0.9009652759812001,0.9865196536646157,0.5,0.5408577593165677,0.1956932880386021,0.17086509996834837,-268.3733501550025
0,1.192020458185425,1.7194340126686274,0.5,0.6287473754663423,0.17715248120983085,0.23495869963603838,-433.8596520662055
0,0.2009109654376307,0.12265625597900714,0.5,0.5,0.18305520963400046,0.2156609274867725,-282.22471010771585
0,0.44180111329701083,0.8004940570393111,0.5,0.5580627637041067,0.16754487437629778,0.21229433471343867,236.33150098725824
0,0.2007270253551972,0.2294311754398591,0.5027498057973371,0.5672050001529341,0.17406669271792152,0.17777663950822875,495.76849734817307
0,0.29116929789302803,0.264543808079452,0.5000020135845933,0.5000072478359785,0.17026801243808648,0.17129889927885517,-32.44523942156127
0,0.49805731488025323,0.31723277405639516,0.5,0.5044180796399492,0.17654097110277484,0.17129824025269202,49.43481118298964
0,0.19747599133820312,0.22933884902851712,0.5027547452259384,0.5672045138910659,0.17116106741467751,0.17857325638983274,495.7677125203198
0,0.10640639990857155,0.7197333195381532,0.5,0.7966890200579526,0.18014957062288073,0.18471426350512943,779.04961214016
