,Drift Rate Speed,Drift Rate Accuracy,BSpeed,BAcc,Collapse Speed,Collapse Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,3.004487705182809,3.5505220486794817,0.5162203678757025,0.5699451767439623,0.0,0.6363636337187507,0.3578555857591327,0.3770046697586579,-258.7580516088094,1,1
0,2.4027472300730763,2.3106034832598685,0.5034490216130441,0.5995515808144011,0.4666666635727881,0.08571111666630794,0.37710458485416254,0.37917472823403725,-131.6050799101094,2,1
0,0.8934715239845598,1.7624893937065342,0.5460607811543388,0.5371912539910143,0.2894736751474484,0.06818072530827587,0.34624956455486644,0.39944821917104517,-13.165764542637604,3,1
0,2.3363439259467986,2.847524222026862,0.5002025138441399,0.5030297001210178,0.000208172964012876,0.08187602885762346,0.3443157466848046,0.39365799677951885,-160.6783887296723,4,1
0,3.127804087219307,2.5426346921733454,0.5600674013588156,0.6661771594953613,0.08139516552912077,0.4605242420230983,0.35755475582840274,0.3545192616027469,-164.21891651467212,5,1
0,3.411503947297385,2.8160454773521946,0.5533155038914499,0.5787241725774486,0.17445716818361734,0.009902419688141872,0.3487387348071105,0.36934861565185184,-214.0334268477381,6,1
0,2.794477803784752,3.208993774793901,0.5399196392610671,0.8786172731085753,0.26315790941313355,0.42307779959464703,0.326473135297432,0.39815805545396954,-183.550194705239,1,3
0,1.748561597129131,2.1502542892429983,0.5083611798670515,0.8287820459866101,0.042735042232594535,0.04273589438896357,0.3328886337382616,0.3752513215176668,-29.696187048316553,2,3
0,1.5989828424127341,1.658561833759361,0.5100912400406882,0.7695138130464373,0.010991126285252811,0.11029205686749906,0.32608688173018974,0.41829879938999626,28.17683348462524,3,3
0,1.757235196780059,2.1116747899957353,0.9187934627962477,1.8742983968824043,1.0740740550188428,0.8545454324639682,0.26926119629728595,0.10866562468080604,-1.909679824190036,4,3
0,2.8920216326033703,1.8971715129683806,0.738584250836928,0.9612776299799116,0.615384603702213,0.09082689489307187,0.2916343180426047,0.34135346395041977,-42.96297929760331,5,3
0,2.567782460362606,2.267927060430775,0.6922878901846695,0.9987945729757994,0.6307435872439341,0.09278349679851267,0.32336454262399356,0.34324675154686124,-63.462000018124314,6,3
0,3.9181563141715836,3.501771353088867,0.5043617357676977,0.6707068949905968,0.9047392360737767,0.00037467642544752877,0.3249053914257982,0.3247249356031545,-299.92829320139447,1,4
0,2.3594541278451033,2.9798674061368127,0.5081575624813794,0.8249950184233047,0.7499999970397448,0.6964647354972999,0.3217805698634273,0.33373031500585343,-220.88511465973545,2,4
0,1.5632738657813212,1.9869160677608575,0.5072747597296128,0.8455299958997436,0.5499999953953507,0.7172136052373762,0.32417604981135095,0.32903894885245755,-93.07569428495457,3,4
0,3.580762950572899,2.970677374861831,0.5491227319797778,0.7613103475258689,0.9475134773990147,0.1145833260505967,0.3458245907674641,0.33518426150578406,-231.7566813768725,4,4
0,3.8757949014337183,2.312999838977486,0.5022010507697572,0.6970050266222698,0.1886685469379826,0.3808140277074733,0.33451341725064776,0.34631480954333366,-198.2225758428218,5,4
0,3.3773646144330423,2.2599423915603714,0.5009697168142115,0.5937457552951431,0.5937499817418337,0.03197351697882488,0.32683238696611494,0.351966834275755,-189.21558215573458,6,4
0,4.433654654841305,3.846246550530758,0.5021928828053164,0.9671015859101904,0.38095237480927335,0.15380277909612805,0.32422590723543576,0.3549592949950874,-287.8914848603328,1,5
0,3.6728987809097617,2.3126977846653385,0.6789361964807852,0.8011099869056005,1.489427108989872,0.8333333247886316,0.3338408494708214,0.40217725968413515,-216.2758599633732,2,5
0,2.195742828266766,2.8630593729268647,0.6010401440464122,0.8800368631491161,0.9285714243678167,0.9933834200495665,0.33291037840997556,0.4222832403114966,-188.72769159340066,3,5
0,5.553093546421424,3.342394415992665,0.7259974563772067,0.9633339091950817,0.0,0.5396757491079419,0.3448885456248092,0.39745644892236875,-262.2851260628549,4,5
0,4.389100022748537,2.564490829453043,0.5030294358173766,0.6408570696838312,1.1764776553534264,0.0,0.3767609080353487,0.4714146500247301,-220.65529676627438,5,5
0,2.6653528779128153,2.550176551576711,1.0472706371285536,0.6736947207189792,3.1666667222749085,0.15434909795302257,0.28724750874219707,0.4357427231953744,-208.54653502734348,6,5
0,2.0106440179575857,3.0206505414671616,0.8488592727144636,0.606198782381866,2.095910992737796,0.11111112098955138,0.2462868409936101,0.3750491741936568,-205.45273036846032,1,6
0,1.2154493539590874,2.286365152886068,0.7405188298626809,0.5663059792650125,1.095242906300355,0.0,0.21258986682301378,0.4310533900062028,-81.10716412869351,2,6
0,0.505045606812749,1.5858170856796723,0.7610178933520334,0.5627245588889971,0.9024390232234601,0.0,0.1962482732080587,0.432656854070914,22.6913809172234,3,6
0,0.8928031650015359,2.387953083111382,0.7676884075112731,0.8770203387500526,1.0048887413480392,0.38980821278614475,0.20189509672996042,0.37683942457454045,-41.680197690756856,4,6
0,0.9572459859357062,2.288200108686958,0.5781203713207482,0.6248916966802835,0.5281999263003229,0.0,0.27462224088779225,0.4025487905961826,-42.23193539882128,5,6
0,0.8776746776969049,2.474257415747524,0.7443559824522726,0.7876227094993458,0.5750001184709751,0.39285713950400236,0.17779080357687976,0.3538454318975557,-31.416772354547057,6,6
0,0.4794271804231815,2.242029533227356,0.7225264189825299,0.7192858875080561,0.7499467469261248,0.30769229855109814,0.1631731333910792,0.2724190648607016,-18.096725098953613,1,7
0,0.0,1.3578194411510032,0.5364176155393974,0.802246465056439,0.46268656236817707,0.8928571371772799,0.24478153205609027,0.29140190776262415,-4.071841020284062,2,7
0,0.0,0.6875467976377084,1.0206714538704218,1.0884707591465936,1.639999998237634,0.9529955954434314,0.1355284067492714,0.19860749009438244,68.92633192004762,3,7
0,1.8169430401042619,1.6263058002580526,0.5545892176533783,0.6827422901861733,0.23170733245910272,0.0,0.24236524455815017,0.31353763298544,3.0719570042833553,4,7
0,2.222800991403676,1.386455704436416,0.7495815913395618,0.6358547144911806,1.0044930128223215,0.1323529332106713,0.22787949463360996,0.344503991555756,-39.849928017796,5,7
