,Drift Rate Speed,Drift Rate Accuracy,BSpeed,BAcc,Collapse Speed,Collapse Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,0.2328749733015396,0.9041871503552761,0.7035319937113189,0.8603051067398084,0.9080433369706706,0.61466667742229,0.24669560227785076,0.3193903453960523,-17.628979903309755
0,2.1443837335294176,1.4729186026097512,0.5361093412079584,0.6033357983530179,0.11111110914992872,0.15741356845688081,0.35394631485981376,0.3855760306494449,-194.68527140917348
0,0.0,0.0,1.286661726552514,2.06215244181832,0.7078304467771808,1.5779816498692092,0.10823676024546885,0.2976422627821995,486.9723006975304
0,3.0656748435593992,5.739970727174076,0.9838375387314121,3.066100475168678,2.0749441321548368,3.142858355985467,0.3027840186534162,0.16545459308090454,-207.2832333819796
0,2.015593547516907,1.9526680064860307,0.9263961451009782,1.0443279346405925,0.8055555244176662,1.1499997926199546,0.22237843204115743,0.2812267055214589,-97.2534973302005
0,1.383316895794447,1.7645170199019105,0.7558514014152617,1.1862658406406195,0.8629525074773534,1.0161636724498408,0.25525311228410097,0.26114137692650835,-215.87622446301896
0,1.381701188709062,4.748943088300851,0.6106843577364147,1.004720102821239,0.585872533007466,0.2659663725363345,0.2309814966530967,0.37230749791021,-495.2516589376872
0,1.3800004363823895,2.1800201845630145,0.8631990197631181,0.7348969027850409,0.5588175196067549,0.3208579106715159,0.17598345945308697,0.2843907568119021,-113.68415025855174
0,0.8503043349000183,1.46598998180605,0.9481624211815345,0.8504762459092077,0.6142762643589241,0.8059172819427873,0.16389844816891713,0.3084855197530948,109.12203017484195
0,0.0,0.37255303381482874,0.572677129136268,0.8730868100529021,0.365093490296476,0.43639313393675,0.15366155713038793,0.22525743593765596,283.0380614532521
0,2.7623397858605854,3.6654500292279604,1.3045731923527961,1.1530036887982211,1.4074074063124262,0.8772128945707124,0.2956827886745041,0.3699374739019302,-79.71314359651535
0,2.278716458586007,2.73000972338183,0.6397691666437163,0.7954735021218695,0.8846104870967664,0.6238867531643635,0.31318621782503453,0.32628066489948915,-705.2384513228934
0,3.7780692023736373,2.8014449512879844,0.8899397992812871,0.769056110633511,1.2272722038653514,1.4054052874196374,0.28585744901352483,0.3022958425851552,-661.6720220552098
0,1.5378592983854515,3.2961700579428443,0.5460137868236008,0.8467458783483739,0.30385580545442853,0.41876715122755886,0.24398448910659865,0.3076273299169092,-409.74961243130616
0,0.4609245335994343,0.09554393667022376,0.5782184433438573,1.0044422271105895,0.5324659049838871,0.6215119933891522,0.3348949659536745,0.24024043230831876,510.7282252895717
0,2.936763654690058,5.3705882551423505,0.5830420111678021,1.42642936212011,0.1396150460476533,1.9624695228244695,0.33687025455029307,0.3029488354657508,-472.43692941672555
0,0.5862088113424662,1.695462635024674,0.693412255251491,1.1664341376613931,0.3717050835202673,0.8811086871353888,0.14558475824936612,0.20634079633332292,347.2364902362579
0,2.7345266259009176,3.679534707345065,0.6432946507074827,0.8872162528539991,0.879775449543448,1.2553261507678444,0.2638248970356022,0.2691384552548374,-1037.3232384933467
0,1.7110984418371733,2.584803897968382,0.5213023302848829,0.791286098053041,0.30769212055697315,1.2207737084102754,0.2795113491544355,0.27360867522617494,-354.0322016482585
0,1.4765577023549488,3.1309721487230435,0.853616515461511,0.7281392089076899,1.3951493661459087,0.5753133619953701,0.1961710861424399,0.28635375612917774,-978.759180803685
0,0.568226447716194,2.2407805041454942,0.5019750608468216,1.0518766053628577,0.47135292500917525,1.414936883319823,0.21735432521579695,0.25919612407100256,-379.52208783357327
0,0.421997206223801,1.2963720669513707,0.7561776762476288,0.7227008633705592,0.6768454996026847,0.514590675391635,0.15559831862602913,0.3275282240734112,125.12284457970173
0,2.4466742710413687,5.193806945189412,1.3356174472976687,1.9154632205758206,2.9459459496557847,4.0,0.22875129326005583,0.29583450647374454,-265.3967354191801
0,1.6542233415594145,3.4574214054049155,0.5881834268616601,0.5186434499248627,1.1437620099000594,0.6783797048668596,0.21119309748227155,0.3082195255971769,-1187.8809833480248
0,2.1344622465305116,4.18434111035401,0.7188624164430535,0.5399488294185133,1.1760067596727575,0.008325018990051003,0.2457378898014828,0.3400017833989085,-907.2643622505625
0,0.8924500937355777,2.774086205972905,0.7598159004616543,0.6463985152349321,0.99004098741674,0.7305309361067964,0.14531509284431499,0.3065279839754508,-545.1715400097629
0,5.799950020879907,2.521811234821984,2.5068892477748976,1.1058047505243778,1.7419362257876971,1.826086412501336,0.14129121766561048,0.26183877033458575,-248.88533341154522
0,2.4004652386542036,3.832261117721277,0.5866199696316967,0.5141081248502375,0.6818116620690731,0.32812499722729155,0.24541099048825743,0.2969991353583972,-932.4636921084442
0,2.578819935446008,3.3695560702622123,0.736014709974318,0.5179355627012674,0.8721805559507769,0.6270605946696168,0.22265097821681917,0.301784739348951,-916.6457518719907
0,2.967889827383573,2.7772374786879817,0.6123671942028438,0.628435445879328,0.8353771838365497,0.5333333402084999,0.31195592594450505,0.31371873187205945,-797.4600069353595
0,1.5771633954544506,3.7449210896711134,0.729093076165527,0.7656843034652021,0.45516492297087185,0.6168570288912747,0.21810891992391146,0.3010914844576883,-297.25238036295355
0,1.8641670726415898,3.9323562238713414,0.6213603510412569,0.9412068921411614,1.0001144696750688,1.833333318582341,0.24866844281344447,0.27363373128467955,-1382.78477654189
