,V1,V2,V3,V4,V5,V6,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Participant
0,3.230787438310232,2.1829133433133303,1.3648410441349907,2.585172760566753,2.6103689919919524,3.0068644054843547,0.5080102579004774,0.5868511815463165,0.358182983430394,0.3625323967349592,-1039.8885066786302,1
0,2.9549662260348053,2.0266404203186186,1.6741824153486042,2.1582508190200627,2.1066952198135622,2.1780779699077417,0.6167866801374953,0.9063661706050956,0.2981879625869989,0.3572525729893776,-264.8806182780405,3
0,3.9197913644807105,2.8977151082934745,2.019207128260288,2.8666200535565176,2.7868284181324143,2.7307840079163923,0.5,0.710761032661551,0.32633904360517063,0.33347259786953654,-1308.2575725296392,4
0,4.038781525026033,2.933384065733788,2.7042175129314603,3.2258900799200356,2.637176802395649,2.9018836190031116,0.608319667667088,0.8561667655879888,0.30143309561784204,0.3859302520282957,-1231.419042275484,5
0,2.5607793153281624,1.6566279182289143,1.081921878959931,1.5713993472595593,1.5162471774659745,1.7991901826465797,0.6346112376635682,0.6715286739092767,0.1805306157785242,0.3611982100627479,-129.9783738201671,6
0,1.5386584537554324,0.9033048114021496,0.4661793811479542,1.456088023771044,1.4877039077371115,1.6177239077836634,0.5910199806499125,0.6687631779651125,0.1850123742213482,0.2888179789172486,284.3481218240739,7
0,1.3849980832349549,0.7193069012612276,0.33447533968283455,0.8812206461965569,1.0226853279552683,0.9993307889186076,0.6300941659721292,1.141567595489002,0.16253375662777497,0.15202872534661072,1356.7804022944695,8
0,3.3514584861858374,1.7664802577535048,1.199093828540126,2.33504217841755,2.195155442565007,2.492996419693321,0.5,0.8094894563445828,0.38434047750647937,0.4007860374717358,-581.7509698916497,9
0,3.2529852360722273,2.1422883907337504,1.4310075632815094,2.259008708281139,2.197756042884232,2.4542568414790775,0.5475266565216707,0.7308821219978909,0.2777372600652037,0.3482286983685583,-1470.0697185876754,10
0,3.738937476880482,1.8678569241047591,1.212864986409704,1.9343102780580395,2.1988892033900393,2.175515952482888,0.5015142190515555,0.7062108424324495,0.33581409769239323,0.3587876565962955,-1536.0007038092745,11
0,2.3815133345015793,1.294694299329209,0.7366827831961411,1.4879614109979369,1.4999451111102156,1.486822062594915,0.6459758793532177,0.7976319136946775,0.2514112349287509,0.29812867665003173,759.6525447951908,12
0,2.014533634386795,1.5154193735832857,0.740962391464981,1.4346611181128637,1.5196676900862547,1.5440782083553926,0.5894314856893652,0.8221651847403438,0.31307799420470717,0.3501084037635336,442.39455116326894,13
0,3.139510475124538,1.9400351019444209,1.330863037124815,1.8672410675727256,1.4266824485991916,1.5643475517952743,0.6645914386379512,1.0189457236264614,0.2812768008838325,0.3319569634305544,229.72464842172928,14
0,2.4601834516896983,1.889519190939641,1.1268850138823672,1.8896083922165947,1.713266876863755,2.013546562349158,0.6102446337593066,0.989198726611419,0.3072933845499537,0.3792614277065071,-104.17182948422533,15
0,2.039225511827336,1.4396548985223998,0.9908422813113706,1.4401182232495031,1.2759316317583485,1.4050967793509554,0.673585014630354,0.7772128254979426,0.21477290853763548,0.38573954665063903,778.2635845821468,16
0,3.1134592095133162,2.483404376322994,1.8811883044913087,2.2752537195213764,2.268834705178114,2.230284613372843,0.7256002982410551,0.9861520889388264,0.2991943981806481,0.3869645196302448,-647.6868996206715,17
