,Drift Rate,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC
0,0.11899693800701477,1.2798864083881913,3.5443390437835465,0.803415208625884,0.9200033366249747,1,964.6359816156186
0,0.2522723349164328,2.4193865177916356,3.204317987532978,0.9848297995529709,0.8516843462185648,2,1039.6644326208586
0,0.010625012723381639,0.8557494986366447,1.0514742999158415,0.10206630863587657,0.3915374289250464,3,467.65819616307886
0,0.10191742870232137,1.4108730913445806,1.7629474566370422,0.1037973795275337,0.7193919695299258,4,832.1832999771826
0,0.14826016633521413,2.7161938417435967,3.2810479025390777,0.4815933324156182,0.6825367495959018,5,1158.6313345177703
0,0.1554471757430713,1.045951190926412,3.655128663651244,0.8165428648510047,0.9936426364176199,6,886.0496484651042
0,0.24698814412970865,0.784596356684626,1.7301026320352118,0.36869158143364655,0.9725762906497288,7,580.7326799612572
0,0.24956316638348086,0.7597531229526251,1.59545311860474,0.6768968440891259,0.6249402617240059,8,554.5645915447351
0,0.0,0.8364161090972991,1.2066637657511865,0.15857736919862642,0.1009552468244761,9,622.2587070444963
0,0.06564272023555076,1.567575025168193,1.8279284827243678,0.10287486404552548,0.10470006986796115,10,929.9047912368492
0,0.27231451825188885,1.0329204444405848,3.4235880776462113,0.9962355714349214,0.9506853815907863,11,806.1594240827238
0,0.08889009322768646,0.7361590379000902,4.583316521762822,0.3895910990432029,0.9474328096789764,12,771.2040672405728
0,0.2760474969955534,1.0544287897066091,1.7855907429883175,0.7417996139295506,0.9651985802973992,13,672.0557924937583
0,0.21059020661173575,1.5982830349745762,3.4604140183632506,0.7715085235729686,0.7454637061750359,14,953.1010345860847
0,0.1716223103413822,1.221213161254689,2.805631097471459,0.11417130026619515,0.998749737909074,15,893.894601365435
0,0.10444465212988932,1.0034723268390258,4.09310301008648,0.7241139272296705,0.9596392214685812,16,902.5914093921402
0,0.23232420663082934,1.4294243050572728,1.5927140985404449,0.13925979974154673,0.9983648667562597,17,743.0589369355886
0,0.1657955580554067,0.9171443053436914,1.9250210151899523,0.22670002448123328,0.11715572251145151,18,692.5988493627872
0,0.15847838913337323,1.420818988895521,1.853893140409805,0.942171119537208,0.96981470577359,19,825.226440908631
0,0.2558175447819796,1.2455435997821258,5.01175008837829,0.6373687566382739,0.8264308469258346,20,928.5255248848049
0,0.20655636291781487,1.5528088111234142,1.2471119489358227,0.22141802450093157,0.8896871454110422,21,698.6695364704863
0,0.0,0.9759775412646297,0.9405997261006359,0.3081269171780412,0.5532726471226975,22,497.67346634695537
0,0.1949410690843187,0.7846142657441997,2.2140534688259197,0.30025279784435877,0.9576859081559527,23,676.5144090734467
0,0.18336402859234996,2.628807893504919,3.0363008778453153,0.9518036316277263,0.9731365326832393,24,1094.9260421348106
0,0.20999078838000362,0.6247674766945035,0.9299682359996683,0.38184463995243545,0.5860367851053386,25,331.79065348647026
0,0.0958719073214403,0.8543301721372814,1.628821860575667,0.4395629017725384,0.10437046701095565,26,1300.4472679550101
0,0.1983187750073173,1.3989987607466174,2.8382446648472777,0.4024460946393288,0.9785699333595053,27,893.529470628252
0,0.2104768390967475,1.2949799387243275,3.6129740568044495,0.10879205273358222,0.9261075142268927,28,1033.0655420838038
0,0.11364199431962818,1.970971391064631,3.993096015982397,0.9671810047462787,0.8551861547800726,29,1110.005378645142
0,0.19691298982982147,2.813044540584089,2.5295652248135165,0.9554573026811317,0.8603132572051914,30,1026.4182757829192
0,0.2678613696133187,0.7465965295453202,2.0008734855562444,0.12269166272893317,0.7299221141490688,31,610.6175672394044
0,0.1532846015325691,1.2625919179573266,2.9742816197468565,0.1074263522340631,0.10774662305294391,32,1012.7838933121627
0,0.3676539158097958,0.6394966184108092,1.7111960151618244,0.10729564180179624,0.5315717878751752,33,513.5718883999593
0,0.08133963674596809,1.1197045814576687,1.693545361801838,0.1373437161281535,0.9996108023064695,34,700.2185478151433
0,0.30964639942602457,1.4960346465229863,3.4890288593324175,0.7985862327699477,0.9587115212333919,35,912.6401027490342
0,0.2806955305801479,2.380178854901639,3.3880868155507304,0.4572685700061182,0.529300365386711,36,1066.99129124413
0,0.1474099978957082,1.5463651838880281,1.6346858508954583,0.9944758979129804,0.9992237192382725,37,769.5608441139001
0,0.15370058660954364,1.300676221261874,3.4401375456173198,0.10750973870204089,0.10274157196461225,38,1065.4344906107833
