,Drift Rate,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC,Frequency
0,2.075169183124552,8.618173576060306,3.578951142295599,1.0032807295082349,0.27100924384887143,0.32940227178431786,11,-223.42051577691467,2
0,1.327052015957135,8.329087106237825,4.191752775378995,0.7981778836506992,0.27270223135617017,0.3685785881984972,11,-52.558360231926656,3
0,2.298330666282574,5.651152035674858,1.4437959136263134,0.7681553232728109,0.2688068629312041,0.35251313662824746,11,-224.4871275714818,4
0,2.5013830272769817,8.534028126279452,2.8986223392726456,1.4438243375691413,0.238471943380559,0.28248126864821527,11,-242.92379079669354,5
0,2.6902540902116905,5.34834985558179,0.2934428912123401,0.7416874191349101,0.2729274681016329,0.35217664462088744,11,-295.10320140248854,6
0,3.88912195999381,10.0,4.772018194488148,0.7925217391933028,0.33154141791315866,0.36572323141623864,12,-647.9637524983117,1
0,1.8423669187625802,9.9746392985441,6.494525198333542,0.8060765279614963,0.33136480631964704,0.39553739312867336,12,-241.36366244343805,2
0,1.2435152366844031,10.0,4.708707784494899,0.9047711248736081,0.31878886715908256,0.3637915124555031,12,-75.51042788554682,3
0,2.0138750880947094,10.0,4.248487034538293,1.0793143399450345,0.3224610096076082,0.3412278323206509,12,-198.12796733638322,4
0,2.5081973817019736,8.915924303896098,2.377052916688417,0.8162203889819928,0.33640660993553584,0.3916730088094035,12,-313.60694085782484,5
0,2.439602377961446,7.268271398051248,0.5586858549860217,0.6590105382926192,0.35513546786129296,0.392729529975266,12,-293.3495320250287,6
0,2.3171547921765847,7.267682979503437,4.791260731717359,1.8865971902483198,0.20329560716882322,0.2217261783685801,13,-204.97887368529726,1
0,1.3090859524730292,7.723979314313225,2.676272551320188,0.9321802068195679,0.3013309038962586,0.33150169965002024,13,41.28316389991305,2
0,0.699010060925592,7.741463473410457,2.3441947172761837,0.9457069645352378,0.2748735390677303,0.29428042624960776,13,209.91893597957193,3
0,1.5842806156506901,4.649580831944938,3.27492266044174,1.6443357323388628,0.1756181704411447,0.21469154156071008,13,115.83983240550808,4
0,1.6771020252936741,7.475259464424977,1.2331913802686465,0.898990392905886,0.3124606190042032,0.32523893127397363,13,80.76201550034601,5
0,1.6662251208890437,6.688058483538232,2.915932612265138,2.1839485312733538,0.20805453086036263,0.13269638110889992,13,64.37577095699956,6
0,1.993271068594074,8.221691130165958,1.9878088290457074,1.099985552282734,0.3027496159407357,0.3044394140980933,14,-98.16002055027053,1
0,1.575728317318434,7.138252183912041,1.6654698192303277,0.8642111812850368,0.3387116921288904,0.39626777949742964,14,-2.5803088699574417,2
0,0.7116922698491123,7.382688930901903,2.401667761829582,1.0443854861114388,0.31910556057600736,0.3265548892020972,14,238.00788261006622,3
0,1.5619390122254608,6.965801692254793,1.457692335317802,1.0592500492711063,0.31454847745040804,0.33898801853151306,14,66.88970259593313,4
0,1.6885364109157253,5.773324590932784,0.6871359828320478,0.8946254636477255,0.3223538456765172,0.3858650402060083,14,31.63853009960669,5
0,1.5429249123332194,2.923657188133988,2.2937365342068072,1.0534786105687508,0.25322313620322795,0.3379913171650591,14,96.15630441602286,6
0,2.818114390187226,9.391140911950721,2.6330299943914137,2.013222103167028,0.23528519742505255,0.19998313499822035,15,-303.0510615913714,1
0,1.8871153235322007,7.752020825251155,2.358953979516056,1.256349170751128,0.28413705541169665,0.3204904569904804,15,-34.438300647209644,2
0,1.3702272433666765,8.204765736554684,2.407673067267434,1.7594636429929675,0.26274868458751865,0.22282635034000625,15,150.7314495624792,3
0,2.089581293376508,3.588633116036366,0.8224625784220674,1.0228810158225983,0.3294173888506445,0.4168402343795049,15,-101.28268591992563,4
0,1.6506095908006884,4.541742189487932,-1.4746626823242321,0.8673243659132308,0.3005679627770137,0.42293350398645313,15,229.7753860927154,5
0,2.0894869547501567,3.4438437033299207,-5.9526528545328725,0.6490142573057431,0.347385113309853,0.4649245190386012,15,24.560509733058964,6
0,2.4152074375645896,8.132271901396267,0.9414675042161391,1.0209872020330937,0.3114027085176889,0.36959767861977166,16,-208.3075648195693,1
0,2.0080434262284643,7.887483160608741,2.71113561075388,1.8307340862551724,0.26222006652614316,0.31293705165451235,16,-55.56486743922422,2
