,Drift Rate Speed,Drift Rate Accuracy,Self-excitation,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC,Frequency
0,2.9846687324395,3.7733807648774325,3.496067081844565,0.6206260581295306,0.5212480200364187,0.3420908231378063,0.3868591022386838,2,-261.3073602541012,1
0,2.4870303387669925,2.5023165793934754,7.535838302996891,0.5979190935680898,5.098740045619283,0.3719171445479877,0.18078783375906798,2,-130.29854086314856,2
0,0.9003093514426035,1.7474817013171529,4.600971127131063,0.6152321707787758,0.6989224627586799,0.3415888612911814,0.38099150816951877,2,-17.878871648288154,3
0,2.376461560467722,2.883291232996823,4.7884146255735125,0.6263053137513133,0.5772887001297837,0.3390607306625989,0.39666275351066727,2,-164.78232657540937,4
0,3.5749424332946806,2.8551867032795837,7.078256885670286,1.247323888650814,1.8589050762479782,0.315210987757251,0.28936836881554545,2,-178.98049382107575,5
0,3.315327715391327,3.3049007716351637,5.360425965463892,0.6460185983445541,1.0114520357016148,0.34516382900609177,0.3327829179338506,2,-223.44268131008025,6
0,2.7726729355098305,3.447697985209969,5.491250307568426,0.6227636464647199,2.9524658361134852,0.32127026257128344,0.28121608834930406,4,-189.8991469871451,1
0,1.6561762515606013,2.0722537378927655,2.536604022064933,0.5159639795337418,1.0939454156366737,0.33032629416570236,0.3591902374781457,4,-39.86445142870127,2
0,1.5712283657811361,1.8736542644772414,3.6810420110671216,0.6093816022704086,1.518679455167503,0.3274360436148484,0.34700556851256703,4,12.964343448284211,3
0,1.9239967473136015,2.155185791985485,3.1045561320572794,0.8047450411441961,3.3606461569062027,0.2827292576525094,0.10685945570850586,4,0.15041465743580318,4
0,3.1438827364765403,2.0959204314593913,2.2922439626225137,0.7158230603059277,1.9931442150044827,0.30884266366110996,0.21308575798831675,4,-51.91741193856459,5
0,2.643041866283561,2.249257186007443,1.5089899297482474,0.5605327407080294,1.2926994036105803,0.3407715757625715,0.3004988560904125,4,-64.56307362194951,6
0,4.127295420330814,3.6650221838776553,5.0650665227702305,0.5009493146096187,1.1344361393285896,0.32889513821954286,0.29949180865096825,5,-305.8534547056402,1
