,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC,Frequency
0,2.981088354150605,3.8696443836517673,0.19074630962610756,1.6346218131615875,0.502311952532474,0.35355841679337313,0.38527391145626677,2,-263.2955902939174,1
0,2.5317209958788656,2.3084867603217654,9.420130713245191,4.078937082773921,0.7596011013802064,0.3610785451546734,0.3645624749821148,2,-138.2888710887596,2
0,0.880614459378509,1.7488545857567541,5.550596075112626,4.812181323516853,0.7099833853576225,0.3364914685328051,0.38366225960534495,2,-17.63714405870077,3
0,2.375068093059291,2.7748398432046497,0.8767001619448392,2.7681622695962678,0.5051979779300875,0.3496477091074439,0.39193409458074924,2,-166.49356327577308,4
0,3.693620856792706,2.9007457631564844,7.478651276031022,7.37263120381381,1.7980844866262324,0.28171517282526204,0.29253448221939393,2,-178.2742460672133,5
0,3.5182974505761657,3.0674858860342185,6.058568551787122,5.177984686382955,0.8865012604955811,0.3231188481212182,0.34558174011506687,2,-221.72632336665558,6
0,2.8078784600325104,3.208163310279083,8.045261597207224,3.679999129635165,1.0328647404947593,0.2991283582429433,0.39959465879993983,4,-190.86800167766646,1
0,1.5744236773188498,2.078654681411084,7.518524424709931,0.6915728790742071,0.8246460688777311,0.3155503535309769,0.37692615844732535,4,-37.030251848754375,2
0,1.5397953493117646,1.7480564213230072,7.1940504666298954,3.1240545496953582,1.1060480040908223,0.2873490185881433,0.389661073499656,4,18.23825585557828,3
0,2.0677673776725207,2.201182633921923,7.574194728602671,2.6326194898009905,2.95446189409564,0.1982683880639255,0.10488151827122322,4,-12.158562728973912,4
0,3.1126429314825996,1.9830351192556588,5.887019148249823,2.09537096539408,1.417895851432542,0.25529953821994833,0.2958904228806927,4,-46.470102678969646,5
0,2.7495785155842567,2.2504259616980327,5.704698316092278,0.5631410150417364,1.0300891710585667,0.30513516218251285,0.33531510142122545,4,-65.93884350082766,6
0,4.23484287527592,4.667679466811705,9.834481129185477,-9.363538205138797,0.5004001724511027,0.3317524821593565,0.3440468538882915,5,-310.33128083590816,1
0,2.504716930736253,3.3467474390082264,9.705864443167558,-0.6463189004115308,0.6130499963747678,0.32480170948854825,0.3683600842468814,5,-223.38184419669687,2
0,1.6503699128516773,2.1413293866420107,6.772752490621893,-3.102210060379463,0.5091755562991622,0.33509209793354355,0.369722535917123,5,-89.17261846634337,3
0,3.8574182107298842,3.0241251464695966,9.300394573546452,-1.232417161019757,0.653488814684843,0.3430394418080308,0.34017297438511457,5,-235.2835163241182,4
0,3.653885991538004,2.530277619019037,6.708534659111691,-1.6961944343853899,0.546894157386947,0.33205084152469483,0.3618440280603315,5,-204.41635734336742,5
0,3.464324912270599,2.216198451389759,9.825858123751377,1.5777352731124283,0.6120803409458877,0.3254086534404927,0.3565077451649208,5,-194.52636176549083,6
0,4.442731839942163,4.739601230513111,10.0,-6.514056938679167,0.6406679521045193,0.328002242158844,0.38139382679266165,6,-296.65377693163737,1
0,4.18900922249238,2.590661015495231,10.0,6.538073379428723,1.2005721420689657,0.3174791363409948,0.39736545219039177,6,-223.13370479703843,2
0,2.3353888911691643,3.146112796378866,9.908660017393757,5.73801885909563,1.0656870719340925,0.318547282576366,0.43266198013134816,6,-187.19056205057,3
0,4.99944421529189,3.327883169857613,5.008987232744107,4.134919622605214,1.1120274347753445,0.3187918304905826,0.4010616902335039,6,-269.4711770748398,4
0,4.4797723296118415,2.598917103079222,10.0,-2.699086517340323,0.5354635728549884,0.37078388070742446,0.48013227608748993,6,-225.82798712005354,5
0,3.5634318987461295,2.728106221450773,10.0,5.0681746436896935,1.3079414073072937,0.2923854158333594,0.38786192969588573,6,-206.5245560302218,6
0,2.5161076134378666,3.0849583342092655,10.0,5.750904302688059,0.9623834072663717,0.26012931416618135,0.35464591974782367,7,-197.63135080918494,1
0,1.4125860294542791,2.509311340930723,9.783597129134188,5.826946723739646,1.5070926710207435,0.2050096825633813,0.35464834537190204,7,-88.14175093932309,2
0,0.48398579175991147,1.6181557703444915,7.271411106378742,4.9642791308835506,0.9878231911686868,0.2053584590182339,0.39485445074251313,7,21.514414305378164,3
0,0.8974293925215575,2.7436598171208875,9.85983936547549,4.611195526476738,4.524705820573697,0.10902534939513231,0.1683861220197409,7,-52.278318697064556,4
0,0.879920392826565,2.456401990910244,8.438391501756081,4.129844795411855,1.0669082681515678,0.24449678320871387,0.36146259576467865,7,-48.477970416122176,5
0,0.6569565469927606,2.6687118998837063,7.2851676535639625,5.253060507912484,1.87019680619506,0.131380275994895,0.2843424765162412,7,-42.35978876997138,6
0,0.22241558592623079,2.1842094344463594,8.20732971804813,6.715400092784253,2.2668376810158724,0.1051657455977541,0.19149804230382228,8,-23.372572091730376,1
0,0.0,1.5020620211455005,8.529945381669275,5.018995869428345,0.8889457422706553,0.2204882712075381,0.3081279622599259,8,0.6376249800302105,2
0,0.0,0.6968277580503118,10.0,6.003039212236668,3.8165793070289444,0.10950457718556733,0.11202068483688449,8,68.54467058808598,3
0,1.9323089109566127,1.6830024936804862,8.32698481794857,3.452989241469324,1.1917848202657968,0.21165621963279363,0.265946203546392,8,-13.197257735284602,4
0,2.477183661204699,1.5597080370715897,8.364340207887436,5.1503386137426235,1.2488092003262974,0.2158044116488289,0.2912198465502251,8,-47.55260973970523,5
0,1.999710290822509,1.9300252134880929,7.225111007538352,3.954168244665607,0.9353447284300338,0.23862739850651543,0.31346469613183736,8,-58.95204650230874,6
0,0.6094124753130562,2.1503166209409708,6.341395089091914,2.1317108881780444,1.7400832546918465,0.11676770595047764,0.27037777385128287,9,65.43988109915519,1
0,0.0,0.9326385680817599,6.567441122949178,2.1724277513000736,1.8514178690549836,0.10049140659960909,0.24441327200608437,9,206.13673241379544,2
0,0.0,0.4121288631668772,6.158543687248085,2.370356520088469,1.8659271265841801,0.11493371117039763,0.19482720815961213,9,257.4729677950111,3
0,0.4889567613604287,1.0769664449670189,5.933552331737396,1.386632510530515,1.6506513290378213,0.1196754044491169,0.1815017196512369,9,232.13346575530676,4
0,0.37703803847510414,1.363104607983232,6.93111150150136,1.62706699935912,2.233359116982427,0.10534927668179905,0.10960475182989948,9,168.78590237792955,5
0,0.13481129756068913,1.2902217873433008,6.456983001947056,1.2712689928864012,1.777820829997013,0.13964943917038486,0.10502031248045973,9,195.2221955521275,6
0,4.523533393633557,2.5516449028871024,9.886566515153161,2.5451548319582185,0.931873761305424,0.36305951445693885,0.3764710364586453,10,-252.78905830045733,1
0,1.892290356097972,2.0723136910431346,9.649229973227337,-6.412463336059336,0.5633229150492638,0.38733268845200164,0.4250660504831834,10,-27.5465636195162,2
0,0.9446933345503158,1.2696774549867926,10.0,1.3914679291240826,0.8325920296026892,0.37116057659102974,0.403188730935552,10,38.21032934845438,3
