,Drift Rate Speed,Drift Rate Accuracy,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC
0,2.6574430045076975,1.5434475764928102,0.6353142980883916,0.7184846758059018,0.3446612510352878,0.34909244304609766,1,-149.712206736078
0,2.7408936850436483,1.153470658239698,0.5648617795568576,0.7214258901516949,0.34015759955930935,0.40234805949375363,2,-0.7039392203341421
0,3.691019981763014,1.4010417407680336,0.7821622132093856,0.7277203702754643,0.25539910046435405,0.293199132601732,3,-213.30671276139796
0,1.008608749783671,0.6233536569984436,0.5169344418460439,0.6375457316938486,0.26203666685318566,0.3223952343088465,4,213.37910241136885
0,2.487894823463411,2.3749041022197788,0.5819824264570883,0.883434066776865,0.22748358193762863,0.30227022051596825,5,-292.4494075798325
0,1.5323965598629061,0.9714925906777954,0.5705930495299115,0.6243082783716609,0.25148659427754755,0.3391895267681662,6,79.45801817610493
0,1.8701468192877553,1.5121477909606218,0.6038550425774915,0.6794901486568437,0.24420834717453077,0.2595312771335152,7,-50.32342704725816
0,1.7861419100303366,1.4047994590316,0.7109065506294344,1.0809693760753116,0.2048035412519662,0.2682832136677535,8,245.9664870069577
0,1.94608508995147,1.294512382144571,0.6261655498117503,0.8247976273680638,0.22686889480154182,0.3170062047087243,9,108.16375266598902
0,0.7482747231835079,1.151949920595033,0.5,0.9594105443660329,0.20075190083724148,0.21759142790721847,10,247.87849611136207
0,1.4672700740517608,1.0636359153028743,0.5828499279533765,0.6305740294140602,0.22584438004658963,0.2516363267806468,11,98.04263425974105
0,0.8275734243056663,1.1412771335524463,0.557385227927458,0.9413405008166111,0.2274192371380232,0.4719755861017423,12,361.3388996937763
0,1.3840407547470366,1.227757414857076,0.6101466553118456,0.6728941288294141,0.20921732623707245,0.32588614220798207,13,147.82776075786668
0,2.05185008927275,1.3703025422254265,0.647648349359002,0.7619684343934636,0.32593598388807776,0.5327897913413882,14,42.971036293078974
0,1.9052808354587076,1.571156438126986,0.8003122931066515,0.7065680844739756,0.18837439819916268,0.2911633375310061,15,33.25415455754578
0,2.488030495781388,1.9365792423177703,0.6751297162673473,0.6495320776985558,0.28920731976549796,0.3722433024921887,16,-241.07822348121826
0,3.2017528535199635,1.7449590667229304,0.5496705828330187,0.6522903583428874,0.293428639908589,0.34546329146933996,17,-362.63377166047655
0,1.0415732773485564,0.5428591945848213,0.5126527865426606,0.8571364414669546,0.3736302216314705,0.4265753168845852,18,498.20965218071296
0,2.94535730376254,1.6025384078585243,0.6845649690157835,0.737513350475107,0.24361472075995905,0.36913546599924363,19,-201.67225493647155
0,2.0156683256432193,1.2103178571090247,0.6957290977499507,0.8197938655112053,0.2437002443594229,0.33190065721392775,20,171.3639241039643
