,Drift Rate,x,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC,Frequency
0,3.284581507425545,1.357391592577042,0.5407971417574342,0.5187473027662812,0.350420155412671,0.37100320462582925,2,-263.72587483806376,1
0,2.4357600396599173,5.5258779997224305,0.5266436743940393,1.0203555534595972,0.373244396130197,0.34956768134942773,2,-145.18535769832278,2
0,1.3495502726623667,4.6359244477835375,0.622290335417572,0.6721590080666329,0.34376447535726806,0.3845324796005311,2,-17.64738443709544,3
0,2.5653167610706435,3.0595550673841623,0.5847812066580635,0.5036914191292334,0.33093486714599535,0.39601088446237115,2,-169.59310573368217,4
0,3.1259771956225384,7.220251184698856,1.0163520371739176,2.634310275183842,0.32977579089390746,0.2531535163123191,2,-182.39816664540842,5
0,3.329008360681012,5.436352476246113,0.6694373940463159,1.0187641098300686,0.3490647689623815,0.33104777952621905,2,-228.5305533205997,6
0,3.1182299802546845,5.021118261177223,0.6448316936965068,1.3656594452380135,0.3272003273387338,0.37902694822895866,4,-195.6797176954825,1
0,1.9232099776819565,2.698726469790366,0.528244627480055,1.099556819372665,0.33465272651442485,0.35558275061336386,4,-43.584891007975955,2
0,1.754797614500799,3.6551743293100607,0.6150672116814615,1.4772166204783437,0.32015401118545017,0.3446816145307001,4,8.636687174303123,3
0,2.055346314874169,3.1730681305578146,0.8296922772276125,3.34570547985422,0.28313019251044785,0.10272673056984588,4,-4.551513761503024,4
0,2.4332917445921964,2.433123252074825,0.6452518261951985,2.5087346735212934,0.3048283383902382,0.1871113513514761,4,-51.40482168956841,5
0,2.385560194648269,1.2326974606007453,0.5427709946735897,1.2493310916253377,0.34107669548574915,0.31057988722081564,4,-68.66056254650343,6
0,3.938968465806706,5.3703392880824525,0.505769060304603,1.3486249946379103,0.3214894659191953,0.2808148578905905,5,-310.5876569974673,1
0,2.9647723682143345,8.640531762540911,0.5499037925759414,5.141191523600712,0.3325534131505107,0.21347250008436813,5,-217.3045295902693,2
0,1.9348333817421897,5.009593618066372,0.5031615411887094,1.1387746943430823,0.33266087381122533,0.31189767672620394,5,-96.34399024837761,3
0,3.564319245918821,4.473283561250681,0.5086129839406888,2.9252339233018234,0.35133458699456144,0.1969689677522704,5,-241.69868097259783,4
0,2.8336665611505616,2.7591043165864035,0.5049457112370517,0.793042717348782,0.32518708128690743,0.3412750869264561,5,-199.65187625304424,5
0,2.7915942852458757,5.674719079269132,0.5042081991898439,1.1942944540144076,0.3207347366294364,0.31122792757621837,5,-199.48289376288085,6
0,4.117190516896299,4.611611886456101,0.5143325691867888,3.9516385421331695,0.32658402982344803,0.20588569386037547,6,-296.6251111345288,1
