,Drift Rate,x,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC
0,0.9101470138052817,1.1292133739903554,0.5488669365801693,0.9862046942368972,0.3396500536873705,0.37510770839326707,1,408.66218961279156
0,1.99621266621742,2.1567994740066365,0.6093959325227143,1.6634621435497379,0.4338832566156693,0.45791292244229864,2,-68.31588320248008
0,1.4274379696078845,4.104403076631014,1.0030369978979912,1.2898231324910787,0.2182800563615711,0.313224961667789,3,114.87187167293825
0,1.7091250689816582,0.47564641158676757,0.8107514810434187,7.765201101270838,0.4164612613300961,0.12847142000766432,4,225.1535713885462
0,1.3702460939472532,2.6664446209349197,0.7015164040872586,1.5760519163780233,0.3460734329739368,0.31526873006812706,5,223.06565821204475
0,1.2494191166442696,2.0110383257477746,0.5837470352720184,1.4860087625478204,0.4304322961823857,0.40073806548251256,6,298.33341982645663
0,0.8624837247320919,3.2423665722150625,0.6846969249294061,1.1141051677105622,0.18596262526495366,0.3216034769096808,7,342.6289777728416
0,2.0394501128521765,3.8607516412222465,0.7598402898326273,1.321937372107766,0.4152706958730492,0.49764376170510793,8,-138.41449999375814
0,1.9472530275475235,2.474048723427566,0.9281608992455901,4.99175014824096,0.4452045552660826,0.10994018157365754,9,74.55277763041755
0,0.5986133624447761,1.8924417627458945,0.7668187409032177,1.4454698804053892,0.3692468812836739,0.2825104120037921,10,713.3848358027956
0,0.631623644002899,1.5691069351604792,0.663856430347217,1.9448598330252476,0.41958266478593453,0.29468064523148996,11,687.5155681305947
0,0.9337225045423541,0.9553573281664988,0.6828898707649103,1.1201185469286212,0.22210980878118414,0.43748983786795337,12,558.2456384915602
0,1.1997662715088697,1.7543218797923257,0.841965814733868,3.6046302259139624,0.40150244932548707,0.1122319142674632,13,475.7838062002853
0,0.656830122225252,1.9066363070835395,0.9645453593721989,1.6034554150552682,0.37087990736012877,0.35188596926685267,14,786.8288787031414
0,0.6459975554795656,1.9984778423788288,0.9585629352067091,1.9992082474680828,0.17917597304234367,0.18487843242796198,15,708.8495846432456
0,1.1735673978041383,1.1955338551475498,0.6831182879231847,1.5987501446487449,0.4074563987843821,0.3907678692231128,16,473.1341002615528
0,1.1951492612819092,0.9693753050861664,0.7619565817703693,1.3015434923878195,0.37104060896252344,0.323899235439845,17,502.75438669363336
0,0.8732323873460525,2.1184677214330647,0.6098325809031886,1.3253990767963097,0.3849734531569372,0.3610719439486797,18,450.9190586790276
0,1.0333308103493821,2.5934866210327323,0.844327797575402,1.78437228437094,0.3469716558624082,0.24387872998649562,19,488.59560204689416
0,0.5279596991915164,1.367915161581884,1.6088024766125009,2.2646011759458,0.11098083071854326,0.1228341423975392,20,983.4091329958553
0,1.639146602606013,2.0892821517632063,0.5312816207691555,1.3000668111857343,0.33600338508025585,0.3762075180143324,21,21.847001662563322
0,1.5053200603817007,1.93552175340334,0.7936535886153275,1.7943188722166221,0.35603152951845457,0.36119318732146644,22,266.7452198440814
0,0.8909441163745886,1.7950229312005963,0.8201081373028201,1.5726901462110128,0.35668219269247126,0.35842603656545535,23,635.3805062493454
0,0.8857847896045422,1.4543930649037113,0.8658858858193028,2.5860951054964065,0.4795137043512426,0.3577247958256159,24,632.9468983654967
0,1.1928089224287823,2.6929221325200703,1.6213053082644988,1.7850663042188635,0.26142519220844396,0.3718931566838484,25,532.1633558932622
0,1.5115451084729616,1.8040604744793192,0.626853751229874,1.9646615250804875,0.48057633103327835,0.4044408765385424,26,200.75300593872626
0,1.0745172777093632,2.3833832097919507,0.5016534416873757,2.0081410146663825,0.33864102689174724,0.49337631648052477,27,207.70179015775255
0,1.611990885793103,2.6797038113395857,0.5573188715850002,1.4081922264272504,0.4573630871577253,0.4653380616410792,28,62.83937568870819
0,1.9062525435162618,3.8603262821845075,0.6432414457197915,1.3946143375289024,0.3235731182385505,0.43380539338415747,29,-191.41060257136752
0,0.8040437118357951,1.7763400947567791,1.0465114661870931,3.435341613400644,0.46961567313529007,0.3250571554823402,30,756.4477428858112
0,1.3399218130682207,3.108954955455633,0.7783862854736165,1.050926877497444,0.29399542244960203,0.38676597714520167,31,201.59784168487204
0,1.4958812241369772,1.7456132165700735,1.2096737593510625,1.9049398947740999,0.3368021226386245,0.26015401076330885,32,416.12969822780093
0,1.5780500139178057,1.9409691486948943,0.6891957509318996,1.5161386237391716,0.36204242262770703,0.4024706903821448,33,201.89505513167876
0,1.104945483734524,1.9291937745231793,0.6647979160532991,1.1181471640931386,0.18569119947213975,0.48937302746582345,34,323.4206450953529
0,1.6213696556148027,3.6185954427685108,0.5005756638233358,1.1253200424827083,0.314101088320695,0.3142745386654071,35,-129.62221005929803
0,1.3856861702450196,3.2361826504911764,0.5062484979776944,1.502671779483698,0.4028231098937436,0.4475682234051292,36,10.856127369448345
0,1.2376794135177291,1.8709137150585693,0.9370022506069686,1.4916239623662313,0.29558418468608816,0.31506699982439335,37,471.7151567256579
0,1.857469656950347,5.27113299601012,0.699120338391559,5.171907641569684,0.284298621336786,0.20137662154342878,38,-166.40782056927685
0,1.9199086616015484,3.3455685572621547,0.7163194647799536,1.4573345480935789,0.29686142299689083,0.4110172585132993,39,-100.13855318475332
0,0.8114911842857688,0.9258547350376826,0.6351898583353037,2.393206719982303,0.35349793329829843,0.28608875791961197,40,456.9705486755326
0,1.5742893798765139,1.7273072659933326,0.7671074358586156,1.7452394562746152,0.32772909461770067,0.42711070430004794,41,218.96312518523382
0,1.3927132652495007,1.7271320276526902,0.6052730056291162,1.8293458982315407,0.3337841457612565,0.24282272215489792,42,263.42021885130737
0,1.1318037038263529,2.627342150602405,0.7963732881210466,1.468416387111811,0.3568282622539554,0.35420998845581675,43,385.2324295748625
0,0.7587041376984246,1.656856815586891,0.7867920594063018,2.4889900784234387,0.32913903058270244,0.1215269378130992,44,713.7563223954014
0,1.7151252251426163,2.412754918312637,0.7025773085125748,1.6741683845635462,0.37189600356428265,0.28069461001340384,45,142.52599003200936
0,1.375057297800483,2.652333929012015,0.8698146712236547,1.5664205223831473,0.3600887484579425,0.3344944700300612,46,324.77705811052897
0,1.3220831686716235,1.291308246827057,0.7298587019287419,3.1077540378893245,0.3063113703461011,0.2873581310412128,47,389.3290430747989
