,Drift Rate Speed,Drift Rate Accuracy,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC,Frequency
0,2.8352210530965323,3.6996510238142215,0.5211063020518043,0.5468258213484242,0.35273881367295296,0.37615709147051285,2,-269.96325243534216,1
0,2.523675751205991,2.2574373164500967,0.5,0.649196010716642,0.3713802549691275,0.351419121118166,2,-132.2707481420363,2
0,0.9178468477778887,1.7065145603150862,0.5114525338854584,0.5568782784966159,0.34526701589912046,0.3845678604929739,2,-14.115986263933927,3
0,2.266741829269331,2.75049567986756,0.5056697277548777,0.5,0.3414420935770046,0.39730808613487834,2,-175.02526738562165,4
0,2.9816970561402325,2.475467520773468,0.5643068172905399,0.5695273769771645,0.3564501603714729,0.361292903198315,2,-171.27596205107506,5
0,3.385999074388813,2.947935862154299,0.6084827594890277,0.632871673842554,0.3300361064320916,0.3508556263889162,2,-223.45654504337475,6
0,2.686769533956329,3.256544172492804,0.5471122512268897,0.8265598498436814,0.3177745663288517,0.39797353591993023,4,-185.28305412157042,1
0,1.6066875468401471,2.1276931838140505,0.5086790838148548,0.8997462168095853,0.3233633597964505,0.3465246652434535,4,-31.30867291124337,2
0,1.5451235960703926,1.623842467581041,0.5482993279694266,0.7606500320404582,0.3153906457991158,0.4031342366323023,4,24.707178599637817,3
0,1.8056073006213822,2.4632300090764927,0.6593731548928573,1.6008092047674258,0.2727277807457679,0.10308776862863817,4,31.86735998568667,4
0,3.099957072936571,1.867343489561079,0.691874802850336,0.937980175999917,0.29824193348079586,0.3493157614687159,4,-50.2776334901406,5
0,2.583911503424261,2.3024334301150473,0.587929487252255,1.0472116567873948,0.330313067159711,0.3299492659537354,4,-67.19111435658165,6
0,4.214318655835293,3.6890156640615,0.5,0.8066927688584054,0.32222899001409333,0.3079152795339476,5,-306.5079215648571,1
0,2.695727491785047,3.270505117766063,0.5,0.7418271616983436,0.32180603926084583,0.3491492942036484,5,-215.1658296967768,2
0,1.793949589145765,2.015032689088902,0.5,0.64603992176066,0.3257409715956262,0.3439241003446809,5,-84.81001047760269,3
0,3.7018186586176594,2.944768029554817,0.5,0.7985173854847595,0.3417488879415549,0.3276700521716388,5,-237.89283830292382,4
0,3.6857452561352777,2.3816021790984774,0.5,0.6277897723660717,0.33184376005514815,0.3511310849558224,5,-209.20366186525396,5
0,3.2590830885948545,2.192144631937458,0.5,0.62555486416897,0.31807984273748985,0.3405637324576404,5,-193.44637790672022,6
