,Drift Rate,x,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC
0,2.1239648829321967,4.176802396027873,0.7352977913192786,1.3923371694466335,0.3526276464137982,0.302060205372756,1,-174.52334124399604
0,1.7924470146064189,4.9033403555549455,1.5906223596790832,2.3042567950107697,0.20833791303658522,0.3017575632560508,2,2.591207327722209
0,2.2596829712107036,3.941564846467054,0.7067615740312974,1.6552926727487205,0.27067913098073654,0.22119815475897786,3,-202.661194702426
0,0.7876150863480313,3.9993465734046576,0.5954368052811714,1.04820264228155,0.2726814902276646,0.2806535513618558,4,189.06001255679126
0,2.3076348476063857,2.852695121316595,0.6122639751959569,1.4449725855163709,0.23094164628266145,0.26106661686432875,5,-317.6311740382539
0,1.194708980360764,3.491326956449239,0.6598498591587716,0.982925992317139,0.2655056321735005,0.31286567369180857,6,38.75745304535358
0,1.7589988207044813,4.958416493816648,0.8004317859440215,1.2394822697603822,0.2533047283086378,0.24629295109253485,7,-119.39314228393235
0,1.5576921078980541,2.1360241919741387,0.7534572776527533,2.06679104643459,0.22119845533219912,0.20203508879839277,8,200.69871755994566
0,1.6563886646787955,3.089517698290286,0.7279163555512391,1.9224293903364371,0.23037809580880203,0.21995973223798326,9,62.893999044636395
0,1.0781886158132825,2.1065441029515655,0.5035935843839869,1.6495026525037346,0.20496988080461798,0.1384403945474142,10,234.87760717212038
0,1.238942044495893,4.326109681238715,0.7318955658325672,1.1483803019279888,0.2342006724475027,0.21598683830149734,11,52.689230300190566
0,1.1074568912779332,2.080221202056518,0.6175456954501657,1.6423337079128366,0.2353596652841174,0.3791418267207114,12,331.9056076484299
0,1.33432709635268,3.7332224593923162,0.7747029014106004,1.0220388711551252,0.21539787370549068,0.30347387996800207,13,118.56508450423442
0,1.666032081259119,3.265228810743752,0.7504860730775147,1.4077799001146598,0.3376569948252777,0.4741415900138615,14,16.546382398971396
0,1.6767626367184012,6.556759320237808,3.736290022182081,3.0672058575688066,0.10164263413509173,0.20583178661900875,15,-76.45683337359836
0,2.3669027273172905,6.17230332569207,1.0431292241945869,3.0868201239064987,0.29017763253052936,0.24162785551247656,16,-291.6002257363617
0,2.2547789078616094,3.684901165124128,0.5028186260706984,0.9944726185732811,0.3081857271961699,0.32193434204208327,17,-341.1767722647783
0,0.7282953144264539,3.360344441513003,1.1462841181212888,3.7855998678086196,0.22413967161481285,0.1573125441373257,18,526.7796430899969
0,2.225359310792491,5.972399467284368,0.8577251996282174,7.825157428777227,0.25831605640703936,0.14038105391795758,19,-249.15439833321162
0,1.5148418982930758,2.1636972493950974,0.7377055376858705,1.2070750960024381,0.25278279376515994,0.28658891206164394,20,172.19230452766735
