,Drift Rate,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC
0,1.6950204773858402,0.585395078740845,0.6427015974174439,0.23863617224110412,0.30276560843439876,1,-440.3578028142191
0,1.485470531919487,0.511974931848768,0.5102608350705344,0.23776359984638312,0.30491443576843974,2,-1181.455066271104
0,0.402226124758125,0.5,0.5601686338401939,0.16172184874851492,0.16388852297822382,3,507.43253372386897
0,2.537360163207257,0.5,0.5010217338468849,0.2814498578621295,0.3059625253076078,4,-3398.4704849433538
0,0.6537684223003006,0.5,0.572442870271334,0.16417409803262878,0.16020333510502205,5,173.21809300804094
0,2.2313442778186228,0.5134212330621726,0.5,0.24564289402184242,0.27625287242351976,6,-1413.3160536296848
0,1.9444179050368418,0.5,0.5,0.2740340485399368,0.3115984178762224,7,-2179.375270062227
0,1.8619196720983016,0.5,0.6737098800567457,0.24472433850534892,0.2602660927892323,8,-1523.9945801437495
0,1.9237027336757595,0.5349691288317674,0.556790087179129,0.27804838882553334,0.2932713932135843,9,-948.382464359495
0,1.580501862582067,0.5,0.5088309404478037,0.24416145228383718,0.27667195679434525,10,-1314.888643414955
0,0.27706642162514067,0.5,0.5101397793026359,0.16662731417225551,0.16459881443774033,11,100.6980044112796
0,1.196357632759532,0.5000330502983948,0.7426635036334603,0.21112939775335626,0.2441253090044363,12,338.89481190645176
0,0.7999431745855679,0.5378493946314804,0.5807180736928618,0.16984721486204735,0.21469147846259162,13,580.4095033185902
0,0.3865030334150666,0.5,0.5,0.1609446145335266,0.1771905844437337,14,-139.040317191467
0,1.4753792352256656,0.5245716694369216,0.5,0.32293167226399644,0.3592418437403268,15,-578.2451643510107
0,0.4342828847282714,0.5048447575511664,0.5609030140640666,0.1771902945572919,0.1978385073697474,16,570.6092925654415
0,0.8305618903592313,0.5,0.5041547178421024,0.16732181870917995,0.17422259404204293,17,-690.4463416400887
0,0.9044990301307052,0.5,0.6835346295052862,0.15788495692871973,0.1699805280031032,18,786.7096512650687
0,2.4533444082062377,0.6321145044721347,0.6809505199142954,0.40430051864202154,0.39532932381623676,19,-2077.2618615651645
0,0.6282614404684292,0.5013752535822208,0.5501851471646979,0.17114432512336908,0.18682057375843958,20,16.094196794209743
0,0.23905959365742785,0.5,0.5,0.16565791570745797,0.16835039548012093,21,-323.80804195033926
0,0.7485557424885179,0.532590857184313,0.6580925701956277,0.18654195110368904,0.18442923216935847,22,1208.6945998048425
0,0.14659257902651948,0.5,0.5,0.15017847166142984,0.17468569901797965,23,-428.3750600305749
0,0.5152101979678194,0.5,0.5993724515428538,0.1833356093045045,0.1877567998720423,24,336.7566693519599
0,0.7626917210129226,0.5,0.7834295926561685,0.1532782712493932,0.17191063495652015,25,553.9935178653524
0,0.9471548621512463,0.5,0.5397524641717987,0.1906793262557811,0.1746219442629709,26,-274.9771417816354
0,1.480064681790426,0.5,0.6144076860795141,0.17170974763132585,0.2337228614222826,27,-424.8396249565682
0,0.16205286270789296,0.5,0.5,0.18511306573359176,0.21137289768683176,28,-288.9173212204583
0,0.6421316045176007,0.5,0.5546014143298801,0.16285075743217248,0.21504773536485977,29,237.54396177294117
0,0.21543287609638814,0.502828822911752,0.5671150509239713,0.17233182601043484,0.178027534857567,30,488.854262122281
0,0.2782781455359296,0.5,0.5,0.17723490982825935,0.17776308093961196,31,-39.318897208218225
0,0.3979269703511852,0.5,0.5049246098989775,0.179824675025323,0.17573687717192227,32,44.386496433355504
0,0.21452752174750664,0.5028146196024413,0.5671013129909024,0.17575340279236734,0.1781924948102342,33,488.8545018007058
0,0.5337849493334145,0.5,0.7859884819219282,0.18753921557732633,0.18791581772945237,34,801.6269748872274
