,Drift Rate Speed,Drift Rate Accuracy,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC
0,0.2766883106810848,0.09314891860222839,1.2933357485619659,3.564983496073051,0.8087912085019877,0.72859135977553,1,969.1164363950097
0,0.33836570350475503,0.20280646646838082,2.498762360765356,3.111770557882902,0.958560848356204,0.9961285592411833,2,1038.6347441687406
0,0.0,0.03853942297250932,0.8557798588227693,1.0610764763602383,0.10187653662932888,0.38801277720780347,3,472.57310131032085
0,0.10253659964512081,0.10149910899620064,1.410902312207633,1.7688977907944408,0.10972926174892284,0.7095865783116853,4,837.2838333327918
0,0.16966864983461255,0.13326835409009077,2.624271568800002,3.2407092949990446,0.7402478367586527,0.7849965667667925,5,1161.3085028594012
0,0.2228766860056624,0.14804253090868338,1.071154471067999,3.656606712245254,0.7958088488674099,0.9490780229422944,6,890.4203485692037
0,0.19539120554458012,0.25924524597747334,0.7838610599196464,1.7214876370195484,0.36428987634518206,0.9928421405136125,7,585.0408962176
0,0.23744571780781407,0.25253817124662614,0.7718564187906125,1.6247023157860903,0.6652060743588154,0.5864646924062388,8,560.4576522251585
0,0.0,0.015785538172366838,0.8485937785839528,1.206719425597496,0.14663576748025792,0.1022996781538017,9,627.3525402892801
0,1.8366713504491875e-07,0.1154136123628469,1.567574901899442,1.8331525168315048,0.10799895715751046,0.10994941771884026,10,933.3732386163581
0,0.6698434186692201,0.22646002758325975,1.1042647795321328,3.3457991481031777,0.971739397259297,0.9989237419979144,11,798.3731259826563
0,0.0,0.09601181748822833,0.7519122553713603,4.591370845594116,0.3748370383290117,0.9662108512113233,12,774.0751029985807
0,0.3045453479972158,0.2658284589175505,1.024540974927107,1.7665089385257025,0.7738729756148713,0.993882274927949,13,676.2160277996605
0,0.21269306975594549,0.21039442465939492,1.5858407328184236,3.3823481161762614,0.7921696598336851,0.971535578216993,14,956.2496202476672
0,0.10280884422967876,0.18638385071113878,1.2192093274862748,2.8183200790023872,0.1102767826772964,0.9871656315088433,15,898.3927795158522
0,0.025765162061393627,0.11038109340243249,0.9917067610156687,4.096754728917657,0.7325409841516564,0.9785556339471728,16,907.4207462052606
0,0.26199698129174775,0.20742971902301696,1.440516177345041,1.6017055022294682,0.12070608948168265,0.9799806161126356,17,748.5549265832062
0,0.25950659780111063,0.1452517611550731,0.9317675695859461,1.9279171678303515,0.212930267446524,0.10475592567705838,18,696.871324042689
0,0.21854115849941322,0.12364680674399271,1.426419301842138,1.8315031136708757,0.9410392050351495,0.9980660972254992,19,829.7629128640268
0,0.2398660530474939,0.258671570399595,1.2176564771327074,4.9871414030833225,0.6638808146614171,0.9624092484490576,20,932.0946868491486
0,0.24495187058444468,0.14910500185588596,1.5370700069243235,1.2096707481036622,0.2533159880456669,0.929942614691587,21,702.9359936302169
0,0.0,0.0,0.9658204115985941,0.9405998992275787,0.31288713333273327,0.5594850397987923,22,502.57165899599414
0,0.23159019315267107,0.19016482170149066,0.7852558013212847,2.241802432866836,0.308519130988851,0.8945713949327709,23,681.8105639091348
0,0.19508872305283306,0.17496202453084678,2.6223924660008215,3.033014945116976,0.9905566426693366,0.9685054849496173,24,1099.1338233925053
0,0.3774608053178151,0.1367196046452059,0.6272087259501796,0.9287426113645388,0.3814125031433202,0.5802655887781697,25,335.6952817808117
0,0.29782018144763855,0.07752596981268754,0.8477581680951698,1.628455982115858,0.4437868287984623,0.10778022047199765,26,1302.8927722977917
0,0.23455795313719763,0.1884700219392691,1.3719680752449213,2.831658006182672,0.4468187365185491,0.9745287887002498,27,897.8745952283293
0,0.16248065413993573,0.22239896548924704,1.2927505541263236,3.6495736928418148,0.10801842981981608,0.865608272772728,28,1038.6679670009528
0,0.12208929307433716,0.11108087928340343,1.9589185045610675,4.058513937159264,0.9953985365995288,0.587188145771183,29,1115.5106838588001
0,0.19277058592084143,0.20371502948361506,2.80435847060757,2.5132705327588027,0.9736638930619428,0.9388644824847072,30,1028.6631272771945
0,0.13232734486445535,0.29108791661071987,0.7592294307838658,1.9608530848027184,0.11243912315554627,0.801703665800974,31,614.3001309464055
0,0.18320017134110025,0.14674462355691184,1.264086710269197,2.9706981414595015,0.10945567938885126,0.10642901868832239,32,1017.7132862446047
0,0.0,0.456039519870721,0.6260615242820571,1.7241671477117768,0.118424536308404,0.557791207817348,33,509.4299880701259
0,0.04601335413812811,0.09796627563047132,1.1099494898284283,1.6948166347679419,0.14108426974407856,0.9908107118912292,34,705.1136165783594
0,0.2683015092899262,0.322504384053704,1.4827290414170897,3.5791596675115565,0.8020744829983685,0.813520897114957,35,918.4984951162642
0,0.3818495279447158,0.22779933697310398,2.4163018698210945,3.3307393042107307,0.5143802509902303,0.500917135282821,36,1066.8444061532907
0,0.18899322592469206,0.10673137285336302,1.5571347920452119,1.6314096659570596,0.9896932013711055,0.9968406342054632,37,774.3198082235886
0,0.2734793116198379,0.13012650520463348,1.3029050159435402,3.419159315789487,0.10735895219052055,0.11164428296525575,38,1067.6777595029603
