,Drift Rate,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC
0,0.18170038620113,-0.20608362571072256,-2.843658056819998,1.1893487908271827,0.8343283288741299,0.982674302972911,1,1001.4687742212985
0,0.2760538153428102,0.36525776540597926,0.23421285607421352,5.677594064211355,0.1763278506344843,0.9033412157262055,2,995.0676440678694
0,0.00750315517034247,-2.0992311518809204,-3.1039677299594226,0.7158673962715136,0.10524179535334754,0.452677299254205,3,469.22190562083836
0,0.13720428316429842,-4.846802674058868,-5.899099298214644,0.7445899884894884,0.16724042746003953,0.9382108141670076,4,846.9595614037896
0,0.25697200701064965,-3.841192264290008,-4.478338749601771,0.9902470100590661,0.9444752856233889,0.9525569496300395,5,1193.1942375163228
0,0.16477297203102156,1.9630668835611678,0.19250490526076114,7.517179429553602,0.1277978656345492,0.97051467697213,6,815.3071414142837
0,0.25049251853657983,2.9473314793255914,0.4305114916691979,2.2115060793252246,0.1685574763367646,0.9325137851576519,7,573.5397995746357
0,0.304354351173282,3.3813776532952073,0.6979261527724997,3.2408030275865753,0.38137609997093147,0.25016847468176395,8,542.8247942770854
0,0.007684139527352716,-1.234538009621529,-5.575000246616145,0.7091501417152632,0.17979004843971103,0.1143292497831816,9,595.519970639873
0,0.07326154967391163,-0.8566493139415989,-1.270335620764802,1.2323728419909363,0.12710115879910816,0.11746566008357756,10,927.8979500811201
0,0.26807924332466493,1.9644715990961465,0.21309256473186272,7.324256342714982,0.3055684967130419,0.1951939745249618,11,768.7196071764154
0,0.15404225124584625,2.8923888192506633,-3.8597266228490503,1.1296770192388839,0.3642756766645791,0.9843730480901649,12,796.2143062980749
0,0.2888264154308046,1.827824735730695,0.5768230710026916,3.5332402481839313,0.3704919971213859,0.5455353941306569,13,662.1878212757908
0,0.21289307935900717,0.8858347392899911,0.10565344301362417,4.432562840995989,0.3883468168972939,0.5930996544346945,14,918.6492554275853
0,0.23032128097798305,-0.8739009410731319,-3.9208992106389347,1.000676233775188,0.12708181635444832,0.9294027317599072,15,927.2193609720533
0,0.09453326966044569,2.2634124796475157,0.1424876574655447,7.771434444082552,0.12369959105864436,0.9702523758306566,16,856.9125636093363
0,0.23662724057377585,-0.6875216431818572,-1.1225435278616942,1.1390738726533098,0.2146315175939721,0.9664245805588954,17,763.8137456316513
0,0.159444283128985,2.167788566694346,0.04883159131000603,1.9593873149856642,0.10922452789294285,0.1029306304918004,18,681.456997817137
0,0.16587419208457266,0.7901122494239681,0.3912443167256597,2.773330121655741,0.54795808375295,0.667759959599006,19,823.6587408469304
0,0.28603857630006074,1.103306441859856,-0.7889189088993004,2.023100239954905,0.5443307241984313,0.9908879637059491,20,956.1368411791042
0,0.2065100867493896,0.6405053572559299,1.1394250297920805,2.308407029239408,0.1394520100632915,0.7116728097185971,21,678.9126223687769
0,0.005908352042360209,1.6745303165470182,1.8187300924855736,1.8215530602999621,0.14324311511082244,0.401846904728435,22,492.8739185904522
0,0.19690742529066363,3.2868893981813376,0.05584766517481578,2.297498165241166,0.14798408562760795,0.9311863084756083,23,664.532169722026
0,0.18782057347120318,0.33988648494593227,0.22457909412655866,6.077768097761194,0.3628899655510168,0.20074923066374228,24,1051.0573130402272
0,0.13796364626596938,5.745842013491757,2.1855151098781467,3.6731096927517473,0.19427588283265262,0.18135674220847964,25,306.45003114489583
0,0.3198953468010504,-1.2085380341435221,-9.88620739154659,0.7107532683276263,0.477866565268385,0.10876589582230561,26,818.8596608814139
0,0.17099771235240663,1.111930480391708,0.1790473678843728,3.633481824869773,0.10391475062105993,0.9645044413574602,27,874.2741337283854
0,0.3714715414398662,-5.512835242899411,-9.645589131178887,0.7390866405165428,0.11030018973933858,0.9731082387967303,28,1039.0391413837197
0,0.11915912511414521,0.5173847971611677,0.07540960758850765,5.051750066616089,0.1688684778066854,0.5400170444640134,29,1098.6323731846549
0,0.3104960581575778,-6.525012309558944,-5.985375906493585,0.818620435057146,0.9665203296098779,0.9757113745130039,30,1101.5334090832055
0,0.27997399270465734,2.75336029657828,-1.599569060593833,1.1540654147315736,0.1094604697190747,0.9507032893398584,31,627.517382687556
0,0.3146052742247463,-5.1955994508327255,-9.678844220366772,0.7221882218775968,0.12526600372586522,0.4950536998255083,32,998.3030726784823
0,0.4626770750666161,-0.09333095388525656,-9.717533510442761,0.6115754138466456,0.11245229659308098,0.7715960905398703,33,532.0176547191088
0,0.08674292604209952,1.5962070459214606,0.4744261364578986,2.1279416586702715,0.10495496881505567,0.9959395577414522,34,683.7015015438558
0,0.28554519161354264,0.909395591422642,0.1460848308770264,4.858603755684188,0.10527108790532169,0.7492186242133501,35,902.2792780322394
0,0.6053621963846575,-6.186527929233944,-7.7720158656449865,0.8139454351879274,0.9883161862734777,0.9342149962930327,36,1080.8203888612993
0,0.13645000930314857,0.7866292668085896,1.1242519721750268,4.820942542057758,0.17620869605459633,0.9378328521855692,37,705.0528017499694
0,0.37326670405408885,-4.7246079883796614,-8.865388944626558,0.7785608042821308,0.10014884017779807,0.9546315718048,38,1013.3304108626935
