,Drift Rate,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC
0,0.5808618421587832,0.5,0.6670662232489895,0.27814041005601287,0.31081318441510764,1,571.1636608565938
0,1.8608412813815032,0.5486580982719036,0.6231325657540847,0.34905043341416986,0.3758898069301488,2,-186.69928870791693
0,0.0,0.8575232130240119,0.7714823220663781,0.13130782648884493,0.5635585229900574,3,645.4716987743474
0,4.176677014690705,0.7943256215349921,0.8646861784142116,0.3102143883763371,0.3247838261893995,4,-200.1830620649187
0,2.245401652620444,0.8047164701023011,0.80105913155144,0.21444847316348098,0.29711545645997584,5,-67.45923681369798
0,1.6197294482990867,0.5970422630899049,0.822280948810621,0.2524249114311894,0.2791322888791466,6,-34.35882600874662
0,1.6274795176394217,0.5359693402586666,0.5172441331194151,0.23874968212743236,0.4034016815054384,7,-328.8346228468579
0,1.7036386837289526,0.7570231455598967,0.6731785616447729,0.1643234509432459,0.27784459924914684,8,8.475503327321178
0,1.1266422305057122,0.762201262987439,0.6276270332438059,0.15789271083245215,0.3155638674574567,9,239.3918766346887
0,0.19760844390470916,0.535314076442984,0.6793034330918332,0.14056698895306846,0.2556805973837025,10,352.5535486645242
0,3.3008690521114183,1.0704438986465883,0.8636839633164807,0.29841460709092804,0.3853100271533476,11,-71.73343847932193
0,2.5813130163326083,0.5503972353001083,0.6943670228007015,0.3146991638023118,0.3277903193615894,12,-635.1661005976686
0,3.6625390407713376,0.7301669601082561,0.7069636317254713,0.28422720709943106,0.2937695176844672,13,-601.9754240213583
0,1.8385765387225323,0.5480946553894143,0.6296648064284213,0.23278096963622363,0.30743483804002036,14,-330.0871792158873
0,0.26059278436771943,0.5,0.6897672561869227,0.3334642094782252,0.31307099968443464,15,762.7499091838084
0,3.3626185805772684,0.6530529545886702,0.6266790091939287,0.3234920973092398,0.3517183636143122,16,-443.6070162254717
0,0.8439508446557659,0.6130433828474201,0.7260115539764692,0.1468972011940783,0.23904117357990862,17,541.9830305914287
0,3.1654913106263036,0.5833498633612377,0.7082689968393758,0.26332390150372453,0.2560953279132737,18,-927.3779468494608
0,2.05914447728794,0.5316776220585467,0.5541239301419424,0.26615210885854995,0.2824953648012185,19,-309.4374663970487
0,2.0132152806071226,0.6245481191050667,0.6076963621698963,0.19600436101536267,0.2765265399971844,20,-560.4934435256922
0,1.0328662182514567,0.5,0.6019205593296626,0.21015535771505012,0.26285469721987553,21,-179.5601093818687
0,0.7157130132821093,0.5602896401829959,0.5911914327317026,0.18788289014734727,0.329470156593682,22,621.7893247533458
0,3.450673666261276,0.8812352471914179,0.5480303410233575,0.2329385965080331,0.38834843480635794,23,-193.30648847489798
0,2.2827013844121242,0.5,0.5,0.21775596718323725,0.29855964670241547,24,-949.5187916728454
0,2.500125044532307,0.5803328835639745,0.5,0.24711728545812012,0.3329394274027212,25,-731.553031190461
0,1.2321956591804308,0.5751832777740226,0.5,0.14880515491177382,0.30460028380214677,26,-161.70906060026462
0,4.431123790259173,1.3196004002501678,1.060879010371246,0.20354800080004148,0.2628139928937819,27,-222.31092938567755
0,2.892041262456406,0.5512876541059079,0.509836187969435,0.2465258000585378,0.2815104548921901,28,-865.0968986236668
0,3.288186932009385,0.5,0.5,0.284847659073621,0.30701843179582455,29,-928.316861426992
0,3.0498369155616563,0.5874532072987927,0.644122149463041,0.3052965908891392,0.3021953772213628,30,-754.6492612936173
0,1.9972848773321148,0.6712683048936031,0.5202199598190141,0.20054853248973298,0.3183025777715991,31,-209.5237409216015
0,2.431706485767103,0.5290281436050607,0.5504811744037681,0.24635040095944494,0.28618198783899435,32,-1085.9278905674369
