,Drift Rate,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC
0,0.9078855722363122,5.224401759325543,-0.018472027569468804,0.8148811372513158,0.3193696490781327,0.4096462805959752,1,402.36618706896394
0,1.969133638451491,7.930990227268477,1.8893126975998273,1.5239778627983576,0.38599009260337064,0.4633312146508437,2,-85.9620631780415
0,1.437374944342409,5.099312069575615,3.597548119731969,1.1200403282013651,0.21207692786408505,0.3246045336900144,3,111.62935314243057
0,1.8364443642466213,3.600498238989647,0.19318170764408596,4.701416528495472,0.10549957552361061,0.48337019656288743,4,237.736328148761
0,1.30600642834588,6.964309901142548,2.429808045754577,1.4932955743141965,0.3016726776903539,0.31227169947644573,5,196.79299880734436
0,1.1944802997667303,4.9020541205318775,0.17750334648344301,0.8894826580649715,0.40122957952844174,0.4975086393143493,6,291.3660361907059
0,0.8155668856296581,5.620253162256925,2.7177813982603203,0.9895525478839433,0.16645393928365176,0.3370561334754953,7,334.9997612423903
0,2.052551573955469,6.555538716277645,3.774569065181686,1.3343157816856137,0.3731411240556419,0.4974114907659607,8,-141.27425137596182
0,1.9253084894193893,5.190109932729481,2.224326677567192,3.06587374065914,0.30223244760622703,0.23768427593173624,9,71.33470407924631
0,0.5791629051355032,3.230086121260099,1.4237306630871551,1.1213882304908362,0.3034396570838858,0.34045981644471135,10,720.5383000372922
0,0.6156994138808535,4.569320860100459,1.3030506014610397,1.4354560020275189,0.31600580797741684,0.42911785107763883,11,702.791010977044
0,0.9238198789554345,4.344628988702096,0.881413610771881,1.1401364108679322,0.19346961848356004,0.4205990414983013,12,532.6357346546879
0,1.1501238392276498,4.373125494808228,1.3884099682230886,1.8790875910798461,0.31740018579355894,0.3467302197412018,13,471.0837568972184
0,0.6534901491627978,2.819630678763198,1.5607574310357426,1.3497103641414685,0.3176215594145415,0.38074806071968387,14,784.2836633149816
0,0.5860585036225325,5.096944335154199,1.7417081802741994,1.8031599070906075,0.16448968247586665,0.20337789575782378,15,652.7123092877633
0,1.1891992768272965,3.9128935925770834,0.12056898855020728,1.101646728726088,0.3506115664449924,0.4874446930450331,16,467.16612424789105
0,1.311458602347171,0.21932662102783987,-3.6620526671001428,0.7041876910585954,0.38147930585599565,0.434691980940006,17,486.4924197999884
0,0.8749668468014344,5.797181286609777,1.6758062669317662,1.1236845368225912,0.33030134466042593,0.39608295487121226,18,441.5901006782171
0,1.0058974025664713,4.260405617631698,2.292363889993053,1.5172678292427424,0.2695860552035809,0.2686350269068289,19,498.1637902926315
0,0.5051081113399982,1.6015893004802952,0.9358097090050773,1.6842159455798633,0.10558631225538234,0.1767805518040002,20,984.1501096211331
0,1.6293954659530843,6.366528511301203,-1.4019637411569792,0.7447503571479737,0.3215277260289333,0.4418853741943736,21,12.481159364426041
0,1.50230777372579,4.793660472739509,1.7705079462656006,1.6030045209024495,0.2922952844619605,0.39065531548620613,22,255.65651965399707
0,0.8789176652021724,3.3624738056004486,1.3683300042664193,1.21699152843164,0.30701451408003977,0.4397094152151527,23,635.7200551445761
0,0.9091607100383796,3.7638298260821665,1.3473928423145625,2.560423123167041,0.30363887332012146,0.32090190544614783,24,617.0377500808022
0,1.2054654059655197,3.409209102810103,2.313293902010391,1.921589433952379,0.26415083980773324,0.32386487320647483,25,524.460118263145
0,1.4862178078911537,7.735750423272466,1.6293070728287224,1.6672871052136622,0.4327650054905069,0.45510269888565835,26,173.9225710267981
0,1.0201575039854682,10.0,1.7597156089242274,1.3452751672699903,0.2861321796762146,0.5712499336060243,27,174.30694994234977
0,1.5681814263636347,4.029597090507449,-3.8672570524697814,0.585511577146526,0.45516283380878453,0.5886071850689898,28,58.76304899937902
0,1.9473493554736905,9.188334062013801,3.8522870006061893,1.4142576892486356,0.2950370945436905,0.4365273412303915,29,-211.5295883624862
0,0.7719051594155383,3.0697909384549424,1.6995495946899493,3.288932306747123,0.20874932938972524,0.3104329973640003,30,760.2873114518874
0,1.316171657889301,4.380957249217577,2.690607077226834,0.9879064395717525,0.27297203920264407,0.38444106362501657,31,199.06290174372162
0,1.5197316578655409,2.595805385631151,1.2229728789533556,1.3829582485994267,0.34088936567065653,0.357083880428514,32,410.1634158461178
0,1.565948318562488,4.458470020989251,1.3451992222864735,1.147318900998238,0.3146131939402168,0.4641827792680727,33,204.95780666195526
0,1.2390121082437309,8.149568990512073,2.0094273304716728,1.5120996350986258,0.1714864528305891,0.4046237877474325,34,237.0475718534337
0,1.5588376356789366,9.989764250469928,2.6761833239969435,0.8807718111903626,0.298865212258942,0.3446925570542424,35,-148.78375671600207
0,1.2169687473552087,10.0,0.34733604777323424,0.7553751957069053,0.40264624003675076,0.5342770703676455,36,-25.547304136749787
0,1.2998295587200939,3.4976487131640903,1.4853923531379039,1.4018153410818526,0.2537873575829909,0.31306833717764937,37,455.1540098006216
