,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC
0,1.4024942699098197,2.0529914950742048,9.819255532906176,7.749580826123542,3.9926641146045463,0.1303148242921468,0.18729842001524838,1,-1150.0785859348491
0,1.036419472227291,1.9527445023372603,10.0,10.0,1.903336174595223,0.1807028875566134,0.25991867002928654,2,-2310.102239484093
0,0.16121268209221906,0.2989438582219588,8.445878258435878,8.591632436474832,1.6232572397177152,0.10334485697279011,0.14990105428382883,3,-417.20819945520924
0,2.4819130814169887,2.7367017414974657,10.0,10.0,0.7770168870684824,0.2815318170589118,0.3029262392183186,4,-3833.525989218683
0,0.3332237050457554,0.5363778987078582,9.982464230628088,9.050321377816248,2.0314815426604045,0.10278316511886726,0.13323058958734413,5,-273.79842133926996
0,2.0694095069096687,2.572847050068445,10.0,10.0,0.8840690757769627,0.2474275452401763,0.2761684282701671,6,-1790.8978497095663
0,1.5851556359733434,1.963402290423656,10.0,10.0,1.3323645938197473,0.22933558552615657,0.2602131771706018,7,-2854.5675155969266
0,1.7928615530389211,1.8609548307083648,9.950278769375263,3.413966193636122,0.7898154825372474,0.24389937988696236,0.27872111436228664,8,-1972.7185994283634
0,1.9012727587395888,2.353402496209543,10.0,10.0,1.2506713293602307,0.2646980204626674,0.2936147802599489,9,-1406.4237276323213
0,1.196177806602091,1.7561705843419657,10.0,9.163303902418587,1.0666090777014556,0.21456917279945853,0.25554011075270244,10,-2064.719540811042
0,0.1041710888093829,0.11982844120586258,8.145748491585763,8.33220631049815,1.1605564114446092,0.12338219899174552,0.1355548256615947,11,-465.35529526383084
0,0.7690942889565053,1.342986536199715,9.604844759390026,3.6202006844630685,1.127630303297562,0.19011283153970127,0.2405195770114208,12,-270.53434779332986
0,0.329053023403331,1.0296071187924047,9.267158536164963,8.526517659902684,2.280342812918204,0.10108081710686434,0.16984902369836385,13,-496.1003800392932
0,0.0,0.5697413113745741,9.697608657933255,4.493019482648047,0.583393938552855,0.1699317544416642,0.173994740237494,14,-302.8966077265645
0,1.2595762363110639,1.4674691209792479,9.821028479492817,9.599178303472378,2.3145491501774,0.2439793817774112,0.2601973634175521,15,-1505.8577836873176
0,0.0687371656511177,0.6225773220229925,7.957480218256285,5.311662027907239,0.7929961597198196,0.17995406287552945,0.19953805934084395,16,175.38936438102948
0,0.558454247807387,0.6787662549661304,10.0,10.0,1.1702568618528932,0.13540450183929797,0.16586179076799634,17,-1488.1741355495494
0,0.26260192029027773,1.0559520166953253,8.059687806558786,4.625865322153029,1.1808169087017157,0.10637374085314522,0.16478081820249424,18,411.7252035872176
0,2.5894489509262564,2.9656234759092133,8.027351236150333,9.65671828871864,2.823754558049864,0.31461747669537554,0.3545661945334635,19,-2722.2587168815885
0,0.3535533782564364,0.6249882468248891,10.0,10.0,1.9011340853493288,0.12071027278284124,0.16714306830899434,20,-1280.0360662558892
0,0.19872989291007848,0.10282026632999575,9.936187552639108,7.93124379249603,0.8607387452884692,0.1469147366649428,0.14771890882038552,21,-646.7082145941673
0,0.23486658788560355,0.6617151834074031,7.966113697723872,5.603292884688783,1.9210165137324178,0.10639318024385197,0.11588928539823523,22,668.5407884487905
0,0.0,0.2346205948229904,9.3489290600581,3.3534801260539444,0.5171498480058956,0.1683306951677243,0.17809706623395388,23,-797.432536739695
0,0.0582616410570587,0.44342681333412615,10.0,7.804833964761781,2.084341484873934,0.10042180519770594,0.1453504711760636,24,-85.24892079528121
0,0.1313320907602265,0.8901330653056921,8.540424036789801,2.2312614514446723,0.9825859941693995,0.10317364038266713,0.18743131615983516,25,454.6670636954986
0,0.6727751449966448,0.7996469673529463,10.0,8.821774502908605,1.187049532709973,0.16798524158042333,0.16216451592809228,26,-701.374802352759
0,1.1279936551663146,1.6662708184551,10.0,4.817484603041793,0.94509452798918,0.1725523807787493,0.224883392234361,27,-749.3698604970504
0,0.17775262118236895,0.015364321444982893,10.0,10.0,1.075882932565536,0.17319633169249998,0.20901432919417207,28,-971.3946013028808
0,0.24046759511264607,0.5837677270359837,9.785619065998002,7.2553105659907144,1.4356341347054498,0.1131352992331377,0.16464609482674342,29,-42.64874810079116
0,0.10172673975710991,0.11631929048507678,8.82220025680594,7.018941612740105,1.797724780044597,0.102391353825726,0.10691455115844967,30,228.74684327794571
0,0.24565339038502776,0.1534792413977475,8.208582258160792,7.372747962481448,0.7631216982268771,0.16002049288750414,0.15585458592497758,31,-146.0226938497558
0,0.4307748914990524,0.23702297725445615,8.172698992184303,6.321668319668249,0.7335669392644162,0.1661789133349842,0.16189068029267062,32,-42.96101729962277
0,0.10220066031363843,0.11734368407506539,8.744246450669648,6.950624535314013,1.7657071805054163,0.1079776319729217,0.10968894449714772,33,228.70545159031948
0,0.012648594405382019,0.5331534738209489,9.988718212535707,3.7201572925813,1.7131723366289013,0.1103224628401579,0.1496747531039191,34,516.0689039818438
