,Drift Rate,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC,Frequency
0,3.2371853369757098,0.5833325799744726,0.5196294436264189,0.3422060371709309,0.37433898002341337,2,-271.86559075475907,1
0,2.3717356442353092,0.5,0.6581362695402863,0.3765376345677828,0.35271296690849263,2,-136.83649241026185,2
0,1.3364156640669949,0.5193866766961619,0.5417953669702188,0.34805004571390596,0.3853352081719716,2,-14.013083519637693,3
0,2.5448764459116724,0.5161544008435293,0.5,0.3481087748885273,0.398679205892429,2,-178.70744936208553,4
0,2.692364290352878,0.5476504909617723,0.5825455590518378,0.35432776673487665,0.3646591199337561,2,-174.9763982982499,5
0,3.1236420082094916,0.5892231916681006,0.6465905830487642,0.3333218795503216,0.3575719612059691,2,-227.6710989379679,6
0,3.0090728760264325,0.5661069368432359,0.793913765732022,0.31384244275852563,0.3949545161705081,4,-188.83711432550533,1
0,1.9078409635379774,0.5186183200328418,0.8365557915811759,0.3285910239898321,0.3577241870424212,4,-34.23255046281995,2
0,1.595237216006144,0.5502363218308218,0.7579669467543785,0.3118466022060809,0.4049821633835283,4,19.685137557463385,3
0,2.1703706176700597,0.6883832092327999,1.4791281385947372,0.2747272290822463,0.10569385016150662,4,30.603420644829335,4
0,2.185030924485043,0.5762803687445036,1.0216960943892734,0.30282924257072674,0.3387033821163139,4,-46.18269271917231,5
0,2.399806855879584,0.576324236613351,1.068878075330518,0.3321251404470933,0.3292282309078769,4,-71.72530398816156,6
0,3.884347807051925,0.5,0.7800089596029092,0.3232892273978313,0.31664281788663917,5,-310.52663858513415,1
0,2.9825582414793086,0.5,0.7099822460074992,0.3283659799169599,0.34760038433641854,5,-218.61704541040905,2
0,1.9240509449004521,0.5,0.63943704742777,0.32409669225882004,0.34347151413624244,5,-89.53398521801034,3
0,3.25890474296716,0.5,0.8392864852185024,0.3421745907637066,0.32940066059284756,5,-240.10936522503818,4
0,2.8417057651055146,0.5,0.7033014709717526,0.32908792258959635,0.3410485113556311,5,-207.71032313428583,5
0,2.6068987693901398,0.5,0.6548464076917807,0.3183512225038152,0.34489571291523735,5,-191.2601746467176,6
0,3.9674291725976443,0.5161306381690919,1.0723436513283648,0.3172872865654502,0.3391997996879922,6,-298.7536225918518,1
0,2.7518702912683444,0.5,0.6606514756068258,0.3461677561571975,0.4195554456591767,6,-193.19456183641455,2
0,2.6171956031905412,0.5221100129302669,0.609714128442936,0.33286684328822114,0.451972958449425,6,-181.76204282044733,3
0,3.9313039069983997,0.6479719487829191,1.0241334002073417,0.3397752666982903,0.3826085709413241,6,-269.4301701172601,4
