,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC
0,0.20639479474526481,0.9117388594007183,10.0,5.463028203832897,2.1320503563051223,0.20088434796460408,0.23360506607404896,1,-81.57255300493465
0,2.126689947374728,1.4727766513037597,4.398223909399121,3.376393365044546,0.6798298966085738,0.34726085759719144,0.38255170949809625,2,-200.46713021693094
0,0.0,0.0,2.7166922810132204,3.5790323475749637,1.6305129619104255,0.1003790409139158,0.5280839119902483,3,571.114915122186
0,3.883579583152329,6.0,10.0,5.0238672244396385,3.684359455970913,0.24024581430378344,0.2238195462096032,4,-202.49634659047294
0,2.06994908085051,2.0224150299778634,7.7751148272010475,7.480737681432752,5.459179984786342,0.10831147201706881,0.17250129905800943,5,-85.49777212485935
0,1.5639858648405423,2.093167489646426,10.0,6.079985331450631,7.655225136318008,0.11760135026753799,0.10562293043488091,6,-236.70740512650625
0,1.2568568561028055,4.320449728720821,9.559557599201744,6.245963433862469,2.251166530956976,0.16070228540646408,0.321276864113354,7,-469.3700439136397
0,1.3931051411640327,2.1786853831481774,6.046164144072273,5.079008267642901,1.6464721715769102,0.16894900801005203,0.21150500968885805,8,-135.8944820822705
0,0.8438798794871097,1.5025680140421906,6.488913727577641,7.013480184491529,3.76521762168097,0.1082164075758898,0.18163926030488986,9,73.20568932294779
0,0.010856977953506708,0.32766730594713983,8.230779459484735,3.95426804439478,1.4255692134899323,0.10970846131652101,0.18746431729474966,10,264.4182174595909
0,3.341507713185499,4.0690000944343705,8.832221994686728,7.115593248401573,7.284710665569887,0.23640149351812056,0.2236594304668526,11,-91.94140347975006
0,2.432907109869983,2.881508610406533,8.963501687446467,3.325491727994906,0.8830757511549301,0.3126816101320241,0.3267855295216473,12,-692.7096367051045
0,4.079069399442017,3.0824780973607426,8.243967866541478,10.0,1.3369746769276976,0.2827156033968443,0.2930380992050968,13,-662.3216488254932
0,1.5344061945083347,3.2589250786406114,6.172842617813075,0.8239600872338179,0.7447606993338538,0.23995699042143132,0.3166335304227409,14,-412.8440392147196
0,0.4207247879230672,0.07725550855094308,9.980870815330654,5.51894933967419,5.046892425803604,0.17600134980563759,0.10923785627954224,15,348.29004024795177
0,2.9807719527317253,6.0,8.117805938520348,2.2293998395499304,0.9926749400025616,0.3215769700629306,0.3563730941827703,16,-488.1065071778952
0,0.5068300758015932,1.8691530789336763,6.0529227189029156,2.8164814882928098,1.216757461450913,0.1246078067093278,0.23044018278497158,17,313.66705328877197
0,2.9919808644760186,3.8347895546282977,10.0,7.285178488136111,1.1679644168003205,0.25758934490295116,0.2644569148026591,18,-1036.8622954429563
0,1.6962085591698406,2.8656174178510527,6.605767284062627,4.8910758171154,0.71258903403143,0.2650587982052559,0.2921553960891339,19,-348.2713676334258
0,1.6356454683320532,3.307393127941255,10.0,8.593794560553867,2.3832180184511063,0.16270401286330338,0.22300539350417348,20,-962.2632013772544
0,0.45221862856274847,2.491644842178461,10.0,5.503299113480394,1.3338781541065736,0.16980528147786816,0.25456592318323157,21,-408.61384299907235
0,0.35586551435826846,1.334562557333015,9.048813508508918,6.929078087512157,3.000241436438339,0.10594225316811617,0.20625912701429205,22,-14.728032544164094
0,3.3115950115436603,6.0,10.0,9.902287247858295,2.8376917684417,0.2244025102153947,0.3287273032482653,23,-258.4761216606271
0,1.905849656286196,3.545367040727146,10.0,10.0,0.79790471359681,0.21834730997612084,0.29119007690134474,24,-1157.9219904233764
0,2.3102568611474483,4.036030824379429,10.0,7.920331961165444,1.1404123415894443,0.24022272878588075,0.30921641353574714,25,-917.1307599519338
0,0.7387022403123239,2.9645799670000215,10.0,10.0,2.3843222181506727,0.10608364337263115,0.24521335055384286,26,-631.481534816295
0,6.0,3.14523587656943,3.830096794386273,9.661585102688614,4.794839248204805,0.10102123847908151,0.2015884351394414,27,-251.35826254373347
0,2.4721288293326458,4.000118304480659,9.5421563551682,9.49942834690248,0.8241762140658868,0.24347812636568278,0.2831118404874042,28,-957.1213321957273
0,2.9396680542002547,3.5310303762075783,8.08374173695768,9.58910389087468,0.5684443430539332,0.28781144801840086,0.31386051678584986,29,-965.860725167439
0,3.16240639969783,2.872336746235564,6.799190732512623,5.521873839406813,0.727138081960744,0.31356591798139133,0.3118812369524962,30,-799.8550878929639
0,1.6878331721317241,4.348927793674097,9.257690855820833,7.3516232545719475,2.4677698998308824,0.17280759394067363,0.23300453422350792,31,-356.1220694889395
0,1.990666410507497,4.303862745122888,10.0,5.5650433640294,0.9264012756868616,0.24193308908080846,0.28647272322792616,32,-1369.739709674657
