,Participant,Drift Rate,Boundary Separation,Self-excitation Speed,Self-excitation Accuracy,Non-decision Time,BIC
0,1,0.4364211952122437,3.7221752635757666,8.922465351069244,5.359618702732554,0.11636216697067825,-17.76201227571444
0,2,1.7817034211452234,0.9823733285391683,6.168094292875608,3.7397560130352487,0.31180094819491255,-184.92469180934785
0,3,0.0,2.009595423794743,3.1709144102030136,1.8489730358824932,0.10063708664102478,702.2507036106269
0,4,3.926043870422582,0.9092150450970293,2.7146491367648142,1.0172563592580175,0.3108175397357342,-203.57251176661913
0,5,1.9521388310680172,1.3608354717858608,4.167774562849002,2.3654661141104976,0.1871870044126009,-81.19609427037979
0,6,1.4108292231120718,2.6668804208303354,7.570651343106507,4.302074355680949,0.1513665255993717,-189.68328667478266
0,7,1.2439900785381293,2.3680846093767305,7.755511602111468,4.011861556776649,0.11521054223727573,-334.66919559275607
0,8,1.4796917681896624,2.3291236464921843,5.7234707651485985,4.518055330302623,0.10102726871385481,-93.78316963196329
0,9,0.9565452745256501,2.595622716744507,5.286464424083877,4.5311933327540865,0.10020050932261632,124.85284829335433
0,10,0.18899301510550073,1.4597526039867992,8.133433901644048,3.1297358441755527,0.10097068784448476,276.11146565160686
0,11,2.8439892122098867,4.237684871183187,5.187535477359544,4.6123846791088825,0.16280660260837226,-88.72836203555873
0,12,2.40849392724182,0.92122071439859,7.26487343521567,2.9484509110753176,0.29768440135476365,-670.357500858733
0,13,3.239409637871672,1.2542631572828036,6.641184086222188,6.098754648983943,0.26290695241120693,-640.5770011617562
0,14,1.6809404509591293,0.9922693145793384,6.599812772194053,2.5147423705840937,0.20730782944298198,-333.76876191724784
0,15,0.16553739135136197,3.8229770769847944,7.120786954620277,4.917938114101833,0.103108765601238,394.53400179367884
0,16,3.1398741055014394,1.1433846663607428,6.672281250388348,5.034008279145577,0.30185161333501853,-458.2995637989857
0,17,0.6893868060918811,1.3598163527515892,5.757007476540999,2.738608571222049,0.10037089668763088,399.52797719587653
0,18,2.880214731441583,1.1458053303531819,7.455915825913919,5.672153752647305,0.23277632840896018,-995.7805511767192
0,19,1.9408900214877622,0.7812624529741417,6.002158341898112,4.174527398070625,0.2533572137616084,-324.4371812336976
0,20,1.6813028938333374,2.3118670903599776,8.444453260451466,6.162011809848863,0.13501892079515548,-815.5737923059179
0,21,0.6432062135800402,2.498785336064649,10.0,5.674357264446263,0.10003949963535985,-361.39344636606177
0,22,0.5953002155357526,2.2142597943934392,7.697333772684103,4.363207947859402,0.10083943681758684,211.5032648422069
0,23,2.927857058852089,7.644530748597842,9.302086383970844,7.145852522127136,0.10548373604353978,-241.73707394611208
0,24,1.822898005073579,1.0872197699873922,9.998851578305937,5.8085414558888875,0.19347294296031015,-1060.083276617231
0,25,2.2148687417525514,1.824848400395719,10.0,6.591343505614596,0.20116136126124573,-849.8077326586497
0,26,0.9019906501164431,1.9128258015244444,8.707598687266744,5.237549388957683,0.10056489203549951,-426.7466027868802
0,27,3.4764623841948477,2.254467304697247,4.401522651887052,4.128310667329102,0.1694217021873034,-232.1270616766223
0,28,2.704892512274849,0.9786049425734391,9.692095364459894,7.1174971764428046,0.23898570087397802,-911.3382401846974
0,29,2.9354037834430935,0.6763510880671877,9.222423710803692,6.3682400837035935,0.2806808206085071,-939.6826489669227
0,30,2.8423598271506956,0.7918920419183237,6.087720879803914,4.649450249706103,0.2992207184693815,-792.5769384681115
0,31,1.9682872212792475,2.0392523842982127,7.536272498845661,5.797986707648717,0.1631762120792407,-292.2302709178896
0,32,2.1402332480332387,1.3764329691085488,10.0,6.813179830430869,0.2110339103132015,-1224.1592021307756
