,Drift Rate,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,3.2906116847430646,-2.4473258038173977,0.765719570405945,0.5049907261513602,0.35329624600633686,0.3763266858123704,-269.2532758131523,1,1
0,2.258920921312194,8.514628766323654,4.046498066650745,0.8921602789649272,0.34116745247515484,0.3397530421892073,-140.6829779999334,2,1
0,1.282659852181316,4.7619803942771775,4.346392911764634,0.7165352439359074,0.32733187148111914,0.37192242867417435,-15.240367502434417,3,1
0,2.5266609489120038,-1.5046393454474731,1.6048372073743227,0.5004822488507834,0.3391062689727439,0.39261630659880375,-172.51562030876175,4,1
0,2.94802475345153,6.734738689748239,6.4846110291539345,3.164351188824938,0.1873811225047709,0.2047064506418118,-181.67190168114578,5,1
0,3.1236020396347355,5.989366149233432,4.5400201806406075,0.9918609594492374,0.3064025781885642,0.32390350120573597,-230.4649896141776,6,1
0,2.8528891460686907,6.601233939258849,3.1372279574873505,1.0970415893938217,0.27757222782431085,0.3660360404279415,-188.61755695327528,1,3
0,1.7743879056232408,6.958075424204887,1.585412162456829,0.9682678290065825,0.2901670821532547,0.342953273085166,-32.01136843875045,2,3
0,1.5855574221446618,6.146422150880674,3.0202028853780285,1.207824488293677,0.2541972798723173,0.355238619402809,18.823218425694275,3,3
0,1.9869392980188947,5.998356244294797,1.6825099924511384,2.0589386456973013,0.19211233913096115,0.10074107938592813,0.056079088624674256,4,3
0,2.2567059587368306,6.099665087864592,2.166016803675392,2.0807005431062886,0.18343677680895348,0.20249328060492716,-47.275109389037695,5,3
0,2.3585855404229537,5.489213269380538,0.7858446584730656,1.2399800075397311,0.2715437975050767,0.29507106826447127,-69.19927212895666,6,3
0,3.793910358699691,9.23730085059459,-4.073849634260588,0.5908166268650197,0.31876968826289265,0.33128891551370027,-311.80574961124745,1,4
0,2.7717127466898615,8.51628909372824,0.882843734799312,0.6993451679551996,0.31372941017230166,0.341563564673056,-220.74111896995686,2,4
0,1.8471375066695073,6.507501153403601,-1.234590281337216,0.5725973915347176,0.3237914516371041,0.3471816229116404,-90.59368672279805,3,4
0,3.14509474728052,10.0,2.9676075563235873,1.468938863818646,0.2819310192070349,0.25515925400352085,-240.7634541776845,4,4
0,2.8643827993201696,5.869555045784413,-3.5289837286898034,0.5626135601164353,0.32358175055618443,0.3548369468942735,-205.99744180858247,5,4
0,2.4639607880431678,9.81761901158596,3.59291786370679,0.8655155812316648,0.29138080740094463,0.3242300736706759,-195.19384219929987,6,4
0,4.000749468662204,8.894145570624778,-2.7499738653234953,0.7641058407810584,0.30660631934563787,0.3660448633259827,-301.43543540074774,1,5
0,2.90274015923714,10.0,6.562169131024446,2.339333369877677,0.24250412300977642,0.32145184820981165,-225.8177844530885,2,5
0,2.596839603816288,8.224870541609118,4.755637657017491,0.99448996762926,0.31093201673763504,0.41965353596573746,-189.72273380022932,3,5
0,3.6156360945548784,7.896779923107777,4.226137162186399,2.028186627893175,0.2559791386595911,0.324058455941308,-269.13589205141744,4,5
0,2.930910187917255,10.0,3.4395830824770077,1.129957063733916,0.31500756286071835,0.42241401955276403,-219.55389449738763,5,5
0,2.713203267113486,9.486298812951686,4.916358794930478,1.719276040514376,0.2524207726149021,0.3406496463078331,-205.68835326629917,6,5
0,2.5772176976541386,6.398411817880787,4.89923746953779,0.945644138682511,0.23402589131626766,0.3389237514578417,-189.84660424366177,1,6
0,1.7845661607694625,7.5837152296309345,5.5167260550776875,1.694250489507363,0.1559903778416809,0.3110487082728073,-76.47286236197523,2,6
0,1.0145921178653001,6.312586924372189,5.150797258859638,1.1308689640186702,0.16979800645612614,0.3654299215406155,32.16363434038905,3,6
0,1.6936713492795554,6.994371081751844,4.048923867263347,1.5653919981505235,0.15450751675302266,0.2944606836499328,-27.292599034585706,4,6
0,1.6553742777041067,6.409602524207866,3.115594151057507,0.8396887393811663,0.25022965099907873,0.3694253025936949,-37.029911737499,5,6
0,1.5622395886391294,4.884109194232648,4.722921697792101,1.2812068479346004,0.12678105797140682,0.2974379361917109,-12.694732161879081,6,6
0,1.0817852808828565,6.082230716463722,5.428096532934835,1.3453801049427905,0.11734269257540259,0.20388067725692577,7.201270847297948,1,7
0,0.6576164171070016,7.623376878201024,5.266298884041056,0.9450805754245235,0.20379700135034823,0.2824694832357384,24.454993838886306,2,7
0,0.17444817593413686,7.697816810169919,4.7285819209932605,2.0555631189574664,0.10184802767613788,0.13339308884558893,93.74333656688435,3,7
0,1.6864830381174087,6.925245560789211,3.427971117002233,1.2705615477424304,0.18297466083197372,0.24683223996183223,-14.309911470521932,4,7
0,1.7430300755378965,7.137635505569659,4.941625426821812,1.4476825734163525,0.16720511869067106,0.26654789047901145,-44.59457617877556,5,7
0,1.8445934413445808,6.210681776633041,3.673338160766862,1.0006130780168347,0.21141203129730962,0.2952204013076511,-59.83252621621736,6,7
0,1.4756174687217218,4.985558525210719,2.0130877852875306,1.3436831272796814,0.11299099836088894,0.30684566470195024,87.70969500244826,1,8
