,Drift Rate Speed,Drift Rate Accuracy,Self-excitation,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Coherence,Participant
0,0.0,0.0314593904354598,1.2028314518057752,0.8700593687584557,2.2630370231329726,0.34028705532276615,0.5142558313951724,371.8881264290195,5,1
0,0.32383684795248646,0.27669012781791236,1.272114678630595,0.867950751197677,2.1160438364352605,0.33936094501812175,0.44926388262024197,355.6112917554832,10,1
0,0.3330970866891223,0.2913516373019115,1.7684499837018162,0.5794384275236415,2.350315907690387,0.3380227635674062,0.12604548538449878,383.55338701006303,5,2
0,1.197048682460112,0.5723903799392807,1.6458597008667326,0.5899875657847309,1.5498403614420968,0.34886586922586105,0.2771385909251237,311.0125299407766,10,2
0,0.4741534056471215,0.7413675115072207,0.8692830800921233,0.7729603040379773,2.031106817719917,0.36501899174916963,0.1315168868450951,502.3509634502119,5,3
0,1.2273507760789928,0.9319180799973404,0.2595888101053827,0.6830100114959978,1.4588844607650349,0.403762478211645,0.10523485197046761,397.85949823408123,10,3
0,0.09461436077583577,0.4126401977771213,0.15715326592822773,0.5789377210643445,0.9585273000893642,0.1935733812802896,0.16633668469300833,403.15400197644544,5,4
0,0.16377199531279946,0.3871185228703417,1.0216721260981287,0.6600878983640373,1.1268009112219453,0.12270646192962686,0.13143527781839304,521.4715012634693,10,4
0,0.4102850869737039,0.45466480211789334,1.563212381245954,0.5824767053212248,1.4684393816908723,0.1547741012053983,0.31602998184751163,298.26853746495874,5,5
0,0.24870066753417044,1.26140869211829,1.9490034654953465,0.5058078278729168,1.3285980556448607,0.23995959446686654,0.3795492129557637,202.26353384876654,10,5
0,0.0,0.0,2.0278381954389957,2.311513664529695,4.6220550956173065,0.1578556369393626,0.11798173904152581,618.3897208392427,5,6
0,0.0,0.04960417654755421,1.8665228872139268,2.012328120969192,4.282062957562088,0.27154996798359066,0.12916138231905722,646.6194330960161,10,6
0,0.5332057413388838,0.7090040409512249,-0.41271652320108815,0.8152624604535124,0.9445961810930448,0.28243991346046,0.3659537915247427,526.7730525877463,5,7
