,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,1.3356191887383546,2.796803972557649,9.706478652314845,3.8986280304945886,1.45021463543348,0.2450363726696893,0.2940091072025513,-237.9364404921152,2,10
0,0.5847532001898721,1.9281795377908604,8.573186196407066,4.355406418635769,0.8888097667492136,0.2620448777584306,0.3604850825135149,-69.67649009147209,3,10
0,2.1839612083922604,2.5421264089598345,4.988478535432444,-0.9720609161168507,0.6755000063987171,0.27107498338367386,0.36497730089947533,-220.0891113923209,4,10
0,2.55144902648809,2.5121774237137715,8.685461301748743,3.0234680913721665,1.490014770564823,0.2304253624040759,0.2823378238843636,-237.38881255129675,5,10
0,2.58677127929639,2.755534298259652,5.318519292585406,0.7663005009384758,0.796892284259187,0.26972472297259353,0.3523706168747748,-290.3678903524146,6,10
0,3.578911046745024,4.068546710572493,9.389934961971592,3.777135946005277,0.7100241291178109,0.33312241035043727,0.3788854402529701,-642.5880208627743,1,11
0,1.1201029591010958,2.5207227374794474,9.610880136485807,6.016348344893159,0.8465800719834546,0.328595193391214,0.39522271868828984,-254.3429170807064,2,11
0,0.8272435319210811,1.4998596198074725,10.0,4.7697437450167275,0.8929380290194566,0.31923370464281653,0.3761061105686402,-75.17825354434899,3,11
0,1.3552007449884087,2.503260403961025,10.0,4.551194387456165,1.2431070469937757,0.30890453489731684,0.34165523959842126,-205.310580299554,4,11
0,2.1914512093764285,2.769165963952384,8.951847135646094,1.5355974691128387,0.8017688624139798,0.3367780824598295,0.39225667499797906,-311.0016774749691,5,11
0,2.4273468646856786,2.3936865882770504,7.67470521646045,1.7591488044979757,0.7407009739819466,0.34729291284449115,0.3823266555545525,-287.2268832760086,6,11
0,2.221821477833442,2.3871892822045866,9.462366732279767,5.52795841790002,4.618776366472959,0.15550864579037732,0.10660722890316054,-196.90999648334127,1,12
0,1.4324721307223833,1.2546387993277675,7.638158473611111,2.7133730598735815,0.9403146142228431,0.3010585846512087,0.3371346818735816,46.48858268227359,2,12
0,0.41230086377097913,0.8307606694116887,7.92585794079127,2.4030309406421755,0.9700980131558183,0.2729834260917159,0.2997885174594534,212.5210968913129,3,12
0,1.4872758168601035,1.6483118188485406,4.808570899080329,3.1903191186929174,1.698584563073025,0.1776247230506316,0.20276759963649188,120.77166965130071,4,12
