,Drift Rate Speed,Drift Rate Accuracy,Boundary Separation Speed,Boundary Separation Accuracy,Collapse Speed,Collapse Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.022156335067525,1.2780722362937553,0.8197514526248462,0.7864341321089756,0.6847826358329908,0.0,0.2323519799923644,0.3530788660197848,265.5246585151187
0,0.22476563629392302,0.5651056037883324,0.8896409529426716,0.8923359521020966,1.0,0.0930224874181863,0.2316533273180149,0.4536045284596263,483.0139783388043
0,1.5738955367372252,1.5946921926201336,0.5742094085499589,0.8412760724645771,0.26405190326519856,0.32322587654963614,0.2518366052603493,0.3696300393234718,-13.514043491436077
0,0.16401044557700406,1.0840952819354572,0.5060516249321081,0.9435141235910149,0.29740128462857585,0.08773459952265963,0.18860206683056197,0.24657251600808316,275.2369145090288
0,0.845339756055123,1.442455860746074,0.7186417303216498,0.6559963325977541,0.5512820494530877,0.0743215789410162,0.20667272203081183,0.35910674252308805,139.5892710535673
0,1.4616748100113433,1.3148478171690008,0.7842043833362099,0.9634628102624437,1.0,0.36283185814166263,0.3347827752800604,0.47142816201847315,30.408734001962905
0,0.9199523322163896,1.6577556179409734,0.6447741699279187,0.8344614594951556,0.33928571081504155,0.4380139631251298,0.24477513101556486,0.30928194640522355,76.6514871752133
0,1.308941057304449,1.8322646834606542,0.8004957329222406,0.9393355365384198,0.9231365238992381,0.9285714238811233,0.28862963083371196,0.34649161299650416,-127.2460052732751
0,1.13069267009169,1.5611430394414392,0.6485654392898516,0.698884112394532,0.8333333298032571,0.0,0.3407592512862194,0.36295992581189584,1.808568621509167
0,0.38181972206070836,0.9730945038637939,0.7915944669935586,1.0954476849952992,1.0,0.2864444912712903,0.20799328658504823,0.4207711651221456,351.18474538748933
0,1.065669378992702,1.2836500529215042,0.7894989182370546,1.1532519522752098,0.29011055897576016,0.24324324123022775,0.2198840860577152,0.2818697268333684,414.5435727260975
0,1.3799411118496732,1.1963546590999856,0.6645990348266055,0.7376946366645156,0.5006507901061135,0.12778004914196034,0.30609259031098646,0.40585963334107444,124.80291118374032
0,0.8986375480870821,1.6668991194720817,0.6587767261699305,0.6218856732565842,0.43243502403691847,0.14999992084270572,0.2275723113072578,0.3024494784117312,21.24121593936784
0,1.0753516020892848,1.1821709100045987,0.7648252533972808,0.797524322966237,0.7857142787887377,0.03333316909172841,0.20957074938473164,0.32181205471711827,216.77393805816993
0,0.7333684454501543,1.214948059581125,0.630129318494108,0.6320886692676868,0.3410502532415796,0.049520825769339555,0.20609025647928403,0.2673792579969747,174.30412259830356
0,1.3899916311508704,2.029223057078229,0.5834588224678336,0.8338912880627887,0.4514927191550447,0.0001912426420921376,0.2437567645677347,0.31129137173057264,-103.07688066334299
0,1.0553801179742028,0.8471785106109468,0.5276128285665629,0.5708305598020593,0.2927375038524866,1.4530043251248514e-05,0.2740899452726451,0.3760345102573459,54.55026048514299
0,1.8629548790527872,1.9012569312538958,0.6221529375484182,0.6495021329633359,0.4090909040752932,0.007649688775020405,0.2823769335396139,0.35321139389565126,-139.41289221688993
0,2.0247891181151316,1.471515645404464,0.6513861158477339,0.7023556276025064,0.28378362224259945,0.0020730113553626226,0.27880144436736376,0.3173448082927291,27.97477700771534
0,0.2096515301663321,0.695648640067042,0.6907255631073825,0.6743540283397819,0.3939326720866791,0.14285713635620742,0.20701623898325489,0.32397667368482025,355.33195208809855
