,Drift Rate,x,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.5014474279036296,6.114917534941604,1.4677185803440413,2.0536481178177004,0.16338828636924652,0.20607403065883728,-980.4481645493846
0,1.0997617457053503,9.945229614303702,2.7403597035311273,7.510502485500067,0.14089637714468722,0.10553669562890594,-2160.8995087509484
0,0.19990130917640436,7.8786419308000735,1.3923555344926473,1.9627766122370898,0.100075341386066,0.1002447062907591,-328.7979168213916
0,2.308100581740318,9.810697884522511,0.8216616824438043,1.2905421606748102,0.2739306903987849,0.26059909556380456,-3788.236040876216
0,0.3506097599597333,7.778540247328598,1.3635288689165028,1.9771434803644552,0.10034860032401133,0.10058198639378996,-186.78389663727887
0,1.9711065078757084,10.0,1.2155443071557528,1.1337550727711512,0.212588029602153,0.24990565737125559,-1717.0124956445977
0,1.5461046671782255,10.0,1.417109481720574,1.8888543659716395,0.21674972359251543,0.22729677904956336,-2867.765818667849
0,1.7745950621775284,4.625362145278196,0.5328353593729083,1.0050219772726958,0.2481021557575931,0.24949367353839524,-1794.4261061562377
0,1.7726592825256824,9.277977760231245,1.417177407177101,2.482779508254324,0.23971547271503707,0.21093570176137516,-1328.7791582837403
0,1.1691802579770108,9.843750293622945,2.039093778740417,1.7386783215761414,0.14769411199033217,0.20631824214558137,-1992.4294642515986
0,0.11572978316307828,7.745539423961091,1.2602104568966794,1.4147013347947999,0.10390684687423118,0.10151988072656065,-455.40773464590126
0,1.0407135494824284,4.36046424239985,0.7046122209411165,1.4439673208390862,0.19460365301674315,0.1996734664957759,102.85103300177488
0,0.5512312636920188,7.5356987545618574,1.606428313478033,2.8244147430823023,0.10026561583581328,0.10037032340465979,-316.40805783297196
0,0.32258685117746716,5.648405407237456,0.5016648248395827,0.6850851799467774,0.16504923968975455,0.16169551143977834,-277.32624924210694
0,1.1125992116946948,8.5374085007585,4.183645361418221,2.348388966032669,0.14663114859813248,0.22973966318475242,-1399.7880709121202
0,0.31029701839858187,6.29955668228115,0.7784568995391754,1.1322799129039685,0.16460789089006328,0.1514040253097213,253.25294557537347
0,0.45085961711020933,9.870859857461584,1.3148810066808703,2.14031533812956,0.11195906172330206,0.10098254990199679,-1446.196179468844
0,0.6765483041727975,4.921776204554212,0.6766616316572058,1.6770587922580837,0.13884892232625645,0.1010959188427018,476.3816286001401
0,2.352937836409386,6.869795584711272,4.476991121494026,2.174174462329485,0.21636376305208715,0.3174619694407294,-2602.547444593207
0,0.3732617911523428,9.354483449159495,1.9687111187849955,2.844884093742727,0.10405879887260638,0.1034626471103734,-1159.4532485749407
0,0.13196925418091543,7.645800545925968,0.7165312354703741,1.164199891835767,0.14515641690544184,0.1012561246091584,-636.2352484391755
0,0.44297237616706653,5.621956686355313,1.1546132098439679,1.9511359379624866,0.12088932879614644,0.10087785608412675,817.2724939680877
0,0.0917952791084377,6.852187489166561,0.5003821964500226,0.8180219321656867,0.16331696373518095,0.13818000412033177,-809.3658464009834
0,0.21997270390016452,7.295760670321182,1.3559203925136392,2.3844108401918964,0.10047062892826925,0.10052980099479164,-9.767618985244333
0,0.5659285900595152,3.591030066366039,0.5005611101427925,1.763732855454394,0.15409072530268003,0.10144544306493936,371.507102121264
0,0.5670659517043988,9.390666329066956,1.642087147299745,2.230978729799355,0.12082730169613809,0.10111205046680716,-677.4807071708649
0,1.2687954690211558,6.445854484091777,0.7479810925644808,1.4956466840122231,0.17081577591605462,0.17346601822097074,-603.2695731828451
0,0.041326992672847035,10.0,2.19073049872679,2.447789436058574,0.10589315471069033,0.11627288944706438,-1021.7692931374468
0,0.3846644537640971,7.0560626903178365,0.8818989305136906,2.128600730925874,0.1336654388905849,0.10036896413142932,-22.312545167802064
0,0.10751979350570748,6.570834842182391,1.2973008283503384,1.5503050154469782,0.10027780403442377,0.10045155019132901,277.78650131120315
0,0.08842207569011842,8.034710989689627,1.2360500140676445,1.2263059675662755,0.10344940239458916,0.10383823556308769,-135.574540320006
0,0.26313051836045087,7.113472309728957,0.8081971623664126,0.9912990783530136,0.1440931571623485,0.13264394997429663,-40.34508965871483
0,0.11000243057867798,6.479058787846225,1.2403064744614234,1.5282547958154948,0.10340442011257323,0.10005176668947185,278.55171822632644
0,0.3106353427462367,3.648701697232377,0.5845199192955164,1.9281796511246818,0.1750100958609766,0.10055944366957875,623.8960597236176
