,Participant,Drift Rate,Boundary Separation,Non-decision Time,SAT,BIC
0,1,0.29981229970690426,0.5,0.2724579008020743,speed,89.3829105304537
0,2,2.097561917553925,0.5643164959661603,0.3389312420296926,speed,-202.54434423422623
0,3,0.0,0.8561450223963233,0.13198441679235945,speed,363.5587477161484
0,4,3.926005776499146,0.7410708998671259,0.3157228176581338,speed,-150.62167622491236
0,5,2.2051390198808214,0.7918746185643432,0.21215399661154927,speed,-58.33688036194473
0,6,1.5258395778020923,0.5961063271354735,0.2509971574616218,speed,-74.64500987008454
0,7,1.4683050854949722,0.5451353095996718,0.2241393348089395,speed,-207.28559085926463
0,8,1.4510425654088266,0.7350123349321633,0.15951360172750711,speed,104.07101810548352
0,9,0.8906266920786292,0.7506307360289665,0.14967350354214787,speed,213.31410486419745
0,10,0.0,0.5293896803752391,0.14227060171307382,speed,108.34201677195051
0,11,3.121796166439979,1.0277956430312025,0.29243272538424026,speed,-43.89221819922027
0,12,2.4266858257012585,0.5477612862274943,0.30801336200358137,speed,-432.90036775041
0,13,4.133835450574715,0.7821652100090899,0.2806744344040708,speed,-428.72464999550203
0,14,1.5670876460219356,0.5319332664824845,0.2331595913342145,speed,-205.8981226244781
0,15,0.49872348085750434,0.5005978049040951,0.32392086907036655,speed,125.03367358393692
0,16,2.886108103849324,0.6063808989561885,0.3213266216730107,speed,-248.86939247011298
0,17,0.6394048277934723,0.6080926643934309,0.14024559190444663,speed,458.7066259751407
0,18,2.8537259266559674,0.5739001972159163,0.2576717742951802,speed,-596.2809194104725
0,19,1.7184289168995883,0.5086663618258979,0.2644937336219441,speed,-147.1422806686268
0,20,1.7200645867133577,0.6103210991326794,0.19000151018570222,speed,-256.7372892224148
0,21,0.6994426862787863,0.5,0.2056764938043208,speed,-162.18951387926168
0,22,0.451014790971252,0.5532681895995447,0.18223176760158194,speed,474.42821783465996
0,23,3.24322878509262,0.8395718625326911,0.23291103623354414,speed,-144.13459189414863
0,24,2.082033369553942,0.5,0.2132785812461162,speed,-655.9712567788745
0,25,2.2775727984401826,0.5550836407569405,0.2444102138778249,speed,-509.19193552611745
0,26,1.0129322578844364,0.5604483189186225,0.1447914120952652,speed,7.640236840705576
0,27,6.0,2.116456079412332,0.1348797435110925,speed,-195.69844378565637
0,28,2.523272445981559,0.5262681064038424,0.24214069926667003,speed,-455.2192707127264
0,29,3.1447356036431002,0.5,0.28037801094530623,speed,-473.4175160062952
0,30,3.151706206250673,0.5686797892493431,0.30604144789398074,speed,-438.8761495529474
0,31,1.5992041425347814,0.6338966120187393,0.20304000711362463,speed,-37.363495447410074
0,32,2.0159985179990034,0.5103250172902281,0.24071115495350592,speed,-622.4696735356317
0,1,0.9166220874017333,0.6874220880931782,0.308364626645338,accuracy,424.29867422368216
0,2,1.4016861991913687,0.5910749768899987,0.37570044852151974,accuracy,13.064090949159592
0,3,0.0,0.7621956785357227,0.5672647227285548,accuracy,282.98574591981486
0,4,6.0,1.6298972076316884,0.24833272571287568,accuracy,-55.82839755446422
0,5,2.3866365043022717,0.8008756227166953,0.29760037729060934,accuracy,-9.471992511004192
0,6,1.8345364621650742,0.8640023149771376,0.2655876943353153,accuracy,32.017317853282364
0,7,4.356918582061609,0.9690552968784408,0.3613595885221008,accuracy,-162.1500964378692
0,8,2.2326483411032343,0.7188202303773683,0.27161231139843744,accuracy,-108.89406016302699
0,9,1.5884928461033194,0.67108346155866,0.30439910655320956,accuracy,14.251206142672606
0,10,0.43258780745481096,0.6826047896762365,0.2529801708197067,accuracy,238.78574982605176
0,11,4.226170624027045,1.1285595962605932,0.3581525291504848,accuracy,-30.22812661626412
0,12,2.899495180285436,0.7426767638875236,0.3168007516475698,accuracy,-200.17055362060313
0,13,3.059283531949996,0.6239254355739956,0.297755997882393,accuracy,-185.92208001348058
0,14,3.3544392557740697,0.8425063605149116,0.290027177059925,accuracy,-172.05673859711948
0,15,0.12911919355792079,0.6873296898336787,0.31160203984282486,accuracy,636.8493908052973
0,16,6.0,1.2277366915945416,0.30476629567055136,accuracy,-216.7185866975242
0,17,1.9511746610761074,0.9058053576942826,0.21670612078024093,accuracy,27.691075605132248
0,18,4.077889350840809,0.8549188429519411,0.24331639640901787,accuracy,-340.3555944391228
0,19,2.8139012462844244,0.6245295089981456,0.27598119488237277,accuracy,-177.98384145458547
0,20,3.217390366805471,0.737703540146175,0.2663740991120967,accuracy,-367.10901016359054
0,21,2.60471682766635,0.7864826425450941,0.25582221713712305,accuracy,-74.21296382016848
0,22,1.2821211333736753,0.6198865665467272,0.3185717884706237,accuracy,89.75035100810385
0,23,6.0,1.0370233555321227,0.3439864132135673,accuracy,-56.720043497517324
0,24,3.3909052794322205,0.5,0.297498685261172,accuracy,-327.0363327596221
0,25,3.8594558767073823,0.6158589006634876,0.322820708868903,accuracy,-254.91273911099523
0,26,2.99130607816119,0.6250536983943792,0.29409542164725183,accuracy,-256.75116735612175
0,27,3.0405816524347884,0.7908966642441124,0.2728277325326504,accuracy,-47.249250028019134
0,28,3.7617825646497787,0.5355315430237985,0.2854340644883246,accuracy,-433.9681355929965
0,29,3.595110712421404,0.5,0.30383267258862834,accuracy,-454.6164544502151
0,30,2.8975778310197273,0.6222007208630751,0.30268991251745686,accuracy,-318.6639778248637
0,31,3.9742175243759985,0.7823629157490853,0.2906545439251012,accuracy,-211.82250699634983
0,32,4.784378695137354,0.8705203747020207,0.26515364661891955,accuracy,-557.4297813962635
