,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.360620924255791,2.037805790557128,8.0,8.0,2.446342607951614,0.14313786377033444,0.24652168584415507,-1133.5841686397068
0,1.0748294382883903,2.0962263485210557,8.0,8.0,1.0770706672250046,0.21328272063579662,0.2903163410908449,-2119.2964650605572
0,0.1981349099822321,0.3312092032436049,8.0,8.0,1.4897579787240018,0.10261094786903818,0.14320871895814458,-386.30666738426703
0,2.5069412677546796,2.7435150666814545,8.0,8.0,0.707145533892477,0.2858541422032232,0.3049550571762375,-3780.0010747670094
0,0.345580505941564,0.5856208913976308,8.0,8.0,1.5260271561800867,0.10947778844188855,0.1425989620770839,-228.86130100206788
0,2.108878138578567,2.586520218924213,8.0,8.0,0.7869594487083638,0.242595509254812,0.27323211850153617,-1738.423912153116
0,1.7130552262514083,2.077814496587363,8.0,8.0,0.6602976824922884,0.27472845184326034,0.313197340604205,-2726.6250051275874
0,1.8237402437879042,1.7278721446731065,8.0,8.0,0.9815073163678543,0.21791420579634657,0.27006415555401353,-1560.2197502990757
0,1.8604041335653636,2.301726344320821,8.0,8.0,1.0258463533540745,0.26830276493472993,0.2965528432803751,-1348.8511723152087
0,1.2434699840841548,1.7186718917778985,8.0,8.0,0.9204703981975526,0.21147261702226355,0.25849642901497527,-1957.831246666925
0,0.13297241026436096,0.1811497610061409,8.0,8.0,1.0375688964174161,0.13142238407469803,0.14465134327119133,-457.16367900946244
0,0.7008896111257212,1.1569045406168101,8.0,8.0,2.1838153097415467,0.10523123878469787,0.23600996896301057,318.6253490471813
0,0.32897494647879433,1.007226831322671,8.0,8.0,1.838079663036928,0.10318080356865988,0.17601320365340606,-446.4732375254921
0,0.010637713481334465,0.42639301711791866,8.0,8.0,0.6721597838113285,0.15197776306455357,0.17817446857018754,-231.682259596227
0,1.245738858832221,1.4819407290473006,8.0,8.0,1.6324550654196446,0.24067536002413525,0.2732243824100414,-1413.5426017145194
0,0.0482314789968761,0.5436998486453594,8.0,8.0,0.9422739046441535,0.16561240855175746,0.19786319108060846,288.93712691453146
0,0.6201360118530684,0.7619947038042231,8.0,8.0,0.8639201057610952,0.14405283597110946,0.1712836894273005,-1343.1336281184638
0,0.2734361178770949,0.7718495988056685,8.0,8.0,1.426610237691313,0.10474040134856322,0.17407214209414096,749.7247669216263
0,2.6203003403365295,2.8774256334262875,8.0,8.0,2.1726800627768936,0.34194042164655225,0.3559844033076698,-2714.7471529061017
0,0.3907644704202924,0.6857470614392808,8.0,8.0,1.2130607007483878,0.14693478735544907,0.1840069919848099,-1078.5507417711465
0,0.22304985282079537,0.061316404287701194,8.0,8.0,0.9160099864782114,0.12299334229625664,0.14602148454909453,-585.1345395385376
0,0.23900938801898172,0.5835974033926342,8.0,8.0,2.040354899869652,0.10387066337588158,0.16691388195738516,829.3803937601077
0,0.0,0.1904878443278092,8.0,8.0,0.6059828915420056,0.15101741595182366,0.17170450393322612,-641.783093633664
0,0.08582280544686985,0.450613948294905,8.0,8.0,1.586162050384798,0.10362630770487535,0.1775320432953143,-37.459505092598135
0,0.18303650877740943,0.4518598425259304,8.0,8.0,1.2201142913609546,0.10102916875483808,0.19900313010996534,1247.6208865879387
0,0.7200092541952464,0.8431053824954456,8.0,8.0,0.9700624508124953,0.16533787566512032,0.17666814501233602,-628.4047577906157
0,1.1846824986903972,1.5141189686815268,8.0,8.0,0.9619414768815968,0.16760174609870915,0.24588793255187957,-605.6140772938012
0,0.18830407837553836,0.055939792715765366,8.0,8.0,0.8078105584673678,0.18320761715084882,0.2115376527314078,-827.574741635369
0,0.2713446501773862,0.5516324646449757,8.0,8.0,1.3523926768850703,0.10075123851513823,0.17808807172531393,-11.020252747987705
0,0.11185949428011914,0.1056600928889352,8.0,8.0,1.6852813894708611,0.10511776743791812,0.12342731563976783,259.67165783738034
0,0.20686957854550245,0.1232369997296114,8.0,8.0,0.8111643720376871,0.15050970564388783,0.15578029650877945,-142.95580058289744
0,0.4230721229623304,0.186236987058625,8.0,8.0,0.8202638335712367,0.15828657925223671,0.16031555591085483,-28.505699283517032
0,0.11185808408175398,0.10565693991631954,8.0,8.0,1.6858658911229885,0.10670246495506047,0.12555931908311285,259.6716578394805
0,0.022715607649168454,0.31653014835040416,8.0,8.0,1.8071751414664,0.10731224962382152,0.22116205939980071,1105.935494838089
