,Drift Rate Speed,Drift Rate Accuracy,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.0177827610008408,1.257715207135754,0.651374841204808,0.7939950448543098,0.22787904406885368,0.3518955018768582,327.13448687789986
0,0.26745857362134445,0.5491042084535164,0.6414795740435513,0.8665469998707158,0.22286429671780844,0.43897924429931906,630.260897046964
0,1.5226069033013663,1.5986040581202294,0.5558308087882153,0.7584879079305549,0.2479772507141016,0.3652036539278465,17.225109561228372
0,0.16706276731004133,1.0374699088943997,0.5001717377411969,0.917318688140841,0.1872830507173739,0.23021661613487698,292.71664719975263
0,0.8701288195740887,1.4018290881310231,0.579234727571075,0.6608347292650169,0.21542774007950483,0.3488995710577245,173.87718894563415
0,1.5908113248941196,1.3650283590891537,0.6338314399465206,0.8472915230381955,0.32525617515239585,0.47349076985562844,146.4997046963938
0,0.9138526442710809,1.6637734849619055,0.5735075369074814,0.743328626739705,0.2463714261615313,0.29926142869114297,130.81999680198604
0,1.3826692978707567,1.8793894105213256,0.5984960075498997,0.6362081332441352,0.2931016770600173,0.38141495182215585,-41.18397052893386
0,1.2008406689622804,1.5188412120103545,0.5209630874832489,0.7200220928340961,0.34077863618058624,0.3578475466382998,45.45666656703896
0,0.47852199790561156,0.9947711013617174,0.5518996274331582,0.8950093195781775,0.22768653277738649,0.47306684782099634,438.4994876141284
0,1.115262936677019,1.280984214636512,0.711523944465182,1.0403600551842191,0.21487144772920258,0.274845007919138,443.9064980146471
0,1.3053328244463265,1.1751310965346102,0.5900037043162651,0.7279651705597323,0.2901595442308324,0.39318303993961057,174.11401637425166
0,0.9467061199496025,1.5944669326307501,0.5719338139234296,0.6125771886730897,0.22633289794465067,0.3078836149513575,71.24323685981335
0,1.0974985527568693,1.1588943479601725,0.6123831451449238,0.8036360831093918,0.19921476358599877,0.31939160280979484,284.79661587317185
0,0.7607775191221322,1.1802008144051868,0.5857931954023551,0.6507772309018157,0.19684761556727132,0.25128343465998276,201.74448400326554
0,1.3869599728195723,2.2302619850750487,0.5230412156892362,0.8699266392963076,0.24408212020131548,0.3077994735190541,-86.26011148250532
0,1.029642194632518,0.8797872358527364,0.5188554627255436,0.5869527512794818,0.2633330250320882,0.36552392824908175,103.86536875069118
0,1.8698903816536,1.8635501461398902,0.5906577722003323,0.6798624632787827,0.2730776376783418,0.3456136294930575,-123.7485182573223
0,1.9729576773667838,1.437493129588163,0.6100345106456304,0.7298949293205365,0.27059457981713503,0.3025638165615283,28.347799466407842
0,0.23457497503310729,0.6859191612940563,0.5996082073609964,0.6565134231767531,0.20986688471045928,0.31420709721666645,397.6600602568669
