,Drift Rate,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.1714937540147963,5.090681809288203,2.328649245320439,1.4145306210706008,0.1815185378165084,0.2376930340863873,265.72777756087885
0,0.4722540099129891,6.124828470118368,2.593919168027353,3.204411984911159,0.10450804731051305,0.10375583875731492,482.1019772969595
0,1.5378520436079808,6.48830676030926,3.2808719736073066,1.238672983841962,0.19320658791978018,0.3227859640960622,-29.998790479260798
0,0.8530342655031776,9.512598559198013,1.7527308242192077,1.235327374836916,0.12107851206666365,0.1986321609269654,271.5322933268404
0,1.1505769259491998,5.292075614667598,4.043600955977777,1.2803345394947763,0.15097539530916665,0.2700366893414788,143.13941381147976
0,1.3409115795734723,6.804273358747266,2.7800282655506776,1.6039999397098725,0.2842312778313163,0.3977353644122593,50.58350141644616
0,1.2545845536233906,5.773656289870881,4.7695502676194375,1.6415403863717737,0.1527703505190076,0.23472120079384318,61.607470198529874
0,1.6300463565621484,5.734995312142316,4.817281814585337,1.4681378772675937,0.22941864225117198,0.3008949077351236,-87.83352862600762
0,1.3943347142427724,7.1854029440114155,2.7910229357369634,1.0508952711065453,0.31075040470683635,0.3106448111278769,12.422400479685159
0,0.8113652773484145,6.402922897442491,1.9781338683909806,1.579008138248191,0.14442811901765518,0.3478629011762946,390.7065972736358
0,1.1325295906002038,3.678973256498538,1.7907010816508604,1.552385691607725,0.12528479087923222,0.22223369380621,405.89303822032764
0,1.258387916289008,6.742528490074605,3.38772378547151,1.5221159904772503,0.2415239925780613,0.2976577037267418,98.01828701337688
0,1.2084018642758072,5.129611392704837,4.484865192351619,0.9921694277953708,0.19363973937168877,0.2591918700169933,32.15479042732482
0,1.1966008751508859,6.67488857632996,2.88074337217715,1.8958486652948885,0.12982103454989435,0.17123974519047214,186.2630102997468
0,0.9104131620878174,5.910121051778708,4.17601342919781,1.2208047830319573,0.1552610676531495,0.19208034961740428,147.42103551675376
0,1.728598031622205,6.052626789550713,2.0615045346674967,1.0300280645650588,0.1995753700317635,0.2829400995961987,-86.35303074197174
0,0.8761844555058862,6.868947830322205,3.306659857520695,0.8970209044419102,0.23605584382995742,0.3261400990382288,42.43235670628568
0,1.8310286123199508,5.470992035871287,2.8554050039475456,0.9292704423911422,0.2569989402582874,0.31429951931810285,-149.9224616425728
0,1.7738592313560262,5.260461429402484,3.079375415774893,1.3376360042194766,0.20342357184624188,0.23139402561168826,7.512921827021451
0,0.36416748625037815,5.583365795262028,4.39774992772979,1.757740481429087,0.11129837828031036,0.18744682798504197,336.611003388758
