,Drift Rate,x,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,3.199971414599439,0.6191312883837816,0.5741686673265325,0.5075551660888964,0.34428377420187767,0.37400812681365947,-267.8332235876056,1,1
0,2.3162169835289683,5.012541761876775,0.5744192255065723,1.1204065919934334,0.36664477184542155,0.32248247343934366,-143.11072772990258,2,1
0,1.2953921848952188,4.312824331859896,0.6550761919749699,0.7270357545288446,0.33502117546857957,0.3704900997620797,-15.567008599354601,3,1
0,2.4837738829691904,0.8200447679257762,0.543963160201077,0.5016744278470684,0.3359545853566009,0.38748716897069924,-171.07353433378233,4,1
0,2.9091752866565854,6.469268131363875,1.6306718761286696,4.693143900233292,0.2630403130049443,0.14965087149057438,-182.25226519014538,5,1
0,3.2021332812500174,5.063964042876836,0.7728396039542571,1.2668959817357734,0.32651654273806474,0.30157717379439997,-232.39559753890669,6,1
0,2.8488084947796857,5.234151998432819,0.8744676131414395,6.385430657063548,0.2873107228016695,0.12276957534357169,-190.01234642526137,1,3
0,1.828855626477152,2.530590346363979,0.588819704308059,1.2191212344639264,0.3162117464350903,0.3188787000691009,-33.54166230169251,2,3
0,1.6754144023678608,3.482582943562599,0.6956294618849572,1.6694147324201958,0.301226991040662,0.30545294540293777,13.868693747048862,3,3
0,1.938775051491655,1.9171168405627927,0.7943368534643684,2.133058685393775,0.26750166714847734,0.1006231644689804,15.991418135650015,4,3
0,2.368837307767898,2.31915750364285,0.6993165606574303,2.9577800643825283,0.2903437473535077,0.11631326658408947,-52.314474307174834,5,3
0,2.331842526105244,1.5847178352033635,0.6166093924861173,1.487506464298825,0.33028670596122855,0.2737499856418975,-68.5449086227777,6,3
0,3.7338813091947447,4.531046380743223,0.5069153654093523,1.74837327594358,0.3220623524854893,0.23202337495868003,-312.03972512060994,1,4
0,2.7627824936631673,2.892197574735437,0.5052015934599763,0.8726347696800762,0.3212301403211012,0.3273561250127552,-220.33667269680225,2,4
0,1.8275965667376517,4.042791121692028,0.5030734135857271,1.1008365334046464,0.32824431878285365,0.29630694694340526,-95.0538704926417,3,4
0,3.249230502679058,3.9557532033037344,0.5662407620891043,3.355619170549948,0.3349997111221975,0.13191514151367711,-240.69422897203717,4,4
0,2.738144420287473,1.6101548777121997,0.500766694160065,0.773584013232882,0.32226752133629744,0.3344153795096576,-201.95548473277452,5,4
0,2.568093033577224,4.665686037994556,0.5051169245660319,1.1146202045551084,0.31711166477150143,0.30483057403275027,-199.9783188438608,6,4
0,3.843908242530992,2.2696415347991774,0.5089177441623636,1.780833207923648,0.31859737475656813,0.2659137413260197,-299.07007659456366,1,5
0,2.956490498359527,7.4063598147162875,0.6903892294924994,7.556521981738563,0.33240729944299763,0.19305527273635215,-227.484125181879,2,5
0,2.6736342383753597,5.739938601049337,0.741913492546729,2.1314543337169884,0.322009763257984,0.33237104105986126,-190.83685391081048,3,5
0,3.571599433509338,4.740086746710826,0.8963807457359301,3.9182520725950303,0.31060326107343905,0.22550292481105977,-269.5394667639561,4,5
0,3.035889822980067,4.637408914572833,0.5019336488012676,1.658558987761133,0.3630524128874022,0.3860278864097949,-222.35190203411864,5,5
0,2.860513957193579,5.947624338144279,0.9507091179130303,5.259572351655817,0.28442700849381697,0.20092298313212914,-198.90074981123854,6,5
0,2.56589706590253,6.402595506489858,0.9068273588679316,1.9075322399648904,0.23826584684850227,0.2683028023210135,-186.04213506938598,1,6
0,1.7201360852591663,6.731578504363678,2.0556350310507168,1.1375524352449933,0.12050439715736028,0.3806247617542221,-73.70099308286362,2,6
0,0.9587779508509257,5.7915178367963716,1.3378454099593196,0.9193696866899659,0.14328167014938087,0.399987626781707,32.69492826191187,3,6
0,1.730599800221586,4.910661352346347,0.9233385015417852,5.166877479649439,0.19508799593108067,0.10479576645928501,-22.792984268395358,4,6
0,1.694920816425181,3.977126463130804,0.6460075622482342,0.9513421683988583,0.26554482393929313,0.3619105365826875,-35.60944609592928,5,6
0,1.5374960958546762,4.786894685264177,1.342496698701455,1.1670017638517565,0.11890868139774868,0.31118292657694824,-12.826408233013836,6,6
0,1.0653197946944466,5.779479040864134,1.249061268092213,1.514501964093511,0.12210928813343802,0.19288130738723624,7.549827477291302,1,7
0,0.6913715502890118,5.824930767115462,0.6703465099172332,1.285081021795997,0.22810043552015108,0.24609461800576227,22.905281297231035,2,7
0,0.14938958545018907,5.727812196964823,1.451066800989838,3.2855226195476037,0.10186058814266907,0.10039528385709928,95.33943170866624,3,7
0,1.702043331123269,3.6033867899653442,0.7179057494154488,1.4011632246493746,0.2197063513809841,0.23268668912905927,-9.741806129395897,4,7
0,1.7930118338700514,5.414605097299248,1.0189927565315076,1.6418687606385873,0.19109068057340178,0.2552944957654432,-41.036601604953354,5,7
0,1.8518135635330997,4.181043969157296,0.758122440362675,1.0456166717846784,0.22771321109304005,0.295764521768697,-57.06880890847931,6,7
0,1.436310331524724,2.4294904160486968,0.8441942341168258,1.2391555754773496,0.1449552139475107,0.3426767326544752,99.77001184600633,1,8
0,0.6574273419249387,2.3632596953112746,0.7538011789161421,2.680972161794803,0.15213386307865306,0.1030384124201239,226.55665093705355,2,8
0,0.2551032963337786,2.5916495452349757,0.8433426787611795,2.2974775709684985,0.14627204149800943,0.13666062432212267,278.19099877938555,3,8
0,0.9082558575185091,1.312562362629814,0.6720854361428508,1.5523259310819983,0.17683103940912087,0.18374152090509344,248.51521043535385,4,8
0,1.0330209583932122,1.4451771024479747,0.6652131125464718,1.8487458818216065,0.17919902218508127,0.10258372945639588,204.6514464422122,5,8
0,1.0257925581151783,1.1958999555312602,0.6296766227345025,1.615119165807315,0.21727517097406152,0.10166717123412988,214.4232302867751,6,8
0,2.9681803101516144,4.003787370309453,0.5006228380875406,1.5071347668430293,0.37974093239226125,0.3252565073882996,-259.759219742527,1,9
0,1.9545043770489594,2.493715314905584,0.5000226588232328,1.7007416517511782,0.38012096016320274,0.2753840957481668,-32.66940079206276,2,9
0,1.175189650827179,2.8533054633254014,0.5017125464518521,1.1833291549261657,0.38978325427366395,0.3498110874608701,45.26011795389449,3,9
0,2.4090038913886325,0.03146133543199266,0.5005113835832504,0.8278088119156859,0.37621895914420744,0.4096457941992595,-119.96632953812447,4,9
