,Drift Rate,Boundary Separation Speed,Boundary Separation Accuracy,Collapse Speed,Collapse Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.1678761820548114,0.8182737034195902,0.7729980629756454,0.6811558903671352,0.0,0.23526381988321887,0.3587786221863797,261.76744513921574
0,0.44792337491606604,0.9014370548889155,0.8922911371006488,1.0,0.0983606493054637,0.23046220396237777,0.45733412992853006,482.8458385386132
0,1.5891358130756803,0.5793390133548018,0.8446304503779039,0.2630562484790215,0.32613114399798854,0.25490726982935275,0.36420974760803965,-19.49435931214031
0,0.8482468604448204,0.5099414611924526,0.9497398996105514,0.29737197448937297,0.10526315807178106,0.18262553178677798,0.23741440202737069,292.2446244206104
0,1.1336170362661682,0.7241419248750551,0.6590118822345808,0.5576926851701441,0.09677456133091268,0.20134683334990433,0.3429524602678254,143.54763235344146
0,1.3648819221557198,0.7750052727545965,0.976577796628452,1.0,0.3676470565356341,0.33032610588828365,0.47118632493099416,24.895947969130553
0,1.2870837513919642,0.6555613156066745,0.8001576428965909,0.33962264662987085,0.4343417359154348,0.24687457329767992,0.3007335778578234,84.97281099895605
0,1.5757457010111686,0.8262491427238484,0.9137643832446931,0.952380944920814,0.9152541117724144,0.2822569847229225,0.34571631584966384,-126.24075212161486
0,1.3776108483753489,0.6539282222314841,0.6777307232025298,0.8571428495749125,0.0,0.340578327065044,0.3686379052137899,0.10103737442772598
0,0.7994848175888567,0.7703433110277552,1.078796222174447,0.9919911470540471,0.2828283009466316,0.21053770655282772,0.4384319969534002,359.4389898333468
0,1.190496489789095,0.7612346866718157,1.1131888217700219,0.2583524616959419,0.22321428159518866,0.22294084369836853,0.2867458856228093,410.04685609421796
0,1.2524788298138032,0.6658215743157225,0.7445436187850005,0.5056660486249227,0.11395781561068574,0.30362512747833464,0.40547431242713117,119.17448727819547
0,1.2714762438341751,0.6340519003777373,0.6045376576200059,0.39024501474805273,0.14999999241276998,0.23433198528917304,0.3035096754621841,29.34198031976174
0,1.131800114965434,0.7539760970771952,0.7809360902302562,0.7619006147115552,0.032786883555962175,0.20395438091334916,0.32804267075076243,211.1945168217923
0,0.9852214072735641,0.6341531891274897,0.6206809385481306,0.31521711072954384,0.05356256004425096,0.2027880729932634,0.26287480315004896,174.37642249437647
0,1.844293402548935,0.6034476264458601,0.761829564186769,0.4781900053247681,0.0008588369220488001,0.24493755832435798,0.32305131077651916,-97.05667953919681
0,0.9871073401813764,0.5213073497334593,0.5817901890411128,0.29811667547662873,3.1757322060399495e-06,0.27675185017741755,0.37137921154459963,50.012511267842854
0,1.8710971967273153,0.6132420074141068,0.6466458960090269,0.39999419436282657,0.014084543792825073,0.28553091054094454,0.35705703914020304,-145.32349803763117
0,1.6727858787605383,0.6204441274213527,0.7126305422967718,0.24390243748704504,0.0,0.27815316983227,0.3104739581464938,29.35793806940375
0,0.4679012146996712,0.7160663503359453,0.6695237144281266,0.42188978958358997,0.13607689207998339,0.2051853219026974,0.32225444151265625,357.4670911267171
