,Drift Rate,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.1577349729916036,0.6562011485194661,0.7906806808108141,0.22149759220390974,0.3470475345385027,322.67221999277314
0,0.44820912785490874,0.6440930108548958,0.8710295994914337,0.22156495184975045,0.4229847897846126,630.3430229417571
0,1.5614624792921443,0.5582258296521961,0.7434803204795666,0.23944018832776354,0.36560904137394623,11.618559454865935
0,0.8323482093485289,0.5,0.8905397126222946,0.18367245320919418,0.23146966919671746,293.5575097621305
0,1.144544867879129,0.5832191988371482,0.6539782294212089,0.2129724370845053,0.3361606016929968,177.14505018524076
0,1.452922873269041,0.6088856862087132,0.8589012215653553,0.32882062014604196,0.471938774962409,132.06646397781776
0,1.289102301823939,0.5908346881427762,0.7111291728470434,0.23899882176566173,0.2906356237081654,134.17061359496162
0,1.6233041882743953,0.606049389615311,0.623035878759345,0.29194268765217807,0.38002993370440913,-43.36513583711364
0,1.3970337684933751,0.5152638963357022,0.7140667367153488,0.3443942595715491,0.34986041350553715,40.468313943529225
0,0.8268083470494237,0.5549120032691109,0.880402229226106,0.22136498142511907,0.46967121016466645,441.1211118800795
0,1.2129463129544027,0.7231622223618127,1.0221602611456693,0.2071779497402197,0.27444476743897583,437.3252516542735
0,1.2248090946830719,0.5809456537705503,0.7288227382508848,0.29285445992009035,0.39128392155421116,168.44231810811317
0,1.2770000098144907,0.5733154374205492,0.5894196752931561,0.22452985045434415,0.299744857478692,54.67380688576765
0,1.134960501662497,0.6000773956133756,0.782571714371022,0.1974289590632094,0.32187622225048473,274.2021882053795
0,0.9828110651844341,0.5807745046102221,0.6407619441420617,0.19783693778587202,0.2507163223861565,196.2624884375568
0,1.830271424645333,0.5382749673812542,0.8130706190261928,0.23911177040489123,0.30003079699641955,-73.90525609539931
0,0.9529321664260807,0.5092223714547381,0.5870587387503862,0.25767090282291794,0.36170799229311434,77.31794479341804
0,1.8636730377080344,0.5804844063095712,0.668869456612992,0.2741530939241822,0.3446126623531444,-132.85511971591393
0,1.6426424850347359,0.5931922182322423,0.7609904079536489,0.2705723405926678,0.2936410152769962,29.25420977765309
0,0.472868749262258,0.5998005029993181,0.6429882632908854,0.20227005334013665,0.3156722571577856,395.538846205115
