,Drift Rate Speed,Drift Rate Accuracy,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,2.837830953556676,3.6977829847545696,0.5211618699290158,0.5465545272407344,0.3506707715823907,0.3755887897834521,-269.963183276198,1,1
0,2.5286665598453992,2.25794227101201,0.5,0.649245018181677,0.3724066395443878,0.3593718658850287,-132.27100132532448,2,1
0,0.9188795594388574,1.7070319550617215,0.5114573132117046,0.5568728236041993,0.3401965578439926,0.3866791251298197,-14.115949226390839,3,1
0,2.255967572457359,2.7482312830978963,0.5053034158808153,0.5,0.34622301708521275,0.39607188419434675,-175.02407299580943,4,1
0,2.9963312727720983,2.4764710444672757,0.5651882780248915,0.5695830851095356,0.35086048946801585,0.3668131591757886,-171.2760709112684,5,1
0,3.385990304319895,2.947928291692031,0.6084820152140236,0.6328717777150364,0.33962830644578645,0.3595008079026051,-223.4565450451959,6,1
0,2.6921278273159897,3.359039575521636,0.5474012205340334,0.8863927262287462,0.3103918747274559,0.3873613331669592,-185.19915667885843,1,3
0,1.6006668591930484,2.128644752875013,0.5084646791688326,0.8998626924864324,0.3228286257813703,0.341770437374015,-31.308167406759758,2,3
0,1.545500182949353,1.6237936758492608,0.5483123542767034,0.760645457607227,0.3191754783518032,0.4051279223074993,24.707195619962757,3,3
0,1.805621311744805,2.463227073047428,0.6593742044125325,1.6008078071243446,0.27990539679208976,0.10599010556353794,31.867359982335586,4,3
0,3.100233587768391,1.8673440206238197,0.6919414440844804,0.9379789519141005,0.29858898265645845,0.34638666031036275,-50.27763177323807,5,3
0,2.5838549784928544,2.302458853187839,0.5879271712798607,1.0472216421176432,0.3398512183478495,0.32197661923454246,-67.1911144089429,6,3
0,4.21433347533897,3.454382461407783,0.5,0.686298695870992,0.3217871908532467,0.3210699885671815,-306.92290129016635,1,4
0,2.6946720284843972,3.2700072704628043,0.5,0.741772343842176,0.3285142059803232,0.3430361548574784,-215.16581583182435,2,4
0,1.7929476480940525,2.0152654995153494,0.5,0.646020329448766,0.3274931582684266,0.3458593667081431,-84.81002505124538,3,4
0,3.7014209644813296,2.949314630377534,0.5,0.7984824942055441,0.3417738570189506,0.32137194080273235,-237.8935308241611,4,4
0,3.511492759611355,2.382094636058521,0.5143719491083628,0.6278765597800061,0.32898700620817806,0.3510153547769831,-208.98772827387552,5,4
0,3.265058312327484,2.1881552375303306,0.5,0.6252731093129082,0.3138702327535894,0.3421683128947634,-193.44698915160478,6,4
0,4.111735359399117,3.985830677191144,0.5242042384793981,1.125944798020786,0.3182362320465534,0.3244514534289711,-293.8020176922703,1,5
0,3.6731491740343305,2.231533489936607,0.5053381923161047,0.6216571730226571,0.34453043152769847,0.4139480980176055,-198.77171053816505,2,5
0,2.279560094815068,2.878284325984104,0.5070939727533579,0.6294948106072336,0.33634145862830384,0.45570971159416224,-178.5538208141426,3,5
0,5.096130012083531,3.43484336457836,0.8220091271424095,0.8962210611819776,0.3230404645345716,0.39849089529965687,-270.1950978495089,4,5
