,Drift Rate,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Coherence,Participant
0,0.8720638126365454,0.8526323254509716,0.7597412921820397,0.3252580606463554,0.3712850489524782,364.8706820061076,5,10
0,1.5059561013349585,0.8176711081522346,0.8228943644261897,0.3566837450242396,0.32013424049930816,159.69401176604794,10,10
0,0.09648838558666237,1.190100346219999,1.2752132640151124,0.10799456657243683,0.10994238582466703,669.4300750543397,5,11
0,0.15931184089422742,1.1510275398623833,1.1575006784975093,0.11974922495623558,0.4210800117819462,572.0928069994347,10,11
0,0.07651164474694115,1.1412147577431289,1.0672276960796576,0.3471405785341431,0.6016457295657288,378.7072710001628,5,12
0,0.0,1.109126002883357,1.085656906969981,0.38128050553492654,0.7619396592308377,510.0516720820299,10,12
0,0.4091364567727911,1.0951968343837521,0.9120740664441283,0.39144477798686406,0.42192786052658315,399.8043062127877,5,13
0,0.9622336446857551,1.1728918900499856,0.9525763417515941,0.3495810804063192,0.3746646491868573,377.91354485631757,10,13
0,0.01906129106833472,0.9557803759158898,1.1066137451647953,0.11834796459145774,0.5250359555846216,640.9722396645892,5,14
0,0.05482728388512125,0.9178999612138803,1.0809660025626149,0.12134605645997709,0.5579581740030799,718.4308518080946,10,14
0,0.1501311070624443,0.9953840753216038,1.147855036911036,0.4941479558387124,0.8278443817908474,465.75561851304525,5,15
0,0.3395120916629521,1.0694726781528079,1.1865661722682568,0.3802643058696996,0.7700467109635132,467.30105961699223,10,15
0,0.4765409382753185,1.1154870615718793,1.1602506763670433,0.26003259855153,0.5692382621265941,572.8475250885771,5,16
0,0.6980515620363081,1.0098428693514818,1.1486627304690358,0.3726199689494446,0.352114138014468,484.94464138554116,10,16
0,0.03187811733564744,0.8246244013249358,1.018709113963308,0.2613932072617526,0.36588050495258495,622.5705494534212,5,17
0,0.11850413101710444,0.8078317691239982,0.86620857187473,0.25009991786729596,0.45220939392560777,519.978596335455,10,17
0,0.3463606734285463,0.5479049760248398,0.6194726535444167,0.19202290521661125,0.2016838031050358,176.57234727014892,5,18
0,0.9977609001306191,0.5043413438947817,0.6280073552559959,0.24602405656606935,0.17488322262490447,59.58070622136386,10,18
0,0.6191549830502675,0.8985300670868761,1.1305053576415063,0.4028804457950619,0.45176133104659416,481.5269166525762,5,19
0,0.967609768162008,0.8181802249110468,1.1298310233276077,0.3911433540427657,0.3822310495243102,372.99532116401383,10,19
0,0.873775515906465,0.8899193652776088,1.1691693300751445,0.3632580344402333,0.4032958209083589,424.6873595272586,5,1
0,1.420862725667745,1.0204102767494612,1.0995849164688631,0.33178376225004713,0.4696579983465949,288.6581903677085,10,1
0,0.8110361114294423,0.9202674151808257,1.2949473757150622,0.3461287033766392,0.35954569973982475,410.18645052022333,5,20
0,1.309438457561588,0.9648726891974562,1.2829114333880658,0.3381038777245392,0.3600957927589855,312.5084858365439,10,20
0,0.6264107472840451,0.9249151326140493,1.3063968637269654,0.3143018352869388,0.5689775717197229,488.9801915047944,5,21
0,0.9899576384927893,0.9487604269619339,1.4541069478654933,0.27205597523512215,0.5630903338496078,430.04523551960324,10,21
0,0.07147867897120855,0.8148462679361111,1.198392553915452,0.10399897956327497,0.14177679173077684,834.9208443686445,5,22
0,0.19451462201182354,0.8742796776150774,1.0681504951237288,0.1171915320557157,0.16701430290981223,1015.2283047655544,10,22
0,0.4259598458299939,0.7268002254438639,0.9123963208873256,0.24976830268248207,0.3137000361390809,528.7687996599462,5,23
0,0.6938957704367857,0.685005634201063,0.9628149534147036,0.24563691963294415,0.37766205040226813,483.8699114980637,10,23
0,0.7014705724404938,0.9869530752989832,1.3084489913375794,0.5094880808229747,0.6547383734639783,449.2102316038984,5,25
0,1.4066354984070142,1.0203504400741281,2.050895302860998,0.5384677773416282,0.43809485626856853,329.529913425588,10,25
0,0.23511573818514722,1.2378581984447579,1.0202008341284268,0.2376569947053312,0.6789084513330237,373.2737359904413,5,26
0,0.4297142335065644,1.1955977157774687,1.110623689651125,0.31915448351638287,0.6703756482450256,366.12451915046444,10,26
0,0.0,0.9377051760966131,0.9221839410313356,0.1095762041498729,0.45457042365896566,595.1170642623783,5,27
0,0.12871735856644623,0.9179578805765812,0.9941719431264497,0.1361362105161062,0.4170829964721151,615.0312783925787,10,27
0,0.8921879372489542,1.0748761493788057,1.0771986581230246,0.3494371412262448,0.47057654086852396,411.37286430526643,5,29
0,1.271792169059214,0.9412474827053166,1.082570137676792,0.3607567102889836,0.46981566275543407,313.65418784961156,10,29
0,0.08600140980323587,0.5588347542020451,0.8182693841677683,0.14418497901794375,0.10550183128891455,728.2917358361123,5,2
0,0.1795985755590294,0.5753227206615,0.8529562006158514,0.10713731357634365,0.11868566596443525,1510.5055293479977,10,2
0,0.6251554134306582,1.0570708689677726,1.1040273971505583,0.47444854997091557,0.38614122200587603,491.9143902969223,5,30
0,1.3671139337666445,1.0479771299803355,0.9702225887496515,0.47531096808440315,0.48415577980040636,269.0649252362367,10,30
0,0.5719721413023814,0.8917790371207922,0.9535115540624179,0.2508340774311284,0.32875220845791236,603.2517271617114,5,31
0,1.3273287413404264,0.935811221513754,0.9482289286817833,0.27124580818058175,0.3394933814010995,280.70983909854925,10,31
0,0.6557591837685391,1.1705222435853866,1.1253852274994633,0.4027135121814465,0.41815006655681597,473.4628679448308,5,32
0,1.0844562965016709,0.931846573570018,1.2308984588982248,0.4736199343683628,0.34315334474202225,375.31879474204555,10,32
0,0.0,0.8265276556037248,1.2369787548168294,0.13417941546322754,0.352644121727898,430.7981408860696,5,33
0,0.0,0.8794186693753018,1.1864999618929561,0.10588990911791069,0.33508273332277094,663.5292169890106,10,33
0,0.8997753822458255,0.7254313264455439,1.110093758920204,0.37912524760128585,0.45007192771823157,387.47742740055963,5,34
0,1.8195910932070147,0.6693610401601044,1.2660477414062443,0.40495457885428426,0.4369457244913336,95.87174409449239,10,34
0,0.22059568765569265,1.052088011408163,0.9793411001954867,0.3244875800953817,0.4462711534680481,581.4460106604604,5,35
0,0.4299892946208282,0.9249585499816679,0.982202866634447,0.3762930513393201,0.46392912368301104,560.8562040078378,10,35
0,1.3449685224205281,0.8012790226807593,1.006911012744416,0.33856354024438196,0.3394837986934061,249.04104069194804,5,36
0,2.457377261943558,0.7754516635823323,1.0055506174109115,0.33476204598297754,0.37900607518449386,-88.61722873929793,10,36
0,0.6474932147843706,0.6895426065704456,1.0922453624962272,0.4257813432700437,0.3696785177229041,367.9812801807416,5,37
0,1.9275801872101612,0.7747448158054956,1.1471362539274537,0.3800626589510391,0.3767851138673444,58.91914404580179,10,37
0,0.0,0.693163789369281,1.0413115137908027,0.23784358423608976,0.39269340071950576,534.9958378884487,5,38
0,0.1583260748187174,0.6623439412321414,1.0077461213554242,0.25202781335876234,0.41820307866952844,495.56099639243604,10,38
0,0.7696791974701045,0.8556148404584927,1.2356748078181727,0.41800295383378194,0.5893120922222898,432.57248644390506,5,39
0,1.3760135548038235,0.8795409160555074,1.285631928704724,0.4275908802221613,0.4658423510227082,262.39250556720685,10,39
0,0.6102111928443456,0.6096029787314913,1.047081368673572,0.18982223597726472,0.47053803157266716,384.0951545941844,5,3
0,1.3236153654069762,0.6463581278306616,1.2688427881148212,0.1652572121638291,0.470918009219156,232.36533595263882,10,3
0,0.8780980524336159,0.7008561935515637,0.8227577040030497,0.3674926127644833,0.3679244532266056,325.91066514478183,5,40
0,1.906320664662332,0.6911058429363206,0.9146963600742704,0.3750280279935029,0.3027808688955192,28.88224857756735,10,40
0,0.0,0.9635927880366709,1.061836746671461,0.17789462599431632,0.4332264623530862,655.1913446464849,5,41
0,0.0,0.9556673450714581,1.1621082051572573,0.1812242707006374,0.1737849429233012,680.6784237032496,10,41
0,0.4226911097465055,0.7597334245328048,1.0587036213452616,0.3490659788631886,0.41402689156538325,507.64550750658634,5,42
0,0.942297165937396,0.7730561080379736,1.112688346040709,0.3360258203535825,0.33562677613833214,386.2352466322357,10,42
0,0.4529674731109156,0.7638320780004837,1.0364845659896138,0.3179576949380429,0.2844622154823966,522.6795771914108,5,43
0,0.9772731576822299,0.7554058297334918,1.0017358975051616,0.30233212965162515,0.3699078391939009,340.870926835266,10,43
0,0.3140256700212642,0.8554030058275878,0.9649497702591582,0.287397686625098,0.43752914670287746,575.3004325797906,5,44
0,0.49140163159798794,0.7612086758833053,0.960279686400437,0.36505356881769757,0.4254283297542273,493.757021104187,10,44
0,0.7201717930013842,0.5195976152759317,1.0250547914019814,0.2843168427300751,0.26775031770862384,269.7478942845254,5,45
0,1.4675505196501857,0.5,0.9032601950492376,0.3001731446504422,0.30208841491846167,47.26915495592772,10,45
0,0.595153599027779,0.872351318765899,1.2049592013511783,0.2887251908972895,0.30515810560039236,509.23926660463326,5,46
0,1.3943077776674488,0.783608256696362,1.1673848876705641,0.31128180800129823,0.3460316021590867,247.2772721069822,10,46
0,0.18673882628501354,0.6415083593163802,1.0425965157424872,0.10716766509207393,0.12534900851354008,884.5402595434315,5,47
0,0.3667161500520143,0.6263588168548755,1.045441771550363,0.10195365263962575,0.12295074503136028,850.9670724112696,10,47
0,0.24554390994990322,0.5523854166704085,0.6509602687735817,0.11114306733279089,0.10731661221522398,1683.018717015667,5,48
0,0.02600994808695845,0.5144539067232541,0.5914385713907574,0.10790975670582137,0.10236009063140367,1074.8309941025263,10,48
0,0.03631479707446392,0.9804226294632358,1.2351823660251806,0.21550341837077835,0.4492550304309119,458.9376772431025,5,49
0,0.09699595356990552,1.0163010553837337,1.336963804734271,0.14144928963110537,0.1081433087370095,540.1385432405704,10,49
0,0.6066731580913041,0.6728830179616948,0.7994884765883759,0.12466750123335518,0.21129174874090834,357.59605158499267,5,4
0,1.1048588391936873,0.7054833467795328,0.8378891459612637,0.10343336215148025,0.19470339465142217,328.4808519336804,10,4
0,0.03906285201248448,0.6963544915558061,1.083666185635326,0.3432420281480242,0.3282747618697075,487.0897380417877,5,50
0,0.08464550668303548,0.7244794705915781,1.0670419393735908,0.2616197214742123,0.3337264909193597,491.4034135888003,10,50
0,0.2400185181257924,0.8682590499323937,1.206105872714989,0.21487113267964564,0.5403284134975409,396.2943509344424,5,51
0,0.10854809773686774,0.8607310188734022,0.9788935900245578,0.21300551132941825,0.7077758335333116,400.72960888990247,10,51
0,0.237629644314401,0.9335742250407593,1.1688209952992745,0.12530766831144424,0.6759093381285287,606.0770069814041,5,52
0,0.4971270144094508,0.9019563227810434,1.143330851066348,0.12526803909811995,0.7203553677217808,581.0471126090329,10,52
0,0.36826028581555115,0.6120396698066848,0.7638010454449832,0.1709665997921031,0.36322399821426266,337.83351455648824,5,53
0,0.7693802286259219,0.5681002017305067,0.8589456992243225,0.22909871254568137,0.25176814641634393,274.92942601366815,10,53
0,0.6934290301790527,0.8641288595589284,0.8050004412316588,0.27362392938973384,0.34872241341037835,372.7435968781552,5,54
0,0.8024803428478006,0.9739129855362398,0.7822743040093219,0.17944482791717536,0.33468216886529123,392.5981521311586,10,54
0,0.32787482343927643,1.0876359556461679,1.0811067030647754,0.37174202995234557,0.17165677556969788,481.8344480962363,5,55
0,0.5541719334621233,1.1593351350234626,1.1827044563533975,0.2937233517044875,0.16146566444240745,468.0335458729931,10,55
0,0.9049007247116982,0.6331566058301348,0.8948119239699097,0.33609768438511034,0.3433630719567753,287.1854316238557,5,56
0,1.6965473611037072,0.547508529409218,0.9547232812869544,0.3487097596968671,0.3124600520411197,28.099066119496687,10,56
0,0.53110988818461,1.1392766398133125,1.1926858289453974,0.3496671560856661,0.43963507526550305,532.8658536474583,5,57
0,0.9850790306917075,1.0923016384562454,1.325184830523659,0.3541277171124618,0.4906893776958595,483.8764489258209,10,57
0,0.10861344386716974,0.8268126558555705,0.938293629944155,0.20881425295891776,0.10243738267674624,667.5410801777051,5,58
0,0.1235232636315287,0.8668614094013022,0.9701952595042125,0.1656415960016661,0.10958536498608812,709.949251831913,10,58
0,0.5053921596729516,0.6811625987518032,1.1411120226173248,0.36289190503273927,0.5952826399011305,478.79664310231806,5,59
0,0.9872488677717229,0.7682545331430555,1.4861551132200699,0.3249177479101348,0.4674717357136885,416.31589335506044,10,59
0,0.37633527318490445,0.9925231091263494,0.8556183093610874,0.23860774630029447,0.4608821453772077,562.8127721824002,5,5
0,1.0060522940882046,1.0065393350491887,0.8849932757327142,0.22070054254101495,0.42826176933350807,389.2534341728391,10,5
0,0.8638013956798081,0.7786766931895563,1.2786272084319104,0.3037324098477061,0.26692891707204247,407.86399802430236,5,60
0,1.252931287582685,0.6539220864541635,1.147292626290568,0.34109927985488764,0.30668049120404783,252.6494577052312,10,60
0,0.2529381629769373,0.8099444097471874,1.0549121265186285,0.16615003616563423,0.43562801566518594,473.22758696068024,5,6
0,0.4738931875186755,0.7283286157368118,1.0247576316707399,0.25681654242589724,0.3972555048611705,461.5961807471834,10,6
0,0.20397786273130858,1.1246963633640121,1.0590744761865518,0.5231149260412693,0.44856446789995474,462.5919992398126,5,7
0,0.6716617772506329,1.0242417771510859,1.1094145513311588,0.6292848819822865,0.43500086005734817,461.2479449609655,10,7
0,0.38635563038848286,0.8924522644749259,0.9707785859193656,0.28113706490928947,0.4839427327352612,507.6827910429799,5,8
