,Drift Rate,x,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.197158266261404,2.7991346423154053,0.9065011132012697,1.2955199441384653,0.21365063024575742,0.2862654208197331,302.8327713252593
0,0.470387186332333,3.073182411118525,1.0292368793618873,3.0428004384528538,0.2033236830073183,0.18490139472857492,573.4531822256943
0,1.5724089505474275,3.9671164780914485,0.7702670944525489,1.6979189411332838,0.22834331229338267,0.28028513175878034,-21.82148132721438
0,0.8531609465117145,2.303260480377451,0.5004746671126865,1.6955844824097785,0.1867861446920882,0.12696755828015527,263.3082905042759
0,1.0992418129735633,4.549460861947823,1.0997069158456707,1.3691872860772278,0.16251111525113904,0.2684382675944738,150.13033822514222
0,1.4023276591401597,3.2000221082359137,0.8151171667663109,1.7008717617185574,0.3227773107302777,0.4029263720618831,92.7712902168079
0,1.2397701474160172,5.264892118795763,1.3530225614302314,2.1151099516440364,0.17171237336070105,0.20525353124543683,62.083051822221115
0,1.6389210608322058,5.31429964986826,1.2737964749476496,2.0953348791956428,0.24384340446385372,0.25522284422276703,-87.13897913237906
0,1.4265406068425774,3.2167578604616485,0.6188364103099309,1.1419747102172146,0.34189493906549895,0.30238844115999275,28.618721252965933
0,0.8383652711195317,2.0229038858292103,0.6353418455595192,1.4570009093058327,0.2208542483458259,0.38205802759336527,431.743140258906
0,1.1945982282771128,2.3760293033845192,0.9987177852957725,2.4072668491194875,0.1845350748947015,0.13823825655536942,404.4694251064679
0,1.2803419048619356,4.019964822787817,0.8918584237304872,1.84693096087535,0.2775750797507665,0.27688964248732134,129.66629283486856
0,1.202907641796263,4.800168255036273,0.9716446708620632,1.0117894546374946,0.19374371692648573,0.25964176282650747,33.33548134419099
0,1.2309051336445072,3.214185075002601,0.8304325718715151,2.2998001415750937,0.1892562309614224,0.13874865006854675,223.0395001285015
0,0.9828812265502772,4.443446864009833,0.886891808885411,1.583358466801481,0.18281694897740275,0.15726656239069597,148.90366126912414
0,1.7631629951025767,2.6390661154615707,0.6316762509852683,1.1966876767207082,0.23491147918077082,0.26543887819313317,-83.48856757728723
0,0.8660018950841597,3.1006547334078545,0.6077106969172816,0.8474223329567665,0.25455158382344084,0.3361881744084114,64.88774849095736
0,1.8569414747646382,3.4997089096616336,0.7328717986709941,1.0386977392761194,0.2683779109004112,0.30599259992188865,-145.8257995362981
0,1.7750315827891001,3.3310027798977635,0.8001542001002613,1.5499762414265166,0.25510888989809843,0.20602217003041978,8.434370155660652
0,0.3492763165611936,4.835235806618467,1.6326148668598863,1.8344608791059005,0.10065390200711127,0.19169384793300592,343.1403876421225
