,Unnamed: 0,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation Speed,Boundary Separation Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Coherence,Participant
21,0,0.3184110480634253,0.6091330915731082,-0.2824224789853201,0.4257397391172741,0.9631119871254435,1.3764118666589047,0.1433177653550502,0.6300601292630037,539.4250373296292,10,101
22,0,0.5323182139256228,0.9726430315151467,5.395381081087296,1.0889937769248892,1.9822515221088757,2.2969491798814383,0.1905910194161023,0.1034164261353405,317.3303020487717,5,102
23,0,2.097425953026757,1.5881440709448846,4.528950258436001,0.4421794815378353,0.8805345230694632,1.6123591782502054,0.329612442063213,0.3379117426573991,95.6819296320513,10,102
24,0,0.0692804497788558,0.299001470375947,3.0970126539969254,1.1822918116644563,1.1165551707105648,2.389495637596492,0.2267163549511844,0.1136425207479963,523.7463720072897,5,103
25,0,0.027558918374373,0.2095034919623462,3.8636941358042094,1.743831809334931,1.797462039126719,4.184438313961227,0.1282229322542512,0.114730959853402,467.507102283565,10,103
26,0,0.0675412018815017,0.1698664383190561,0.0018427455948303,-0.9499904417754624,0.9525333405658372,0.8911294461918229,0.1035816521427263,0.1357942978664559,895.2584184313843,5,104
27,0,0.2161171517444294,0.1239170520811671,-0.2539341245321718,-0.7124523671401265,0.8370221208312865,0.9192654426561444,0.1135663132861436,0.1014515047742211,625.6778709873176,10,104
28,0,0.0,0.0,0.0469792289303451,0.4397994059411937,1.1527848331066712,1.1003167842760195,0.1061070541343566,0.1053819928978445,670.5030948788353,5,105
29,0,0.3220554451090474,0.1039128583236095,1.4067867914645311,-0.981694752622143,2.273632560141339,0.8743786081525915,0.1200843414507803,0.1068613662587267,750.0613920343405,10,105
30,0,0.2350905739997406,0.3916053295624939,3.284866642361948,1.0182185707334734,0.8314658074495203,1.3218453391323344,0.2993895039734193,0.2010786818203461,465.5614724288105,5,106
31,0,1.200906486694872,1.2720848052369151,1.9129743520784648,0.8260047168025727,0.8442501095569495,1.1535211723597714,0.2926207149361129,0.2987657793969511,270.17187409459564,10,106
32,0,0.0,0.5567856178004322,6.782988154296144,-0.6654929688586967,1.7385664380213697,0.8702831381697185,0.109618582482844,0.2348515152419876,687.2505600445913,5,107
33,0,0.2106298785175838,0.8554997641883565,4.94318574587227,-2.339787323357849,0.9300213300926874,0.7029395366612259,0.103369345816954,0.3254605973069779,514.061815742888,10,107
34,0,0.5089464666550436,0.4032246037609194,-4.473113850669197,1.6583967921575815,0.5895407903571197,1.5240639155831,0.3461901630426292,0.197574376853823,529.3373955856881,5,108
35,0,0.9241591560249688,0.8550481233654879,1.5970062153364877,0.7448545272559621,1.4578750771961515,1.0575487490602753,0.1001277098513375,0.3235487739660022,632.9336638173214,10,108
36,0,0.0018962198613347,0.1575147333756344,3.1642316423028065,1.5786836630163177,1.015248283587765,2.5567675783936523,0.2659290308842846,0.1012360717696384,521.0605165268632,5,109
37,0,0.1015722603211083,0.3398202708561035,4.122907413278225,1.3180826215312278,1.7907216998654962,1.4048080045728328,0.1390890004324106,0.3277905126055564,553.9028358319938,10,109
38,0,0.9332159371067452,0.6831013513604497,2.563505766613849,1.4110409072228585,0.8637170112468078,2.160478780370799,0.3752232403328398,0.1906540497842369,392.2361129719542,5,10
39,0,1.6657627095179772,1.456484644975601,3.617436470678001,-0.2145118173116066,0.8358050746728547,1.024288771283421,0.4180159222122687,0.4091850199357252,157.82037128697417,10,10
40,0,0.1735524966699006,0.0,2.293249992782813,-1.1485393909959345,1.1085507910617771,0.7157028260413023,0.1033712784106477,0.1031491681056569,1239.7147988119427,5,11
41,0,0.067781210669069,0.3124052848169076,1.4513624270432974,-8.642810115856859,0.9160144034792972,0.5081146586984056,0.1232231900834329,0.1525640916429616,797.5325843565898,10,11
42,0,0.0544143815836883,0.1375635969840953,2.9702957379829296,4.1114385130164495,1.1775360857228594,1.1320646696715442,0.1654371585772237,0.1000264416106057,638.8011983652693,5,12
43,0,0.2345260339429843,0.0853957682586135,2.831844095697158,5.443573077053108,1.2881673593250125,1.4059835317280989,0.1060674921046452,0.1098301945405192,502.3325659538522,10,12
44,0,0.050785927713326,0.0082165075424293,1.5942208407767149,2.160195392516196,3.082287242321815,1.2434851291990476,0.1138741451919381,0.3786233127270542,572.9287263593035,5,13
45,0,0.0,0.1870415327334651,1.740219933248497,2.1632374026090293,2.5467929386155577,1.028601879697871,0.221047499712317,0.4551678775501155,528.5358540611066,10,13
46,0,1.6278683241042449,0.8744105592226621,8.842222590322542,3.130006863114818,1.6692234453792114,2.002359331471196,0.3008778364609831,0.3628314934087786,136.1052808394656,5,14
47,0,2.151885334761835,1.95958146246708,7.830039912586322,1.9661561015607592,7.994115749181764,1.4399186395771508,0.1050022534203156,0.4112628666417164,14.673464385685556,10,14
48,0,0.1194567316165754,0.116687687309841,0.0886676727903416,1.7069879199783171,0.7559183498309183,1.3817002422518416,0.1221191958974844,0.1071930767908214,753.1983206892484,5,15
49,0,0.0853002815071323,0.0,-0.9868893568698192,1.402215010703536,0.670272945647933,1.1570202142171504,0.1380639803705225,0.1164134584857939,832.6460399816336,10,15
50,0,0.0186053656092711,0.7459502693477467,5.653069710011853,0.4223161072892197,1.0577030202929385,1.1785084017819334,0.2641357498917249,0.4585071806379885,355.85564378974834,5,16
51,0,0.7455832352012337,1.1802367398128664,6.241143293071913,1.021368323492379,1.291355225069498,1.2462687218499275,0.2341815248877286,0.4652160432636648,235.94971958673364,10,16
52,0,0.0,0.5846819072525227,6.314088073762917,1.188891371647043,1.749609450227,4.105062097425767,0.107788982881755,0.2714835319344302,410.4715800456168,5,17
53,0,0.222339094514564,0.7248395930533859,7.144929319763697,0.9140162095258524,1.6269087676687164,2.192464587128128,0.1419339785294281,0.4400264199824206,426.5276826527697,10,17
54,0,0.614068053909618,0.8308431510491026,2.483826472865831,0.5460267378592365,1.4110971890282218,1.171031901237161,0.1623024572841484,0.2448460837985271,430.4114171366346,5,18
55,0,1.1500279208293036,1.2898678079989607,3.306744046020915,1.5057014831987474,1.4314378994503074,1.648264701158674,0.2055459493644449,0.234715804056383,274.07148526563645,10,18
56,0,0.6171055461603995,0.4388413179741929,0.661180234618182,-1.4588207674563436,0.94273206918598,0.8681471067507878,0.3745769737286778,0.4647362552735944,452.9575971214254,5,19
