,Drift Rate,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,0.5857469711874612,0.5,0.672371884913847,0.27255770854951517,0.30850673996403266,549.3151717672257
0,1.8595060793534302,0.5524224906236302,0.6134262642461946,0.33809410692078645,0.3742030699834231,-183.07085958776238
0,0.0,0.8612480089148498,0.7715967686961371,0.1272733823391024,0.5609068135187236,645.2364623062946
0,4.139030214494506,0.7642221626843642,0.850068197034254,0.31591505697515354,0.3224847797842117,-201.90420167408755
0,2.229177470894275,0.7915300552577464,0.7761167962305505,0.2133946340202238,0.29821748894246386,-67.00190858532642
0,1.6269895912907335,0.6013729708591495,0.8278117082317012,0.2505080351761889,0.26744506971399346,-41.69799373479462
0,1.627206411001075,0.5511525395774112,0.522938712044842,0.22493692141651217,0.3982840551780289,-320.83085059641803
0,1.6965361503559013,0.7580869912188648,0.6606099070187458,0.1596326043564109,0.2748425098612292,11.247134323249028
0,1.1305959083319892,0.7725197918179606,0.6404350682471427,0.14660822608730995,0.30437909696864396,239.16179974398116
0,0.19819978989462905,0.5292157619330788,0.6744502600047059,0.14238730509608455,0.2547837866694313,353.26177397269333
0,3.306906599113439,1.0733339873391385,0.852890839335767,0.29074143934330393,0.38378832234303706,-72.51438089831066
0,2.5862448381635326,0.5606727517451782,0.699912505034713,0.3079874722293186,0.3180380033025372,-631.1420755461231
0,3.589345384281034,0.6860905113572826,0.6645701199929391,0.2871572199937002,0.2988837718134273,-608.0767953996801
0,1.8406476492917339,0.5389868215052497,0.6181620871823753,0.2344453245088597,0.3041219529836975,-339.42380768758557
0,0.257537021116636,0.5002794477154223,0.6897968018888926,0.322026657328741,0.3108909655889942,767.8039134551591
0,3.3410109019251926,0.6519875500105996,0.6282362386003947,0.31967671962137645,0.34830221111858095,-437.95441668585033
0,0.8453313099147216,0.6128888862506993,0.7336719418381964,0.14010922679045357,0.22545994872560865,543.8664914150065
0,3.1472350852492,0.5991201047736694,0.7114672955262228,0.2568529652374962,0.24907455701365872,-922.8744443986393
0,2.05969240937559,0.5206354219834537,0.5554120802639017,0.26465103882085433,0.27931608911119754,-311.9818312345695
0,2.0220296923778127,0.6365773083626463,0.6025855747137017,0.18886397795807086,0.2719620606641085,-573.1837468942722
0,1.0160571111414691,0.5,0.5962797867615822,0.20647751152757216,0.2642781367552108,-185.8979271495924
0,0.7185340187693432,0.5566501959925868,0.5952032124200779,0.18277682057966044,0.31826329788661023,617.0443152525916
0,3.403156734961116,0.8573689421850784,0.5231771928496972,0.23363212489571628,0.3845647871963469,-192.57090415995964
0,2.322625042334198,0.5,0.5,0.21309536297264586,0.29284770000866556,-957.4568005121009
0,2.5033149581853253,0.5722401454928434,0.5,0.2437275012301356,0.32950238915509755,-743.9578171505427
0,1.238297860273431,0.5673364956600013,0.5,0.14428531794807586,0.3018794651428995,-174.66677479470223
0,4.467526230101371,1.3668502278736525,1.069044526319359,0.19235669356424911,0.25972666839197434,-220.78302688529854
0,2.9124416082890887,0.5426434614181433,0.5,0.24339851734676604,0.28518704491064367,-873.513991993661
0,3.311414201310233,0.5,0.5,0.2802766357755458,0.3026101576540942,-927.2239215686881
0,3.02472986446215,0.5603759695453964,0.6365686718327256,0.3061651950280383,0.30187526756423233,-758.5382213534632
0,2.1763679790215607,0.578259006220439,0.5429694648869732,0.25459111484131586,0.3075161985213787,-208.04832756981668
0,2.449072494916443,0.5292133858517613,0.5684844352697456,0.24034456123841286,0.277874479688718,-1088.35779093539
