,Drift Rate Speed,Drift Rate Accuracy,Self-excitation,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Coherence,Participant
0,0.7233784445304607,1.0456966853052638,1.2100014300995021,0.9732758485310855,0.8955728994860701,0.32221835435763,0.33759715460048756,370.56997772957766,5,10
0,1.553293983419614,1.4583986980575243,1.9227975699220317,1.0439799568282613,1.050775301886853,0.3341661668300554,0.3000179706499416,163.59876420264845,10,10
0,0.055046503397673925,0.14003801682150638,0.9083942831159034,1.5132630072022062,1.8521630946210235,0.10186308650656034,0.10431581577176596,661.8269400291869,5,11
0,0.1869404913784119,0.0982177302386155,1.2169792155328567,1.6843316365459478,2.500424104478106,0.10961951555726818,0.137870413439318,563.6866701370233,10,11
0,0.0,0.32888378217287956,1.220800215448773,2.2908246090439084,1.493860833601143,0.10293851685767463,0.5544586474953038,382.46571862989543,5,12
0,0.0,0.3740907789141365,1.3317795853565293,2.2144814627245233,4.0253254842419,0.12706158411847257,0.15952609293435543,502.75445093399463,10,12
0,0.22800498659655233,0.6146340637495216,1.1418002608329458,1.7289562597975987,1.1792641601992582,0.22463245771915247,0.38061957215408293,409.1472949264376,5,13
0,0.7105279722833978,1.3599752947683992,0.5120169884871903,1.3262203025992436,1.1379376365328127,0.2969695671992407,0.3458482691078999,377.65211285469263,10,13
0,0.029765858687177973,0.0,1.5068266977463225,1.2703210007671042,2.8054455806873753,0.10272370882515441,0.23855187503178205,629.1653061535961,5,14
0,0.008196488491629178,0.057262344998830525,1.4451884232792669,1.1635871022803936,2.252016510437034,0.103082440333773,0.34724680190984525,710.2665544308754,10,14
0,0.15213110414578526,0.1751891498841532,1.3687110994424063,1.707810552289374,3.5971411321078914,0.338595368093338,0.3353796232330182,471.67370585734466,5,15
0,0.3658277062798176,0.31829469621038975,1.4668125803314982,2.0358154203803966,4.87329123611237,0.21500366024703788,0.25511580282883306,456.6659742919544,10,15
0,0.3970615994049193,0.6741491978711804,1.4734929620535062,2.042104375993732,3.766582244015754,0.16042555414569032,0.14006205128809773,557.1847329778144,5,16
0,0.48236661051921503,0.9673796917602177,0.8301061054552936,1.1088849183400278,1.7006443012468044,0.37370744660722705,0.2566279384731635,485.29921477187537,10,16
0,0.0,0.148938293096592,1.8630056331387488,1.2178993856093956,2.573646726937711,0.20803127401533,0.14132053815702666,609.8110152099089,5,17
0,0.04195928006105768,0.19625924137199016,2.495814195089774,1.6160265160502316,2.7446662620704223,0.1264547881749009,0.19020431149447997,503.40616468804984,10,17
0,0.3592717724343205,0.3220570231259672,3.5218394666291197,0.63773955660209,0.8228385650840369,0.20196185235740638,0.19563372977736826,163.6056004734595,5,18
0,0.7697377513280333,1.1091796447067792,3.7951169754564793,0.546932959519002,0.8569480625231964,0.25884133399065934,0.16900553162825432,48.4637553479276,10,18
0,0.6381545471118713,0.6516670595571202,1.3549904828766393,1.2216763346025301,2.206643180144251,0.3548476830095786,0.22536890132111576,485.71560833953214,5,19
0,1.010737523963313,1.1096481074086202,1.4384363594958425,0.9805442148541585,2.510360535948438,0.3714046152300073,0.15088639958206668,376.1386938715172,10,19
