,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,1.4415472687970408,1.9431764447104092,6.0,6.0,1.4314893211168145,0.17478943809790343,0.2654015078775453,-1086.0097468715508
0,1.079201459156985,2.1215734286277628,6.0,6.0,0.8245222473078417,0.2148200936240811,0.3009015553249059,-1897.9455931421105
0,0.2560400923743399,0.40272620440371126,6.0,6.0,0.9759683849369121,0.1240403403375871,0.16372959540400878,-128.82782482742218
0,2.500722955889144,2.7169858952123747,6.0,6.0,0.6223205136899099,0.2825136019481405,0.30323008246059896,-3700.142517248069
0,0.4362037356851717,0.6953508686399124,6.0,6.0,0.9279684979019396,0.13425379600254428,0.17668201323589888,-114.0715931715375
0,2.1114356487802604,2.5562082394267476,6.0,6.0,0.6704808580049302,0.2416238042943275,0.2738527581325438,-1671.3843946401419
0,1.70891591891014,2.049599209124649,6.0,6.0,0.5817409828064748,0.27698181425850793,0.31968076038443416,-2621.3986472224806
0,1.8443575868548463,1.6989392858286658,6.0,6.0,0.8388922716778895,0.21226262706962512,0.2775471264222054,-1567.0690754077955
0,1.9010405401171826,2.213997977565679,6.0,6.0,0.8157681682325104,0.27918487338401465,0.29662695584736354,-1260.270516037669
0,1.2738107336929634,1.7146883576125778,6.0,6.0,0.7783948753594494,0.21969706431231967,0.25675348303012535,-1786.5329739502913
0,0.19739014692770349,0.2723239415695388,6.0,6.0,0.6716444775195627,0.16303457890564937,0.17383609830590324,-318.76649847545264
0,0.7758985878836757,1.187494637612978,6.0,6.0,1.2938724751840858,0.1308353908699295,0.2513002149966836,251.58452744233588
0,0.36677472921198206,1.04004788275766,6.0,6.0,1.3373872076389777,0.10966909727916346,0.17594256928761787,-227.51733679759738
0,0.015274533853339288,0.534283863210572,6.0,6.0,0.5934615372523493,0.15007941946600428,0.17874046150919243,-236.6470834130549
0,1.3437812800583826,1.4946337941832726,6.0,6.0,1.057103640692897,0.27187480661991187,0.29625217994064,-1193.6631834249558
0,0.097449121583503,0.5941089408292225,6.0,6.0,0.7939714299880252,0.16128502504167103,0.1963096397533901,256.8888132494573
0,0.7240896575531838,0.8027984470377167,6.0,6.0,0.6565784863803836,0.16372243092058741,0.17529483629381587,-1164.2903422834368
0,0.3363490561557557,0.902429315537291,6.0,6.0,1.108512088625627,0.10655659728445016,0.17303912327121257,608.9038947326494
0,2.4554452115200895,2.878547930733942,6.0,6.0,1.2177471274046971,0.37038763170482913,0.39767262012198434,-2667.179452970525
0,0.4554465740744222,0.7120312433981969,6.0,6.0,0.8772959453234024,0.1672311387210838,0.1821103255586255,-760.2940678134046
0,0.26628414979714693,0.15390949231751938,6.0,6.0,0.5695791350532091,0.16676055049321437,0.17573070959500087,-572.5237612081374
0,0.30230298379296217,0.6813044564279865,6.0,6.0,1.454704877869435,0.10599231910987073,0.16309839432875628,762.993483194434
0,0.0,0.21340856539624736,6.0,6.0,0.504956436937706,0.16845207732210327,0.18946089698191387,-665.5997614874191
0,0.131904632877173,0.554540153832144,6.0,6.0,1.1085291645324489,0.11660248781614463,0.182805191645882,59.61798839940809
0,0.19301094067924182,0.5830254840892121,6.0,6.0,1.0010960290476367,0.10898278466623551,0.19870525161439567,988.4597525980819
0,0.838336574463194,0.889263487755176,6.0,6.0,0.7379384503527793,0.18592597829861202,0.1734687895610043,-531.2804789610472
0,1.2699971812031425,1.5275912938871716,6.0,6.0,0.7783881217592974,0.1708749605184824,0.24104028058997934,-590.2139607818032
0,0.1892949078044657,0.09318659798014352,6.0,6.0,0.6360030631976064,0.18838532634763916,0.22568048141485797,-682.6683508884007
0,0.32336930289783167,0.6317098335096427,6.0,6.0,1.0572868238319457,0.10647392913400072,0.176338019565345,50.58821799531939
0,0.13941417702793732,0.155115013372441,6.0,6.0,1.1200965040212103,0.11649717211684218,0.1489903562445491,299.6393509164253
0,0.2573232878467781,0.20358901171899743,6.0,6.0,0.6053087593392852,0.179864027740257,0.17238498713952555,-129.7880334685069
0,0.4558445756780203,0.2611549385766826,6.0,6.0,0.6568944994553823,0.16919207769147177,0.17219405313765312,-28.772976444900493
0,0.14517951002564555,0.15520723318982682,6.0,6.0,1.0894339464199225,0.12574327233310179,0.1464805334252644,299.8660560912728
0,0.04314211137972459,0.3787360310424108,6.0,6.0,1.3737930661169608,0.1031244756623832,0.19562041270887914,939.000018190561
