,Participant,Drift Rate,Boundary Separation,Non-decision Time,SAT,BIC
0,1,2.6574431929832643,0.6353142941030725,0.34485301905795696,A,-229.0836655241816
0,1,1.543447683751371,0.7184846774010839,0.34927377891860856,B,75.21257570474324
0,2,2.740894131052437,0.5648618088066293,0.34097254748080424,A,-179.69859423974805
0,2,1.153830004733747,0.7233989611118389,0.4018868854609777,B,174.84498953457447
0,3,3.6525701151760335,0.7623574934727506,0.25825374670463863,A,-337.3676988505419
0,3,1.4010392531719034,0.7277200653763716,0.29387084285607346,B,119.69071365990101
0,4,1.008259976563782,0.5122745016323819,0.26484432779885875,A,-4.405454589932994
0,4,0.6234051576442049,0.6392976832441912,0.32197310186699535,B,213.476813526265
0,5,2.4982547448031656,0.5904868855930602,0.22546420981257614,A,-227.64829825011597
0,5,2.3790795142780494,0.8875232091257733,0.30108189252583584,B,-68.78774335311203
0,6,1.5323942727973048,0.5705929249538203,0.2514202957570128,A,-45.75835087261891
0,6,0.9714926003015665,0.6243085438552363,0.3397152749497977,B,121.0574859649272
0,7,1.870145771963031,0.603854911551866,0.24462548107005117,A,-94.3655807217769
0,7,1.5129675504837747,0.681959636472372,0.25822587060809443,B,39.92705769804204
0,8,1.790169133935448,0.7170419455713493,0.20204164349789255,A,-6.7175236971397325
0,8,1.4055870225875473,1.0832280845384095,0.2676437366981288,B,248.47129259494346
0,9,1.9489218270252617,0.6296428080061679,0.22590657647203538,A,-96.58645361882387
0,9,1.2933335326478497,0.8206873560290996,0.31960204121174185,B,200.55351569282345
0,10,0.7400707225120031,0.5,0.19826233039376512,A,-61.68125791367678
0,10,1.1570728611618313,0.9844745104268308,0.20373236234473585,B,305.43783801554116
0,11,1.468203284537008,0.5855150684913198,0.22405048328598381,A,-24.322625763344668
0,11,1.06412282593319,0.634664757546397,0.24966487049901093,B,118.26154686971572
0,12,0.8276960664214594,0.5595860991171849,0.2261326655222392,A,51.61643478478915
0,12,1.1402183384162725,0.9360813687242128,0.4745523075360698,B,305.49325270869485
0,13,1.3822525178390672,0.602878057032357,0.21276556092821225,A,19.249126258265896
0,13,1.2291388147845022,0.6792388438714712,0.3221991650680784,B,124.01394665910144
0,14,2.051851049640734,0.6476483783120517,0.32598615087060895,A,-111.50570194205415
0,14,1.3723280483958396,0.7684413253914129,0.5291792993477847,B,150.359618672955
0,15,1.9052814693257276,0.8003122949316069,0.18877735393960504,A,-4.9500795760706
0,15,1.5659106306020463,0.706098700867253,0.2915330380786065,B,34.04683093875534
0,16,2.4928946606623477,0.6793138279842599,0.28863706395830724,A,-176.3992144153684
0,16,1.9307080040214057,0.6404110984598017,0.37545926548813346,B,-68.99073612343722
0,17,3.2222071387598255,0.5603417661867103,0.2916679741021988,A,-358.64300252888864
0,17,1.7423589216032918,0.6470174569984695,0.34703136438380877,B,-8.001921581124527
0,18,1.041552707812194,0.5056562945130917,0.3761879220404984,A,61.68210287452629
0,18,0.5431824625980745,0.8654060657487469,0.42050200961362916,B,431.3757430646625
0,19,2.945364964232189,0.6845656763373672,0.24313883754376558,A,-257.2351661715126
0,19,1.6025443577492293,0.737513819930981,0.36966428288513986,B,51.40402814827494
0,20,2.0220497386430103,0.702924395283582,0.2414143793097835,A,-70.66258438340941
0,20,1.2124161698636795,0.8290871833369604,0.3263623810871836,B,237.67084987814616
