,Drift Rate,x,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,2.0484316088143486,3.998244276690061,0.8336457257031689,1.5319745994384903,0.3337810731346742,0.27801599983626946,-170.06941355011563
0,1.6859425605122926,4.568806348407352,2.1358746647730187,2.0795450924711627,0.13945896508398692,0.29488585876422974,10.792347768161143
0,2.182000973905718,3.88016429151026,0.800145312259434,1.7714497803081946,0.25717373343752375,0.2035230130327303,-198.48849161822076
0,0.7554469690427532,3.9231781840149673,0.6519056427506285,1.1356727465814944,0.2563373736139789,0.26696509286753567,196.39280367377202
0,2.2911575759776888,2.5067335555723247,0.6485370305910272,1.4485087307847917,0.22854060324107323,0.24610740261153746,-304.50653802584645
0,1.1608526395394927,3.5955065051607216,0.7655152976133834,1.0878702685672987,0.2384109535152581,0.29302939128171873,49.85641713724642
0,1.6306512521430643,4.651558509014239,0.9318918583828046,1.3836473022962905,0.226488859520241,0.21095840409137323,-102.31474257923836
0,1.4937156098026816,1.9614061177755442,0.8430216379559825,2.1108256847193902,0.19411188708819754,0.1640443452013906,215.03609033396725
0,1.5917904320719005,2.934059307248845,0.7887094713462308,2.101950727713557,0.2189525343660083,0.17399401524116148,75.88073043294483
0,1.0556696784267745,1.9743431402296387,0.5006483541265156,1.6677530518519967,0.2020165667888485,0.11718760620513935,224.966152835163
0,1.1960015087251077,4.268887178239897,0.8579961956564368,1.2524407510370468,0.2078665731304306,0.19072452508399834,63.043852557640925
0,1.092348531183719,2.1412663871121675,0.6542015357398441,2.321485647488177,0.23197440896937155,0.2452974827039202,344.5895427180187
0,1.275971824523965,3.637710068620983,0.8792049745875037,1.120890393079267,0.19016765348943848,0.2789793157793073,125.52908644650358
0,1.60677510762917,3.0286977998669347,0.8015465055006512,1.4007677060491868,0.3218533141043438,0.4606275682090439,27.46023062125584
0,1.5307933267944949,4.742945063889274,1.7404438223297278,1.781873350789823,0.14110112299436856,0.22136964485217514,-53.30635116136198
0,2.150426057671446,5.037540146498808,1.0657706349946552,2.059052614691955,0.26715666416560097,0.26017992607963164,-282.8601248547393
0,2.1977851972637765,3.623802356472028,0.5913665323077701,1.0878987008599692,0.29014636105357056,0.3033438439139505,-338.93656132498825
0,0.7033323445509762,3.284213698299747,1.3444414092814507,2.9387340874202463,0.18426046516161215,0.20968905613517153,538.6003784448393
0,2.0078794779648796,4.062445555645569,0.7948451990055201,1.71232209806647,0.2406227299599294,0.30000098820147314,-232.3778417202404
0,1.4839463571209497,2.0878134608776855,0.7952520012246369,1.2158792166599728,0.23731141515165977,0.27850330950733765,179.60050131397023
