,Participant,Drift Rate,Boundary Separation Speed,Boundary Separation Accuracy,Self-excitation,Non-decision Time,BIC
0,1,2.0593743375122258,0.9646949196520427,1.2626051721920315,4.12573650318457,0.3159070914399871,-170.8360510667873
0,2,1.645705691000706,2.113597886321517,4.667563774161697,4.730732661390696,0.14518643109883467,8.195500892660323
0,3,2.156178549250198,0.8340117591769634,1.3980063355229517,3.698818688980967,0.2471676190441915,-199.08418998400882
0,4,0.7532295533434133,0.6687776593621235,1.1971826486498993,4.0134626811489165,0.255250764589968,190.5632063599631
0,5,2.3070792402059754,0.6465819903089836,1.5463591078347756,2.621803174033239,0.22971684665386338,-308.7688587980613
0,6,1.2103863171726164,0.7738021811124538,1.388125596103262,3.8544119968044788,0.24179162341306815,50.250813155174356
0,7,1.633879547765176,0.9439103623046754,1.2610217240756945,4.600264455574248,0.22461694184934777,-108.15204902764502
0,8,1.500844382473431,0.848100242981868,1.905492091580769,1.9083469584252788,0.19517679197549526,209.76522217509202
0,9,1.5924369480029983,0.7712975564412394,1.7574956806277537,2.865775874172558,0.21911257681300517,70.56422115719273
0,10,1.0263716489034966,0.5006986710771648,1.22905332666395,1.5702643353840215,0.19897541647384898,227.01370036067627
0,11,1.1940184662237616,0.86198369201876,1.144994949295564,4.181555845144127,0.20617182050052796,57.657921814708644
0,12,1.093832435696029,0.6638690277204589,2.4983295845732973,2.2000999166853,0.2279824021003531,338.1523414372011
0,13,1.2528563686740137,0.8781836584027443,1.7189693147195144,3.9297466916422037,0.19465950898251783,127.2022308042498
0,14,1.5704731706765958,0.8075918626519822,2.5744130608741393,3.3373608285825616,0.32336337122650927,29.061216694481946
0,15,1.5051672718167346,1.6903007629523965,2.6943764855760737,4.919009190468434,0.15136701841445027,-57.30654855756521
0,16,2.142613246819601,1.1568860207566982,2.0605514936206366,5.019952592662153,0.2579291090184221,-288.1977313356946
0,17,2.168651585572824,0.5439427422354957,1.1383715871538067,3.550145613598975,0.29573517497100105,-344.62012887828627
0,18,0.6864900482749815,1.5857176273890166,3.584265299840852,3.3583272169941267,0.15115661966380017,534.783561605829
0,19,1.992783517382244,0.8403614382805134,2.586114473076701,4.42992755079641,0.2365102334413644,-236.03077568947268
0,20,1.490041545535388,0.7818941969296889,1.4017003178275314,2.227375562979374,0.2411648138334212,174.66505720576762
