,Drift Rate Speed,Drift Rate Accuracy,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC
0,2.66986031383943,1.5434453932141103,0.6444894005975452,0.7184844098967335,0.34256104225593675,0.34979008625886854,-149.5572119372239
0,2.740893475447253,1.1534705954608806,0.5648617571758843,0.7214258926269668,0.34012508989502677,0.40253462127993983,-0.7039392203310726
0,3.6789181081173212,1.3997563405365054,0.7756840945140814,0.7233704298156817,0.25666721801126113,0.29559359028744375,-213.47111566528082
0,1.0085038330299996,0.6234233352103693,0.5146378535765189,0.6427183428596591,0.2636486196559942,0.31906138503013215,213.35730361331107
0,2.498256014188709,2.3831917850046778,0.5904871910453215,0.8915900459760934,0.22588207348752332,0.3003725169221386,-292.2610482195552
0,1.5323939140695406,0.9714936249179511,0.570592880105285,0.6243085350958303,0.25137893693656377,0.33948854280934104,79.45801817559939
0,1.870146039520135,1.5121488850187121,0.6038550702162808,0.6794903107300815,0.2440812794585554,0.25961059601758163,-50.32342704711363
0,1.7919285796418585,1.4013796190551358,0.7200130888861133,1.0717443153422546,0.201469256760252,0.27277876625775416,245.95314254891477
0,1.9460859898961143,1.293336772997275,0.6261656367029543,0.8206883476672667,0.2260018907926591,0.31942462339417854,108.19153305338554
0,0.7441525103404495,1.1540893173050977,0.5,0.9686014079585019,0.19955419571669475,0.21292145710072186,247.55513666418756
0,1.468204660434751,1.0639127208601247,0.5855150699511258,0.6326378382800033,0.22453413804454103,0.2507271739520843,98.0224042840243
0,0.827705916114407,1.1416044193136787,0.5595864974264375,0.9430751628827525,0.2269174748938862,0.4703595036359654,361.3439595348871
0,1.382252362533896,1.2294817107706102,0.6028780521273774,0.6812912466912217,0.21288585155416317,0.3210198449731238,147.48866354319335
0,2.0518514123078195,1.3695625381469774,0.6476483969068696,0.7597779762820688,0.3257811584141605,0.5332132955462189,43.000879579778974
0,1.9026513986197258,1.5711550187002408,0.796858395967088,0.7065678778698324,0.1891470033510088,0.2919977355652384,33.2770256615243
0,2.4928900886443066,1.9365795773495502,0.6793133978210744,0.649531777912572,0.2881412329176648,0.37231108396746315,-241.0256906105142
0,3.2123495850433805,1.7409489556926827,0.5550575138605098,0.6443460530629197,0.2923952416924389,0.34855391242366107,-362.66943607632356
0,1.0415562060750538,0.5431318704449467,0.5056560190941751,0.8743787041554812,0.376458316337976,0.4138202664227263,497.62257355804445
0,2.9626304046589462,1.599990421898139,0.6952361941719256,0.7321826722268001,0.24152609198318759,0.37152983084042096,-201.51425209257715
0,2.0190231359030557,1.2124125712957596,0.6993802973233554,0.8290870977650165,0.2420029333091286,0.32631641626454866,171.1976915682022
