,Participant,Drift Rate,Boundary Separation,Self-excitation Speed,Self-excitation Accuracy,Non-decision Time,BIC
0,1,1.9990359338286179,1.380244511328205,6.678820123393786,3.676137335844296,0.295138742867336,-197.35411760187597
0,2,1.510310633950191,4.257580132119933,6.898692354427311,3.956122747202954,0.10654983547647984,-24.41765875323288
0,3,2.095897340987278,1.5875148387755726,7.896104604541593,3.5611576733925396,0.21648906681336105,-231.0512623674155
0,4,0.658839382510573,1.6008327694926718,7.704530203543109,3.978999241310772,0.18613376039608803,179.06081492597374
0,5,2.143444700383194,1.6699523906906788,8.445822306281372,2.244433910978328,0.1760522794300971,-298.69230833058043
0,6,1.0956017311544317,1.7151314495280348,7.209997321332078,3.923805536817928,0.1835936206592138,37.575840322558506
0,7,1.5574848419978669,1.3355133598312117,6.379723157927709,4.212331705272822,0.20203216628517812,-111.30899990824899
0,8,1.3179044968167564,2.0935729241940875,5.10930731403358,1.6962492904159445,0.10208822117201982,231.4691154066154
0,9,1.4005281426080103,2.0627376185773483,6.973587859211778,2.655009435612273,0.14545945114960923,58.18083058117183
0,10,0.9825022610727836,1.5197636463496984,9.916802062917089,1.7322989856698185,0.12263726135925929,237.723600470349
0,11,1.1347350422198832,1.2598750671061967,6.319499768454467,4.166308468178181,0.18385520846953046,49.08787694869277
0,12,1.006703993752437,3.2620693622335786,8.000988287135936,2.1386552175537594,0.1034725551823033,298.16079279352726
0,13,1.0982288955052113,2.126636792682904,6.2510452287947755,3.553006560641178,0.10724485275779988,143.19325047122743
0,14,1.42618238159209,3.5267664670367265,7.802060583638447,3.056006890935306,0.2022641061322754,7.9374920783168115
0,15,1.399569141619008,2.845572776957607,5.776106868234608,4.440339862147203,0.10071959208370351,-36.21313400161098
0,16,2.009720849542585,2.5198053169628047,7.2190491303021584,4.526502990696046,0.19432768494856767,-264.6265198483771
0,17,2.058111480986111,1.2945911940552692,9.769574784094342,3.2648002100847604,0.2518770370535709,-333.62243434092386
0,18,0.6305624903047926,3.1869960124660173,6.192877828538101,2.7561875493553516,0.13574582205326485,431.65469017011577
0,19,1.7108745876298679,3.8902856876188574,9.060684685876154,4.150540350131188,0.12166814568586826,-214.51674251270046
0,20,1.3755133715082881,1.424402156574438,5.4731078738072,1.9043516822195026,0.20230234874957687,162.84276262249793
